"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"15.01.2020","5,8590","5,9545","6,1445","5,7500","385,30M","-0,31%"
"14.01.2020","5,8775","6,0950","6,2950","5,7270","740,27M","-3,59%"
"13.01.2020","6,0965","5,7740","6,0975","5,7150","318,15M","6,14%"
"10.01.2020","5,7440","5,6465","5,8485","5,5800","278,40M","1,73%"
"09.01.2020","5,6465","5,5905","5,9170","5,5320","464,98M","0,87%"
"08.01.2020","5,5980","5,1500","5,6000","5,1425","287,10M","8,19%"
"06.01.2020","5,1740","5,0745","5,2070","5,0500","136,34M","1,61%"
"03.01.2020","5,0920","5,0625","5,1450","5,0410","150,10M","0,99%"
"30.12.2019","5,0420","5,0730","5,0900","4,9940","89,96M","-0,59%"
"27.12.2019","5,0720","4,9995","5,0810","4,9600","162,80M","1,63%"
"26.12.2019","4,9905","4,9890","4,9960","4,9715","35,03M","0,05%"
"25.12.2019","4,9880","4,9795","4,9900","4,9515","33,45M","0,29%"
"24.12.2019","4,9735","4,9975","4,9985","4,9350","121,86M","-0,25%"
"23.12.2019","4,9860","4,9500","4,9975","4,9500","92,58M","0,45%"
"20.12.2019","4,9635","4,9495","4,9750","4,9000","182,17M","0,53%"
"19.12.2019","4,9375","4,8100","4,9500","4,8100","370,33M","2,75%"
"18.12.2019","4,8055","4,7320","4,8885","4,7200","391,83M","1,49%"
"17.12.2019","4,7350","4,6870","4,7500","4,6870","156,25M","1,00%"
"16.12.2019","4,6880","4,7080","4,7335","4,5085","314,14M","-0,54%"
"13.12.2019","4,7135","4,5510","4,7135","4,5510","243,73M","3,71%"
"12.12.2019","4,5450","4,5505","4,5895","4,5310","174,02M","0,42%"
"11.12.2019","4,5260","4,5040","4,5540","4,5005","88,07M","0,47%"
"10.12.2019","4,5050","4,5300","4,5465","4,4800","131,40M","-0,55%"
"09.12.2019","4,5300","4,5250","4,5650","4,4815","146,14M","0,11%"
"06.12.2019","4,5250","4,4400","4,5250","4,4295","126,13M","1,91%"
"05.12.2019","4,4400","4,4010","4,4400","4,4000","114,10M","0,89%"
"04.12.2019","4,4010","4,4300","4,4495","4,3515","154,28M","0,02%"
"03.12.2019","4,4000","4,5000","4,5100","4,3985","239,99M","-2,45%"
"02.12.2019","4,5105","4,4600","4,5770","4,4255","274,76M","1,14%"
"29.11.2019","4,4595","4,3885","4,4595","4,3865","137,74M","1,58%"
"28.11.2019","4,3900","4,4375","4,4460","4,3820","97,23M","-1,25%"
"27.11.2019","4,4455","4,3875","4,4480","4,3740","187,36M","1,73%"
"26.11.2019","4,3700","4,4435","4,4590","4,3665","371,82M","-1,60%"
"25.11.2019","4,4410","4,4705","4,4935","4,4105","226,20M","-0,63%"
"22.11.2019","4,4690","4,5540","4,5570","4,4380","217,53M","-1,49%"
"21.11.2019","4,5365","4,5260","4,5550","4,4870","151,36M","-0,49%"
"20.11.2019","4,5590","4,5205","4,5590","4,4635","161,15M","0,76%"
"19.11.2019","4,5245","4,5600","4,5745","4,4800","279,30M","-1,05%"
"18.11.2019","4,5725","4,5430","4,5725","4,5005","122,11M","1,06%"
"15.11.2019","4,5245","4,5745","4,6195","4,5100","284,40M","-0,52%"
"14.11.2019","4,5480","4,6525","4,7000","4,4850","304,67M","-2,15%"
"13.11.2019","4,6480","4,5895","4,6500","4,5600","151,34M","0,87%"
"12.11.2019","4,6080","4,5800","4,6450","4,5710","213,72M","0,66%"
"11.11.2019","4,5780","4,5500","4,6100","4,5215","145,96M","0,75%"
"08.11.2019","4,5440","4,5520","4,5950","4,5015","179,37M","-0,82%"
"07.11.2019","4,5815","4,4890","4,6250","4,4745","387,51M","1,82%"
"06.11.2019","4,4995","4,4590","4,4995","4,4210","167,26M","0,91%"
"05.11.2019","4,4590","4,4005","4,5000","4,3970","291,70M","1,46%"
"01.11.2019","4,3950","4,3220","4,3950","4,3025","206,90M","1,74%"
"31.10.2019","4,3200","4,3780","4,4770","4,3200","285,75M","-1,34%"
"30.10.2019","4,3785","4,4000","4,4165","4,3420","186,87M","-0,58%"
"29.10.2019","4,4040","4,3195","4,4050","4,3110","268,41M","2,16%"
"28.10.2019","4,3110","4,5115","4,5295","4,3110","302,92M","-4,20%"
"25.10.2019","4,5000","4,5805","4,6090","4,4415","304,39M","-3,01%"
"24.10.2019","4,6395","4,6260","4,6455","4,5800","200,60M","0,23%"
"23.10.2019","4,6290","4,5700","4,6320","4,5440","209,69M","0,85%"
"22.10.2019","4,5900","4,4755","4,6000","4,4550","347,59M","2,42%"
"21.10.2019","4,4815","4,4910","4,4910","4,4300","94,81M","0,21%"
"18.10.2019","4,4720","4,4510","4,4840","4,4125","132,36M","-0,29%"
"17.10.2019","4,4850","4,4100","4,4945","4,3440","208,08M","2,09%"
"16.10.2019","4,3930","4,3500","4,4200","4,3040","130,97M","0,99%"
"15.10.2019","4,3500","4,2880","4,3700","4,2835","128,47M","0,92%"
"14.10.2019","4,3105","4,4165","4,4300","4,2920","130,53M","-1,96%"
"11.10.2019","4,3965","4,4590","4,5130","4,3900","221,70M","-0,72%"
"10.10.2019","4,4285","4,3400","4,4650","4,3365","272,99M","1,64%"
"09.10.2019","4,3570","4,2900","4,3645","4,2775","120,95M","1,16%"
"08.10.2019","4,3070","4,3750","4,3765","4,2715","134,44M","-1,24%"
"07.10.2019","4,3610","4,3640","4,3900","4,3110","92,34M","0,11%"
"04.10.2019","4,3560","4,3130","4,3750","4,2900","134,13M","1,30%"
"03.10.2019","4,3000","4,2395","4,3595","4,2000","291,15M","1,43%"
"02.10.2019","4,2395","4,3645","4,3730","4,2225","305,41M","-2,98%"
"01.10.2019","4,3695","4,4800","4,4875","4,3080","210,09M","-2,67%"
"30.09.2019","4,4895","4,5200","4,5385","4,4315","161,51M","-1,06%"
"27.09.2019","4,5375","4,5625","4,5700","4,5010","131,86M","-0,26%"
"26.09.2019","4,5495","4,4980","4,6200","4,4530","206,31M","1,64%"
"25.09.2019","4,4760","4,5055","4,5450","4,4260","201,98M","-0,62%"
"24.09.2019","4,5040","4,6000","4,6150","4,4725","164,24M","-1,66%"
"23.09.2019","4,5800","4,6870","4,6870","4,5150","160,38M","-2,00%"
"20.09.2019","4,6735","4,7685","4,7685","4,6735","303,47M","-1,44%"
"19.09.2019","4,7420","4,7550","4,7795","4,6120","315,83M","-0,28%"
"18.09.2019","4,7555","4,7000","4,8195","4,6685","381,60M","1,18%"
"17.09.2019","4,7000","4,9000","4,9000","4,6640","691,07M","-4,24%"
"16.09.2019","4,9080","4,9500","5,0585","4,8600","541,06M","-0,45%"
"13.09.2019","4,9300","4,6070","4,9330","4,5600","925,23M","7,17%"
"12.09.2019","4,6000","4,4000","4,6195","4,3830","374,95M","4,52%"
"11.09.2019","4,4010","4,3205","4,4010","4,3205","104,81M","1,21%"
"10.09.2019","4,3485","4,2805","4,3590","4,2805","86,72M","0,88%"
"09.09.2019","4,3105","4,3780","4,4060","4,2810","123,34M","-1,54%"
"06.09.2019","4,3780","4,3800","4,4080","4,3200","106,52M","-0,03%"
"05.09.2019","4,3795","4,2495","4,3990","4,2355","308,15M","3,88%"
"04.09.2019","4,2160","4,2400","4,2590","4,2000","88,44M","-0,09%"
"03.09.2019","4,2200","4,2750","4,2915","4,1500","133,37M","-1,76%"
"02.09.2019","4,2955","4,2900","4,3320","4,2555","68,77M","0,13%"
"30.08.2019","4,2900","4,3800","4,3890","4,2840","108,50M","-2,05%"
"29.08.2019","4,3800","4,2500","4,3800","4,2450","214,27M","2,99%"
"28.08.2019","4,2530","4,1850","4,2530","4,1740","153,82M","1,47%"
"27.08.2019","4,1915","4,0575","4,1915","4,0545","239,91M","3,49%"
"26.08.2019","4,0500","4,0540","4,1050","4,0500","49,22M","-0,72%"
"23.08.2019","4,0795","4,0615","4,0880","4,0115","106,27M","0,44%"
"22.08.2019","4,0615","4,0950","4,1030","4,0415","84,32M","-0,82%"
"21.08.2019","4,0950","4,0710","4,1265","4,0700","97,81M","0,12%"
"20.08.2019","4,0900","4,1350","4,1545","4,0860","81,34M","-0,99%"
"19.08.2019","4,1310","4,1600","4,1600","4,0620","137,11M","0,36%"
"16.08.2019","4,1160","4,1815","4,1815","4,0900","84,26M","-0,96%"
"15.08.2019","4,1560","4,1500","4,1995","4,1120","139,45M","0,14%"
"14.08.2019","4,1500","4,3000","4,3200","4,1115","197,18M","-2,58%"
"13.08.2019","4,2600","4,2595","4,2740","4,2155","99,11M","0,06%"
"12.08.2019","4,2575","4,2550","4,2760","4,2150","86,48M","0,96%"
"09.08.2019","4,2170","4,2375","4,2665","4,1950","99,98M","-0,58%"
"08.08.2019","4,2415","4,1750","4,2590","4,1570","176,63M","2,16%"
"07.08.2019","4,1520","4,2175","4,2845","4,1050","306,71M","-0,93%"
"06.08.2019","4,1910","4,1730","4,2500","4,1730","174,57M","0,50%"
"05.08.2019","4,1700","4,3000","4,3110","4,1700","245,27M","-3,84%"
"02.08.2019","4,3365","4,4700","4,4890","4,3080","200,33M","-3,63%"
"01.08.2019","4,5000","4,4650","4,5150","4,4625","79,24M","0,64%"
"31.07.2019","4,4715","4,5010","4,5440","4,4715","81,72M","-1,61%"
"30.07.2019","4,5445","4,5500","4,5500","4,4985","31,86M","0,02%"
"29.07.2019","4,5435","4,5360","4,5445","4,5055","30,38M","0,84%"
"26.07.2019","4,5055","4,6390","4,6400","4,5055","131,25M","-2,49%"
"25.07.2019","4,6205","4,5500","4,6500","4,5150","89,69M","0,88%"
"24.07.2019","4,5800","4,5445","4,5800","4,4950","57,96M","0,57%"
"23.07.2019","4,5540","4,4715","4,5685","4,4700","87,81M","1,99%"
"22.07.2019","4,4650","4,5300","4,5750","4,4590","84,90M","-1,61%"
"19.07.2019","4,5380","4,5685","4,6410","4,5275","79,69M","-0,61%"
"18.07.2019","4,5660","4,5105","4,5660","4,4910","59,67M","0,33%"
"17.07.2019","4,5510","4,5180","4,5550","4,4590","76,27M","0,13%"
"16.07.2019","4,5450","4,6490","4,6675","4,4425","240,54M","-2,07%"
"15.07.2019","4,6410","4,5885","4,6410","4,5595","65,72M","2,01%"
"12.07.2019","4,5495","4,5430","4,5940","4,4325","123,25M","-0,74%"
"11.07.2019","4,5835","4,6900","4,7170","4,5465","98,09M","-1,47%"
"10.07.2019","4,6520","4,5705","4,6565","4,5390","111,79M","1,78%"
"09.07.2019","4,5705","4,5755","4,6095","4,5350","96,40M","-0,03%"
"08.07.2019","4,5720","4,6210","4,6495","4,5255","149,04M","-1,95%"
"05.07.2019","4,6630","4,7800","4,7800","4,6105","107,34M","-2,00%"
"04.07.2019","4,7580","4,7990","4,7990","4,5100","117,25M","-0,25%"
"03.07.2019","4,7700","4,7070","4,8260","4,7000","149,69M","0,95%"
"02.07.2019","4,7250","4,7050","4,7450","4,6530","108,68M","0,45%"
"01.07.2019","4,7040","4,5555","4,7165","4,5365","176,33M","3,86%"
"28.06.2019","4,5290","4,5980","4,6185","4,5200","116,74M","-1,26%"
"27.06.2019","4,5870","4,5200","4,6845","4,4520","281,78M","1,04%"
"26.06.2019","4,5400","4,8070","4,8295","4,5145","319,64M","-5,88%"
"25.06.2019","4,8235","5,0310","5,0800","4,8060","258,59M","-4,51%"
"24.06.2019","5,0515","4,9225","5,1200","4,9220","249,19M","2,57%"
"21.06.2019","4,9250","4,9460","4,9900","4,9000","345,66M","-0,66%"
"20.06.2019","4,9575","4,9825","5,1195","4,9280","307,94M","0,73%"
"19.06.2019","4,9215","4,8030","4,9695","4,7400","240,82M","2,69%"
"18.06.2019","4,7925","4,7220","4,8400","4,6620","318,26M","1,32%"
"17.06.2019","4,7300","4,5070","4,8500","4,4655","440,93M","5,95%"
"14.06.2019","4,4645","4,4600","4,6490","4,3900","330,83M","0,13%"
"13.06.2019","4,4585","4,2795","4,8720","4,2780","787,05M","4,54%"
"11.06.2019","4,2650","4,1105","4,2650","4,0860","246,29M","4,30%"
"10.06.2019","4,0890","4,1100","4,1270","4,0510","83,36M","-0,27%"
"07.06.2019","4,1000","4,1295","4,1600","4,0555","206,20M","-0,61%"
"06.06.2019","4,1250","4,0595","4,1250","4,0250","162,43M","1,61%"
"05.06.2019","4,0595","3,9460","4,0595","3,9425","180,27M","3,16%"
"04.06.2019","3,9350","3,9945","4,0020","3,9350","90,29M","-1,61%"
"03.06.2019","3,9995","3,9975","4,0000","3,9395","104,65M","-0,36%"
"31.05.2019","4,0140","3,9595","4,0140","3,9515","81,00M","1,12%"
"30.05.2019","3,9695","3,9500","3,9735","3,9315","119,79M","-3,17%"
"29.05.2019","4,0995","4,0700","4,1000","4,0565","126,40M","0,02%"
"28.05.2019","4,0985","4,0750","4,1000","4,0160","410,25M","0,58%"
"27.05.2019","4,0750","4,0895","4,0895","4,0440","54,24M","0,00%"
"24.05.2019","4,0750","4,0440","4,1155","4,0000","120,05M","1,74%"
"23.05.2019","4,0055","4,0740","4,1295","3,9875","100,84M","-1,96%"
"22.05.2019","4,0855","4,0400","4,1800","3,9905","241,08M","1,63%"
"21.05.2019","4,0200","3,8505","4,0470","3,8505","137,87M","4,02%"
"20.05.2019","3,8645","3,8995","3,9555","3,8500","121,00M","-0,66%"
"17.05.2019","3,8900","3,9815","4,0490","3,8900","184,26M","-3,17%"
"16.05.2019","4,0175","4,1100","4,1990","3,9605","228,40M","-2,13%"
"15.05.2019","4,1050","3,9600","4,1270","3,9005","266,19M","3,91%"
"14.05.2019","3,9505","3,8505","3,9580","3,8505","166,59M","2,60%"
"13.05.2019","3,8505","3,8210","3,8890","3,7965","90,15M","1,61%"
"10.05.2019","3,7895","3,8175","3,8600","3,7895","79,84M","-1,37%"
"08.05.2019","3,8420","3,8945","3,8945","3,8210","90,98M","-1,49%"
"07.05.2019","3,9000","3,9065","3,9065","3,8500","83,74M","0,10%"
"06.05.2019","3,8960","3,8995","3,9100","3,8570","67,28M","-0,06%"
"03.05.2019","3,8985","3,9425","3,9450","3,8985","49,74M","-0,73%"
"02.05.2019","3,9270","3,9390","3,9390","3,8900","27,92M","0,18%"
"30.04.2019","3,9200","3,9700","3,9710","3,9100","81,07M","-1,26%"
"29.04.2019","3,9700","3,9805","3,9900","3,9405","38,18M","-0,19%"
"26.04.2019","3,9775","3,9595","3,9800","3,9155","57,26M","0,32%"
"25.04.2019","3,9650","3,9295","3,9650","3,8650","93,02M","1,37%"
"24.04.2019","3,9115","3,9590","3,9700","3,8920","118,85M","-0,97%"
"23.04.2019","3,9500","3,8415","3,9540","3,8400","160,16M","2,93%"
"22.04.2019","3,8375","3,8100","3,9190","3,7890","104,70M","0,72%"
"19.04.2019","3,8100","3,8180","3,8375","3,8020","16,63M","-0,22%"
"18.04.2019","3,8185","3,7790","3,8185","3,7790","30,29M","0,67%"
"17.04.2019","3,7930","3,7710","3,7990","3,7565","58,81M","0,61%"
"16.04.2019","3,7700","3,7440","3,7985","3,7110","105,37M","0,80%"
"15.04.2019","3,7400","3,7550","3,7595","3,6970","42,14M","-0,40%"
"12.04.2019","3,7550","3,7580","3,7595","3,7100","57,79M","0,13%"
"11.04.2019","3,7500","3,7645","3,7645","3,7000","65,92M","-0,53%"
"10.04.2019","3,7700","3,7025","3,7700","3,7025","72,17M","1,32%"
"09.04.2019","3,7210","3,7000","3,7300","3,6955","62,19M","0,55%"
"08.04.2019","3,7005","3,6325","3,7045","3,6205","113,59M","2,20%"
"05.04.2019","3,6210","3,6290","3,6545","3,6090","73,06M","-0,18%"
"04.04.2019","3,6275","3,6995","3,7115","3,6225","129,48M","-1,95%"
"03.04.2019","3,6995","3,7200","3,7215","3,6710","86,50M","-0,01%"
"02.04.2019","3,7000","3,7340","3,7400","3,6860","90,05M","-0,67%"
"01.04.2019","3,7250","3,7505","3,7565","3,7105","62,47M","-0,32%"
"29.03.2019","3,7370","3,7800","3,7900","3,7270","45,75M","-1,14%"
"28.03.2019","3,7800","3,7915","3,7915","3,7515","56,65M","0,01%"
"27.03.2019","3,7795","3,8295","3,8300","3,7610","61,41M","-1,15%"
"26.03.2019","3,8235","3,8250","3,8350","3,8150","33,89M","0,07%"
"25.03.2019","3,8210","3,8295","3,8400","3,7905","35,17M","-0,23%"
"22.03.2019","3,8300","3,8540","3,8545","3,8000","60,70M","-0,52%"
"21.03.2019","3,8500","3,8400","3,8585","3,8220","91,85M","0,39%"
"20.03.2019","3,8350","3,8275","3,8450","3,8150","38,88M","0,52%"
"19.03.2019","3,8150","3,8550","3,8575","3,8135","47,62M","-0,65%"
"18.03.2019","3,8400","3,8790","3,8800","3,8400","46,77M","-1,29%"
"15.03.2019","3,8900","3,8410","3,8900","3,8215","125,95M","1,04%"
"14.03.2019","3,8500","3,8540","3,8690","3,8330","32,81M","-0,47%"
"13.03.2019","3,8680","3,8730","3,8795","3,8355","38,69M","-0,13%"
"12.03.2019","3,8730","3,8395","3,8760","3,8225","37,05M","0,77%"
"11.03.2019","3,8435","3,8580","3,8595","3,8110","56,14M","-0,07%"
"07.03.2019","3,8460","3,8605","3,8890","3,8300","43,97M","-0,45%"
"06.03.2019","3,8635","3,8505","3,8900","3,8345","54,41M","0,27%"
"05.03.2019","3,8530","3,9300","3,9510","3,8530","66,18M","-2,27%"
"04.03.2019","3,9425","3,9305","3,9700","3,9300","47,15M","0,19%"
"01.03.2019","3,9350","3,9120","3,9350","3,8895","81,72M","0,51%"
"28.02.2019","3,9150","3,9285","3,9285","3,8800","84,19M","-0,28%"
"27.02.2019","3,9260","3,9300","3,9430","3,9000","92,69M","-0,10%"
"26.02.2019","3,9300","3,8800","3,9320","3,8655","84,89M","1,29%"
"25.02.2019","3,8800","3,8785","3,8985","3,8625","64,50M","0,39%"
"22.02.2019","3,8650","3,8630","3,8800","3,8550","56,62M","-0,26%"
"21.02.2019","3,8750","3,8785","3,8870","3,8375","85,40M","0,00%"
"20.02.2019","3,8750","3,8635","3,8900","3,8520","92,82M","0,30%"
"19.02.2019","3,8635","3,8085","3,8635","3,8010","43,97M","1,79%"
"18.02.2019","3,7955","3,8865","3,8975","3,7850","60,73M","-2,30%"
"15.02.2019","3,8850","3,8600","3,8890","3,8455","60,33M","1,21%"
"14.02.2019","3,8385","3,8635","3,8920","3,8070","70,99M","-1,37%"
"13.02.2019","3,8920","3,8975","3,9190","3,8460","67,55M","-0,21%"
"12.02.2019","3,9000","3,8740","3,9070","3,8520","92,29M","0,67%"
"11.02.2019","3,8740","3,8455","3,8740","3,8400","41,71M","0,16%"
"08.02.2019","3,8680","3,7740","3,8765","3,7680","102,59M","2,68%"
"07.02.2019","3,7670","3,8230","3,8230","3,7665","70,92M","-1,23%"
"06.02.2019","3,8140","3,8410","3,8550","3,8140","72,26M","-0,83%"
"05.02.2019","3,8460","3,8575","3,8750","3,8450","40,39M","-0,10%"
"04.02.2019","3,8500","3,8845","3,8845","3,8480","55,98M","-0,77%"
"01.02.2019","3,8800","3,8400","3,8845","3,8275","79,45M","1,44%"
"31.01.2019","3,8250","3,8670","3,8710","3,8250","108,28M","-0,65%"
"30.01.2019","3,8500","3,8850","3,8850","3,8305","74,81M","-0,27%"
"29.01.2019","3,8605","3,8680","3,8780","3,8240","51,50M","0,32%"
"28.01.2019","3,8480","3,8700","3,8740","3,8340","32,00M","-0,57%"
"25.01.2019","3,8700","3,8890","3,8890","3,8510","89,71M","-0,58%"
"24.01.2019","3,8925","3,8790","3,8945","3,8305","104,20M","0,87%"
"23.01.2019","3,8590","3,8100","3,8765","3,8100","133,81M","1,29%"
"22.01.2019","3,8100","3,8475","3,8660","3,7960","137,10M","-1,04%"
"21.01.2019","3,8500","3,8710","3,9000","3,8450","43,17M","-0,26%"
"18.01.2019","3,8600","3,9310","3,9425","3,8500","95,48M","-1,81%"
"17.01.2019","3,9310","3,9555","3,9555","3,9200","65,55M","-0,63%"
"16.01.2019","3,9560","3,9355","3,9560","3,9210","70,65M","0,50%"
"15.01.2019","3,9365","3,9520","3,9595","3,9030","95,11M","-0,34%"
"14.01.2019","3,9500","3,9600","3,9620","3,9125","65,25M","-0,25%"
"11.01.2019","3,9600","3,9585","3,9690","3,9130","94,71M","0,44%"
"10.01.2019","3,9425","3,9650","4,0000","3,9270","108,93M","-1,00%"
"09.01.2019","3,9825","3,9200","3,9825","3,9070","90,85M","1,85%"
"08.01.2019","3,9100","3,9690","3,9690","3,8830","82,98M","-1,51%"
"04.01.2019","3,9700","3,9760","3,9800","3,9210","64,05M","-0,15%"
"03.01.2019","3,9760","3,8600","3,9985","3,8355","88,28M","2,49%"
"29.12.2018","3,8795","3,8845","3,9030","3,8700","4,13M","-0,13%"
"28.12.2018","3,8845","3,9175","3,9395","3,8700","37,32M","-0,82%"
"27.12.2018","3,9165","3,8675","3,9165","3,8465","53,37M","1,85%"
"26.12.2018","3,8455","3,8295","3,8455","3,8015","6,75M","0,56%"
"25.12.2018","3,8240","3,8735","3,8735","3,7200","17,12M","-1,73%"
"24.12.2018","3,8915","3,8705","3,9035","3,8675","13,11M","0,62%"
"21.12.2018","3,8675","3,8750","3,9200","3,8675","147,50M","-0,83%"
"20.12.2018","3,9000","3,8865","3,9000","3,8705","99,66M","0,35%"
"19.12.2018","3,8865","3,8905","3,9130","3,8710","74,90M","-0,41%"
"18.12.2018","3,9025","3,8510","3,9400","3,8510","88,59M","-0,03%"
"17.12.2018","3,9035","3,8670","3,9260","3,8520","57,52M","0,50%"
"14.12.2018","3,8840","3,9025","3,9155","3,8460","44,73M","-0,92%"
"13.12.2018","3,9200","3,8755","3,9495","3,8755","93,10M","0,94%"
"12.12.2018","3,8835","3,9200","3,9200","3,8605","53,69M","0,05%"
"11.12.2018","3,8815","3,9030","3,9245","3,8525","105,39M","-0,21%"
"10.12.2018","3,8895","3,9400","3,9570","3,8825","54,22M","-1,33%"
"07.12.2018","3,9420","4,0100","4,0285","3,9010","127,26M","-1,55%"
"06.12.2018","4,0040","4,0460","4,1170","3,9540","94,34M","-1,12%"
"05.12.2018","4,0495","4,1095","4,1200","3,9910","99,41M","-1,79%"
"04.12.2018","4,1235","4,0610","4,1235","4,0375","98,63M","0,81%"
"03.12.2018","4,0905","4,0810","4,1250","4,0585","90,70M","-0,11%"
"30.11.2018","4,0950","3,9510","4,0950","3,9510","118,28M","3,21%"
"29.11.2018","3,9675","3,9480","3,9960","3,9300","78,94M","0,70%"
"28.11.2018","3,9400","3,9440","3,9750","3,9180","50,39M","-0,39%"
"27.11.2018","3,9555","3,8700","3,9670","3,8625","46,02M","1,44%"
"26.11.2018","3,8995","3,9700","3,9855","3,8435","88,37M","-1,92%"
"23.11.2018","3,9760","3,9500","3,9760","3,8945","46,33M","0,38%"
"22.11.2018","3,9610","3,8825","3,9610","3,8825","43,36M","2,02%"
"21.11.2018","3,8825","3,8395","3,9190","3,8235","61,83M","2,01%"
"20.11.2018","3,8060","3,8550","3,9185","3,8060","52,38M","-1,34%"
"19.11.2018","3,8575","3,9600","3,9730","3,8530","54,86M","-2,51%"
"16.11.2018","3,9570","3,9890","4,0020","3,9520","60,58M","-0,60%"
"15.11.2018","3,9810","3,9930","4,0180","3,9490","37,04M","0,05%"
"14.11.2018","3,9790","4,0300","4,0455","3,9415","82,65M","-1,27%"
"13.11.2018","4,0300","3,9475","4,0310","3,9300","118,45M","2,03%"
"12.11.2018","3,9500","4,0415","4,0490","3,9405","52,63M","-1,97%"
"09.11.2018","4,0295","3,9895","4,0295","3,8935","139,82M","0,99%"
"08.11.2018","3,9900","4,0250","4,0630","3,9890","97,83M","-0,86%"
"07.11.2018","4,0245","4,0190","4,0475","3,9455","59,32M","0,61%"
"06.11.2018","4,0000","3,9665","4,0000","3,9310","77,40M","1,41%"
"02.11.2018","3,9445","3,9980","4,0065","3,9200","66,84M","-1,35%"
"01.11.2018","3,9985","3,9820","3,9985","3,9220","98,97M","0,41%"
"31.10.2018","3,9820","3,9400","3,9820","3,8860","113,78M","1,54%"
"30.10.2018","3,9215","3,8290","3,9215","3,7695","75,43M","2,47%"
"29.10.2018","3,8270","3,7350","3,8390","3,7285","71,94M","2,88%"
"26.10.2018","3,7200","3,6845","3,7200","3,6300","56,08M","0,95%"
"25.10.2018","3,6850","3,7300","3,7485","3,6560","85,94M","-1,21%"
"24.10.2018","3,7300","3,7495","3,8000","3,7300","64,46M","0,00%"
"23.10.2018","3,7300","3,8535","3,8710","3,7300","90,38M","-3,62%"
"22.10.2018","3,8700","3,8900","3,9190","3,8575","39,31M","-0,41%"
"19.10.2018","3,8860","3,9720","4,0245","3,8610","44,46M","-2,79%"
"18.10.2018","3,9975","4,0260","4,0670","3,9645","90,00M","-1,87%"
"17.10.2018","4,0735","3,9500","4,0735","3,9500","81,07M","2,36%"
"16.10.2018","3,9795","3,8555","3,9805","3,8555","68,87M","3,22%"
"15.10.2018","3,8555","3,8960","3,9470","3,8415","47,37M","-0,73%"
"12.10.2018","3,8840","3,9680","3,9880","3,8705","60,38M","-1,87%"
"11.10.2018","3,9580","3,9240","3,9895","3,8815","81,98M","-0,85%"
"10.10.2018","3,9920","3,9600","4,0350","3,9480","71,48M","1,69%"
"09.10.2018","3,9255","4,0000","4,0400","3,9255","55,36M","-1,12%"
"08.10.2018","3,9700","4,0300","4,0585","3,9250","70,09M","-1,26%"
"05.10.2018","4,0205","4,0975","4,1005","4,0205","89,18M","-1,70%"
"04.10.2018","4,0900","4,0985","4,1310","4,0700","71,20M","0,25%"
"03.10.2018","4,0800","4,1150","4,1340","4,0230","93,42M","-0,72%"
"02.10.2018","4,1095","4,0800","4,1200","4,0410","75,83M","1,78%"
"01.10.2018","4,0375","4,1115","4,1230","4,0030","66,31M","-1,68%"
"28.09.2018","4,1065","4,1625","4,1705","4,0155","80,24M","-1,72%"
"27.09.2018","4,1785","4,1300","4,1800","4,1230","80,18M","1,17%"
"26.09.2018","4,1300","4,1200","4,1690","4,1155","80,03M","0,01%"
"25.09.2018","4,1295","4,0800","4,1295","4,0405","65,93M","1,45%"
"24.09.2018","4,0705","4,0470","4,0960","4,0200","43,70M","1,46%"
"21.09.2018","4,0120","4,1195","4,1900","4,0120","251,21M","-1,82%"
"20.09.2018","4,0865","4,1065","4,1700","4,0735","178,39M","-0,81%"
"19.09.2018","4,1200","4,1990","4,1995","4,1050","69,66M","-1,74%"
"18.09.2018","4,1930","4,0840","4,1975","4,0685","131,45M","2,83%"
"17.09.2018","4,0775","3,9510","4,1350","3,9510","138,70M","3,23%"
"14.09.2018","3,9500","3,9250","3,9830","3,9250","61,80M","0,77%"
"13.09.2018","3,9200","3,8900","3,9650","3,8645","68,70M","0,77%"
"12.09.2018","3,8900","3,7920","3,8900","3,7610","78,36M","2,91%"
"11.09.2018","3,7800","3,7005","3,7985","3,6790","144,80M","1,64%"
"10.09.2018","3,7190","3,7895","3,8240","3,6735","74,90M","-1,09%"
"07.09.2018","3,7600","3,8870","3,9150","3,6905","103,71M","-2,82%"
"06.09.2018","3,8690","3,9695","3,9895","3,8150","62,24M","-2,05%"
"05.09.2018","3,9500","3,9745","3,9955","3,9410","79,96M","-0,63%"
"04.09.2018","3,9750","4,0340","4,0485","3,9650","43,93M","-0,95%"
"03.09.2018","4,0130","4,0400","4,0400","3,9905","25,24M","-0,67%"
"31.08.2018","4,0400","3,9835","4,0400","3,9170","92,19M","1,33%"
"30.08.2018","3,9870","4,0250","4,0290","3,9505","100,29M","-0,57%"
"29.08.2018","4,0100","4,0220","4,0360","3,9900","63,64M","-0,35%"
"28.08.2018","4,0240","4,0450","4,0685","3,9850","62,34M","-0,40%"
"27.08.2018","4,0400","3,9380","4,0400","3,9120","124,13M","3,44%"
"24.08.2018","3,9055","3,9950","4,0120","3,8600","78,51M","-2,36%"
"23.08.2018","4,0000","4,0470","4,0650","3,9515","96,75M","-1,40%"
"22.08.2018","4,0570","4,0650","4,1195","4,0255","97,93M","-0,06%"
