,0,1,2,3,4,5,6,7,8
0,311480.0,131.63,2.0,30.082621,59.724677,28.29,47.0,196596.0,1.0
1,254997.0,145.1,5.0,30.316138,59.911854,1.73,55.0,318800.0,1.0
2,353742.0,73.5,7.0,30.301127,59.912368,3.13,55.0,130418.0,1.0
3,190000.0,33.9,9.0,30.449978,59.956836,13.7,15.0,92376.0,1.0
4,166667.0,89.4,5.0,30.325543,59.926372,0.5,26.0,99886.0,1.0
5,367200.0,95.82,7.0,30.268635,59.943372,6.53,33.0,209600.0,1.0
6,387600.0,57.61,7.0,30.268635,59.943372,6.53,33.0,137920.0,1.0
7,387600.0,63.92,7.0,30.268635,59.943372,6.53,33.0,217404.4,1.0
8,317646.0,57.91,9.0,30.404316,59.938175,8.57,17.0,94800.0,1.0
9,317645.0,66.27,9.0,30.404316,59.938175,8.57,17.0,156800.0,1.0
10,317646.0,58.88,9.0,30.404316,59.938175,8.57,17.0,94800.0,1.0
11,306897.0,82.24,9.0,30.404316,59.938175,8.57,17.0,189976.4,1.0
12,343300.0,90.09,9.0,30.404316,59.938175,8.57,17.0,140660.0,1.0
13,317646.0,54.59,9.0,30.404316,59.938175,8.57,17.0,84440.0,1.0
14,332897.0,69.77,9.0,30.404316,59.938175,8.57,17.0,67052.0,1.0
15,364357.0,78.22,9.0,30.404316,59.938175,8.57,17.0,157356.4,1.0
16,255556.0,72.0,20.0,30.230537,60.035962,11.73,82.0,112829.4,1.0
17,304000.0,61.63,13.0,30.377394,60.017499,7.12,42.0,117436.0,1.0
18,250000.0,68.79,13.0,30.377394,60.017499,7.12,42.0,119244.0,1.0
19,246967.0,51.1,16.0,30.368563,59.885142,5.32,17.0,81000.0,1.0
20,247500.0,45.2,16.0,30.368563,59.885142,5.32,17.0,74720.0,1.0
21,171429.0,175.0,10.0,30.469974,59.911101,15.93,35.0,265175.8,1.0
22,109295.0,73.7,23.0,30.360434,60.042779,6.79,51.0,136660.0,1.0
23,109300.0,68.5,23.0,30.360434,60.042779,6.79,51.0,174800.0,1.0
24,350000.0,60.0,25.0,30.199195,60.038573,14.97,9.0,128408.0,1.0
25,287500.0,20.0,1.0,30.37009,59.932811,4.76,57.0,55680.0,1.0
26,254546.0,192.5,26.0,30.356625,59.839642,6.03,71.0,390246.0,1.0
27,136364.0,4.4,1.0,30.342404,59.905357,2.3,77.0,47930.0,1.0
28,134546.0,55.0,1.0,30.349627,59.932202,2.49,28.0,91000.0,1.0
