,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,Pushkinsky,Primorsky,Tsentralny,Kalininsky,Krasnogvardeysky,Admiralteysky,Vyborgsky,Frunzensky,Nevsky,Petrogradsky,Vasileostrovsky,Krasnoselsky,Kirovsky,Moskovsky,population,mean_distr_pps,metro_1km,metro_5km,metro_10km
27,296143.6,9.2,9.0,30.267251,60.052344,8.75,32.0,43000.0,184.49,187.33,190.0,192.79,193.36,195.95,195.81,195.09,194.8,194.92,196.3,198.33,199.6,201.77,204.48,206.16,0,5,36
28,253941.4,10.0,1.0,30.175551,59.86176,17.17,62.0,40000.0,62.86,60.01,57.34,54.55,53.98,51.39,51.55,52.29,52.61,52.53,51.14,49.1,47.83,45.65,42.92,41.27,0,0,6
29,255368.6,10.0,1.0,30.20737,59.999125,13.64,109.0,30000.0,254.67,256.23,257.34,259.39,259.45,260.85,260.14,258.93,258.15,257.66,258.62,259.99,260.85,262.23,264.18,264.69,1,3,15
30,249444.8,10.0,1.0,30.342494,59.927225,1.75,71.0,180000.0,279.45,282.33,285.08,287.8,288.42,291.02,290.97,290.38,290.17,290.35,291.71,293.72,294.96,297.1,299.74,301.46,3,32,55
31,282826.2,10.0,1.0,30.386009,59.94051,6.54,37.0,15000.0,229.89,229.99,230.44,229.68,229.98,229.8,230.6,231.68,232.48,233.16,232.76,232.19,231.8,231.21,230.13,230.24,1,20,53
32,277031.6,10.0,2.0,30.269811,59.838168,7.95,23.0,16500.0,291.09,293.68,295.95,298.7,299.1,301.43,300.99,299.96,299.39,299.21,300.53,302.46,303.67,305.68,308.32,309.55,1,7,38
33,250118.0,10.0,2.0,30.443824,59.875623,13.4,19.0,80000.0,328.21,326.91,325.73,323.44,323.26,321.36,321.94,323.07,323.74,324.01,322.74,320.86,319.67,317.66,314.99,313.65,1,10,20
34,260967.4,10.0,2.0,30.511144,59.836934,21.27,31.0,25750.0,202.11,203.89,205.27,207.54,207.68,209.38,208.72,207.53,206.8,206.39,207.49,209.09,210.1,211.75,214.04,214.87,0,2,7
35,350000.0,10.0,20.0,30.215787,60.003327,12.78,95.0,41940.0,258.33,255.51,252.73,250.24,249.57,247.04,246.91,247.25,247.25,246.88,245.64,243.82,242.69,240.71,238.34,236.59,0,5,16
36,255368.6,10.0,1.0,30.326244,60.039661,5.37,110.0,10000.0,21.6,21.37,21.12,22.36,22.22,23.17,22.41,21.21,20.41,19.87,20.76,22.16,23.09,24.68,27.01,27.96,2,11,47
37,246533.6,10.3,2.0,30.317539,59.840659,4.96,53.0,19055.0,49.96,47.08,44.31,41.68,41.03,38.46,38.41,38.89,39.02,38.77,37.44,35.49,34.27,32.2,29.7,27.95,1,15,49
38,219653.4,10.5,23.0,30.355708,60.047762,6.73,49.0,50000.0,212.01,213.71,215.63,216.55,217.15,218.5,219.15,219.72,220.28,220.97,221.43,222.1,222.5,223.26,223.88,225.0,0,10,43
39,215518.0,11.6,4.0,30.305502,59.929623,2.44,43.0,100100.0,224.87,225.62,225.93,227.33,227.18,227.91,227.12,225.96,225.14,224.53,225.18,226.1,226.69,227.59,229.0,229.08,0,27,54
40,200000.0,11.7,1.0,30.376316,59.924943,5.48,69.0,60628.0,146.87,144.6,142.68,140.08,139.78,137.65,138.18,139.29,139.92,140.17,138.9,137.04,135.87,133.93,131.34,130.15,2,21,53
41,266784.6,11.8,2.0,30.358107,59.806174,7.66,15.0,18000.0,270.49,272.87,274.89,277.53,277.85,280.01,279.49,278.38,277.75,277.5,278.77,280.61,281.77,283.68,286.23,287.35,0,6,39
42,227041.6,12.0,2.0,30.375031,59.98958,6.06,80.0,12000.0,125.03,126.67,128.57,129.51,130.12,131.53,132.16,132.7,133.24,133.93,134.42,135.16,135.62,136.49,137.32,138.56,0,15,53
43,241667.0,12.0,4.0,30.350795,59.921056,2.72,50.0,95609.0,166.01,167.81,169.24,171.55,171.71,173.47,172.83,171.64,170.92,170.54,171.67,173.33,174.37,176.09,178.46,179.38,5,33,54
