,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,population,mean_distr_pps,pub_trans_1km
59,334030.0,47.9,3.0,30.359679,59.918526,3.71,46.0,65355.8,200654,244764.85882352944,57.0
60,235656.0,48.8,4.0,30.345863,59.925146,2.14,59.0,110396.0,200654,244764.85882352944,99.0
61,225371.0,155.3,17.0,30.311143,60.014832,4.41,53.0,293700.0,699243,270866.037,28.0
62,393058.0,113.8,10.0,30.15012,59.861038,19.94,73.0,189644.0,431546,252564.08800000005,49.0
63,305703.0,170.1,14.0,30.31329,59.866468,3.84,84.0,332231.0,335221,282621.4952380953,56.0
64,363381.0,35.5,6.0,30.37566,59.925453,5.41,73.0,83800.0,200654,244764.85882352944,53.0
65,293399.0,163.6,12.0,30.327582,60.033499,5.06,97.0,273950.0,541590,234626.65405405403,63.0
66,315910.0,44.0,5.0,30.379343,59.857418,7.16,90.0,157000.0,413983,257039.7413333333,50.0
67,226416.0,53.0,1.0,30.302699,59.922792,2.81,64.0,102500.0,155981,249123.5042857144,88.0
68,160126.0,63.7,25.0,30.375507,59.802929,8.92,26.0,149376.0,263732,214227.69361702123,18.0
69,198006.0,98.0,24.0,30.511773,59.866274,20.93,17.0,168420.0,547896,236967.59302325585,0.0
70,415163.0,55.4,5.0,30.330232,59.854567,4.19,35.0,163920.0,335221,282621.4952380953,84.0
71,433213.0,55.4,5.0,30.330232,59.854567,4.19,35.0,163920.0,335221,282621.4952380953,84.0
72,239094.0,119.2,6.0,30.346096,59.918652,2.27,73.0,256296.0,200654,244764.85882352944,93.0
73,341837.0,49.0,12.0,30.488551,59.951506,17.96,26.0,84680.0,366971,234417.04901960783,50.0
74,431894.0,30.1,5.0,30.31002,59.851467,4.67,80.0,70210.0,335221,282621.4952380953,39.0
75,139634.0,185.7,11.0,30.387329,59.982154,7.15,56.0,393800.0,536794,264184.3025,35.0
76,225353.0,106.5,6.0,30.255079,59.947306,8.05,57.0,190920.0,206680,261018.50256410256,67.0
77,180996.0,44.2,1.0,30.329819,59.915156,1.09,35.0,49616.0,155981,249123.5042857144,39.0
78,115385.0,65.0,1.0,30.304873,59.926607,2.53,48.0,104315.0,155981,249123.5042857144,72.0
79,125579.0,151.3,1.0,30.319309,59.931265,0.91,18.0,418681.8,200654,244764.85882352944,57.0
80,268241.0,93.2,15.0,30.252896,59.955939,8.33,52.0,176750.0,206680,261018.50256410256,36.0
81,33750.0,8.0,12.0,30.378678,59.855331,7.17,89.0,59814.0,413983,257039.7413333333,49.0
82,237038.0,162.0,5.0,30.306553,59.970736,2.91,58.0,250950.0,115757,266189.33541666664,96.0
83,297710.0,65.5,5.0,30.396699,59.85365,8.93,42.0,171444.0,413983,257039.7413333333,46.0
84,278689.0,61.0,7.0,30.304792,59.954628,2.68,46.0,136802.4,115757,266189.33541666664,73.0
85,168750.0,160.0,20.0,30.433565,59.935205,11.82,38.0,208310.0,366971,234417.04901960783,29.0
86,237763.0,143.0,2.0,30.364781,60.052272,7.5,41.0,269620.0,541590,234626.65405405403,58.0
87,227273.0,110.0,2.0,30.364781,60.052272,7.5,41.0,168978.0,541590,234626.65405405403,58.0
88,202454.0,81.5,4.0,30.34253,59.908222,2.21,79.0,144477.0,413983,257039.7413333333,50.0
89,219303.0,63.1,23.0,30.321285,60.081722,7.52,11.0,117640.0,541590,234626.65405405403,17.0
90,131250.0,80.0,1.0,30.307065,59.919725,2.38,66.0,97451.0,155981,249123.5042857144,59.0
91,125000.0,80.0,1.0,30.307065,59.919725,2.38,66.0,97451.0,155981,249123.5042857144,59.0
92,187500.0,4.0,1.0,30.463461,59.895551,15.32,36.0,45110.0,547896,236967.59302325585,43.0
93,198238.0,22.7,1.0,30.361898,59.944111,3.88,37.0,47762.0,200654,244764.85882352944,52.0
94,135431.0,151.0,1.0,30.358493,59.918151,3.59,36.0,275810.0,200654,244764.85882352944,69.0
95,428572.0,28.0,9.0,30.374124,59.869562,6.3,82.0,57210.0,413983,257039.7413333333,51.0
96,440741.0,27.0,7.0,30.346016,59.92023,2.23,73.0,55730.0,200654,244764.85882352944,92.0
97,257900.0,71.9,24.0,30.277061,60.059683,8.26,28.0,117990.0,699243,270866.037,11.0
98,250000.0,121.0,4.0,30.430933,59.925335,11.54,27.0,170775.8,366971,234417.04901960783,36.0
99,250000.0,143.0,4.0,30.430933,59.925335,11.54,27.0,371885.0,366971,234417.04901960783,36.0
100,319728.0,73.5,7.0,30.302124,59.912414,3.03,58.0,101418.0,155981,249123.5042857144,67.0
101,235000.0,137.2,17.0,30.334391,59.987753,2.83,71.0,298767.0,541590,234626.65405405403,73.0
102,201500.0,106.7,13.0,30.336574,59.988469,2.95,66.0,170400.0,541590,234626.65405405403,74.0
103,246700.0,143.9,6.0,30.326998,59.956444,1.08,33.0,218630.0,115757,266189.33541666664,52.0
104,107213.0,102.6,1.0,30.38167,59.933947,6.05,63.0,159000.0,200654,244764.85882352944,71.0
105,146079.0,102.0,5.0,30.288658,59.912589,4.44,52.0,216640.0,155981,249123.5042857144,60.0
106,184714.0,62.8,10.0,30.364799,60.043848,7.13,53.0,131420.0,541590,234626.65405405403,75.0
107,178904.0,96.7,4.0,30.158834,59.998405,18.92,17.0,192240.0,699243,270866.037,3.0
108,450000.0,126.47,11.0,30.338083,59.880582,3.1,19.0,245622.8,335221,282621.4952380953,32.0
109,245902.0,183.0,1.0,30.31108,59.870849,3.74,77.0,427599.0,335221,282621.4952380953,21.0
110,262998.0,130.1,26.0,30.363012,60.044469,7.04,52.0,294000.0,541590,234626.65405405403,73.0
111,352031.0,51.7,4.0,30.302555,59.949555,2.84,38.0,123411.8,115757,266189.33541666664,55.0
112,124546.0,110.0,1.0,30.297974,59.9308,3.27,53.0,213772.0,155981,249123.5042857144,68.0
113,232121.0,79.7,1.0,30.377268,59.933068,5.56,55.0,141256.0,200654,244764.85882352944,63.0
114,141026.0,39.0,5.0,30.338254,59.927806,1.28,55.0,97492.0,200654,244764.85882352944,59.0
115,179311.0,182.7,3.0,30.333466,60.039436,5.44,79.0,402474.0,541590,234626.65405405403,66.0
116,122728.0,110.0,9.0,30.41153,59.951132,9.41,25.0,221170.0,366971,234417.04901960783,76.0
117,450000.0,99.27,11.0,30.338083,59.880582,3.1,19.0,235184.0,335221,282621.4952380953,32.0
118,400000.0,56.04,11.0,30.338083,59.880582,3.1,19.0,76000.0,335221,282621.4952380953,32.0
119,450000.0,84.02,11.0,30.338083,59.880582,3.1,19.0,145924.4,335221,282621.4952380953,32.0
120,180000.0,70.0,25.0,30.364045,59.811609,7.76,31.0,136990.0,263732,214227.69361702123,12.0
121,199571.0,46.6,25.0,30.375507,59.802929,8.92,26.0,78180.0,263732,214227.69361702123,18.0
122,182836.0,53.6,25.0,30.375507,59.802929,8.92,26.0,116120.0,263732,214227.69361702123,18.0
123,255103.0,98.0,25.0,30.375507,59.802929,8.92,26.0,159480.0,263732,214227.69361702123,18.0
124,161268.0,142.0,14.0,30.361844,59.809202,7.74,24.0,343000.0,263732,214227.69361702123,9.0
125,143199.0,41.9,1.0,30.316326,59.909779,1.79,58.0,117592.0,155981,249123.5042857144,70.0
126,178723.0,111.9,1.0,30.314817,59.904189,2.11,72.0,182976.0,155981,249123.5042857144,62.0
127,218151.0,171.9,3.0,30.369012,59.929853,4.65,53.0,394300.0,200654,244764.85882352944,37.0
128,236221.0,25.4,5.0,30.297156,59.956899,3.52,48.0,53504.0,115757,266189.33541666664,62.0
129,300000.0,24.0,7.0,30.319848,59.855304,4.18,55.0,64080.0,335221,282621.4952380953,75.0
130,59091.0,55.0,4.0,30.360766,59.920086,3.81,47.0,96331.8,200654,244764.85882352944,57.0
131,40164.0,122.0,5.0,30.342692,59.91692,1.97,79.0,262296.0,200654,244764.85882352944,73.0
132,218636.0,82.1,5.0,30.351684,59.924167,2.78,41.0,129862.0,200654,244764.85882352944,106.0
133,396154.0,13.0,5.0,30.359077,59.928843,3.55,34.0,42554.0,200654,244764.85882352944,54.0
134,194772.0,76.5,16.0,30.51878,59.831282,22.19,18.0,169600.0,547896,236967.59302325585,7.0
135,241667.0,12.0,4.0,30.350795,59.921056,2.72,50.0,54953.8,200654,244764.85882352944,111.0
136,52546.0,55.0,1.0,30.356346,59.940875,3.25,31.0,123000.0,200654,244764.85882352944,83.0
137,99656.0,29.0,1.0,30.388748,59.945855,6.86,24.0,148464.0,200654,244764.85882352944,33.0
138,287340.0,70.3,14.0,30.334957,60.035535,5.27,65.0,188240.0,541590,234626.65405405403,65.0
139,166000.0,186.3,14.0,30.362015,59.807106,7.84,23.0,300495.4,263732,214227.69361702123,9.0
140,175000.0,93.3,14.0,30.362015,59.807106,7.84,23.0,210460.0,263732,214227.69361702123,9.0
141,118933.0,20.6,9.0,30.367467,60.051167,7.63,39.0,67900.0,541590,234626.65405405403,59.0
142,267606.0,35.5,5.0,30.323279,59.913447,1.21,40.0,55256.0,155981,249123.5042857144,63.0
143,72464.0,158.7,1.0,30.284526,59.920082,4.81,50.0,317200.0,155981,249123.5042857144,54.0
144,179834.0,60.0,5.0,30.344336,60.072094,7.4,53.0,114820.0,541590,234626.65405405403,34.0
145,287540.0,156.5,1.0,30.296473,59.918647,3.53,55.0,237200.0,155981,249123.5042857144,72.0
146,307930.0,97.1,1.0,30.405727,60.032919,10.25,65.0,308522.0,536794,264184.3025,65.0
147,220351.0,62.8,23.0,30.319785,60.077463,7.31,26.0,149376.0,541590,234626.65405405403,24.0
148,377114.0,153.8,1.0,30.362374,59.937121,3.9,32.0,291090.0,200654,244764.85882352944,51.0
149,384115.0,76.8,4.0,30.306912,59.924555,2.33,45.0,105115.0,155981,249123.5042857144,71.0
150,221154.0,26.0,14.0,30.333619,59.982059,2.52,66.0,59930.0,541590,234626.65405405403,63.0
151,372943.0,121.0,3.0,30.245566,59.963066,9.18,40.0,178220.4,115757,266189.33541666664,24.0
152,153077.0,65.0,7.0,30.283187,59.983265,5.44,41.0,191442.0,699243,270866.037,27.0
153,241434.0,64.2,9.0,30.233529,59.949956,10.45,63.0,129130.0,206680,261018.50256410256,69.0
154,155618.0,89.9,1.0,30.21664,59.958814,12.35,82.0,165710.6,206680,261018.50256410256,28.0
155,128429.0,70.0,1.0,30.222183,59.958386,11.73,93.0,93800.0,206680,261018.50256410256,24.0
156,236140.0,48.7,7.0,30.446474,59.873266,13.72,19.0,69383.0,547896,236967.59302325585,47.0
157,138889.0,18.0,8.0,30.314296,59.912774,1.85,61.0,52930.0,155981,249123.5042857144,71.0
158,352942.0,170.0,5.0,30.361134,59.940785,3.78,27.0,289752.0,200654,244764.85882352944,50.0
