,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,population
251,200000.0,37.7,4.0,30.29094,60.01074,5.51,84.0,76214.0,200654
256,210500.0,38.0,5.0,30.406849,59.927644,8.86,19.0,88618.0,200654
258,312178.0,38.4,9.0,30.335083,60.011441,4.04,58.0,105012.0,200654
259,312178.0,38.4,9.0,30.335083,60.011441,4.04,58.0,105012.0,200654
260,90390.0,38.5,3.0,30.315679,59.959228,1.77,76.0,64600.0,200654
262,141026.0,39.0,5.0,30.338254,59.927806,1.28,55.0,84250.0,200654
263,200000.0,39.0,9.0,30.474008,59.862352,16.86,34.0,97012.0,200654
264,176924.0,39.0,12.0,30.358287,59.810505,7.47,18.0,93520.0,200654
266,242967.0,39.1,6.0,30.294192,59.920303,3.76,56.0,117610.0,200654
275,225000.0,40.0,6.0,30.35269,59.926381,2.87,23.0,128092.0,200654
282,283951.0,40.5,5.0,30.359912,59.938928,3.63,22.0,128092.0,200654
283,420000.0,40.67,10.0,30.429685,59.881358,11.79,23.0,135092.0,200654
284,388754.0,40.9,5.0,30.509186,59.831548,21.15,31.0,128092.0,200654
286,365610.0,41.0,8.0,30.094478,59.84273,26.12,18.0,135092.0,200654
287,97318.0,41.0,8.0,30.371456,59.922201,4.96,60.0,135092.0,413983
288,236342.0,41.0,19.0,30.184849,59.942245,15.84,15.0,95320.0,413983
294,143199.0,41.9,1.0,30.316326,59.909779,1.79,58.0,69401.8,200654
295,189286.0,42.0,5.0,30.29739,59.95402,3.45,48.0,134092.0,200654
296,368600.0,42.06,10.0,30.318985,59.906504,1.74,47.0,107700.0,200654
298,177726.0,42.2,16.0,30.32486,60.053701,6.09,94.0,95320.0,200654
299,389151.0,42.4,5.0,30.33087,59.843693,4.76,80.0,124748.0,200654
301,175582.0,43.0,1.0,30.349249,59.917493,2.62,62.0,125903.0,200654
302,216280.0,43.0,5.0,30.304792,59.954628,2.68,46.0,98356.0,200654
303,313721.0,43.0,5.0,30.348297,59.945544,2.4,23.0,98356.0,200654
307,407835.0,43.4,11.0,30.338991,59.876928,3.32,18.0,94000.0,200654
