,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,Primorsky,Tsentralny,Kalininsky,Krasnogvardeysky,Admiralteysky,Vyborgsky,Frunzensky,Nevsky,Petrogradsky,Vasileostrovsky,Krasnoselsky,Moskovsky,population,mean_distr_price_per_square
43,440741.0,27.0,7.0,30.346016,59.92023,2.23,73.0,69396.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
44,379920.0,27.19,19.0,30.184849,59.942245,15.84,15.0,94240.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
45,428572.0,28.0,9.0,30.374124,59.869562,6.3,82.0,71100.0,0,0,0,0,0,0,1,0,0,0,0,0,413983,242403.375
46,351000.0,28.96,5.0,30.308322,59.754121,9.41,12.0,75796.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
47,99656.0,29.0,1.0,30.388748,59.945855,6.86,24.0,103550.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
48,280822.0,29.2,5.0,30.357586,59.930962,3.38,23.0,75796.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
49,283334.0,30.0,1.0,30.246536,59.930264,8.98,44.0,101000.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
50,431894.0,30.1,5.0,30.31002,59.851467,4.67,80.0,70796.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
51,197369.0,30.4,5.0,30.442773,59.885616,13.15,17.0,99440.0,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
52,274510.0,30.6,9.0,30.386071,59.86823,7.49,74.0,92080.0,0,0,0,0,0,0,1,0,0,0,0,0,413983,242403.375
53,276873.0,30.7,1.0,30.357397,59.838607,6.13,67.0,117000.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
54,213376.0,31.4,5.0,30.442773,59.885616,13.15,17.0,94100.0,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
55,141510.0,31.8,5.0,30.33149,60.037063,5.28,83.0,86300.0,0,0,0,0,0,1,0,0,0,0,0,0,541590,213930.27160493826
56,117284.0,32.4,6.0,30.373836,59.933645,5.18,60.0,86300.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
57,220184.0,32.7,1.0,30.345854,59.917209,2.28,74.0,52776.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
58,158537.0,32.8,18.0,30.331535,60.017292,4.26,75.0,67600.0,0,0,0,0,0,1,0,0,0,0,0,0,541590,213930.27160493826
59,293940.0,33.0,5.0,30.297237,59.966493,3.68,43.0,84300.0,0,0,0,0,0,0,0,0,1,0,0,0,115757,268974.5714285714
60,170000.0,33.27,2.0,30.084013,59.724491,28.15,48.0,57876.0,0,0,0,0,0,0,0,0,0,0,1,0,431546,260245.32727272727
62,190000.0,33.9,9.0,30.449978,59.956836,13.7,15.0,74780.0,0,0,0,1,0,0,0,0,0,0,0,0,366971,228121.51162790696
63,257226.0,34.6,18.0,30.421196,59.890681,10.74,34.0,54600.0,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
64,236312.0,34.7,3.0,30.337787,59.946946,1.31,21.0,74696.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
65,267606.0,35.5,5.0,30.323279,59.913447,1.21,40.0,78796.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
66,363381.0,35.5,6.0,30.37566,59.925453,5.41,73.0,58388.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
67,277500.0,36.0,2.0,30.276163,59.939027,5.69,37.0,72596.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
68,283334.0,36.0,2.0,30.276163,59.939027,5.69,37.0,72596.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
69,123967.0,36.3,19.0,30.213846,59.95229,12.64,69.0,58200.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
70,398681.0,36.37,12.0,30.338083,59.880582,3.1,19.0,78400.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
71,77028.0,37.0,1.0,30.375516,59.936282,5.36,50.0,61000.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
72,205406.0,37.0,10.0,30.372291,59.831173,7.51,26.0,73620.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
73,185984.0,37.1,5.0,30.375651,59.860486,6.73,84.0,76214.0,0,0,0,0,0,0,1,0,0,0,0,0,413983,242403.375
74,307251.0,37.1,14.0,30.316183,59.857003,4.19,76.0,79520.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
75,190000.0,37.28,5.0,30.387724,60.026051,8.34,50.0,76214.0,0,0,1,0,0,0,0,0,0,0,0,0,536794,273406.70454545453
76,234542.0,37.52,14.0,30.372291,59.831173,7.51,26.0,79520.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
77,200000.0,37.7,4.0,30.29094,60.01074,5.51,84.0,76214.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
78,210500.0,38.0,5.0,30.406849,59.927644,8.86,19.0,88618.0,0,0,0,1,0,0,0,0,0,0,0,0,366971,228121.51162790696
79,312178.0,38.4,9.0,30.335083,60.011441,4.04,58.0,105012.0,0,0,0,0,0,1,0,0,0,0,0,0,541590,213930.27160493826
80,312178.0,38.4,9.0,30.335083,60.011441,4.04,58.0,105012.0,0,0,0,0,0,1,0,0,0,0,0,0,541590,213930.27160493826
81,90390.0,38.5,3.0,30.315679,59.959228,1.77,76.0,64600.0,0,0,0,0,0,0,0,0,1,0,0,0,115757,268974.5714285714
82,141026.0,39.0,5.0,30.338254,59.927806,1.28,55.0,84250.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
83,200000.0,39.0,9.0,30.474008,59.862352,16.86,34.0,97012.0,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
85,242967.0,39.1,6.0,30.294192,59.920303,3.76,56.0,117610.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
86,225000.0,40.0,6.0,30.35269,59.926381,2.87,23.0,128092.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
87,283951.0,40.5,5.0,30.359912,59.938928,3.63,22.0,128092.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
88,420000.0,40.67,10.0,30.429685,59.881358,11.79,23.0,135092.0,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
89,388754.0,40.9,5.0,30.509186,59.831548,21.15,31.0,128092.0,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
90,365610.0,41.0,8.0,30.094478,59.84273,26.12,18.0,135092.0,0,0,0,0,0,0,0,0,0,0,1,0,431546,260245.32727272727
91,97318.0,41.0,8.0,30.371456,59.922201,4.96,60.0,135092.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
92,236342.0,41.0,19.0,30.184849,59.942245,15.84,15.0,95320.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
93,143199.0,41.9,1.0,30.316326,59.909779,1.79,58.0,69401.8,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
94,189286.0,42.0,5.0,30.29739,59.95402,3.45,48.0,134092.0,0,0,0,0,0,0,0,0,1,0,0,0,115757,268974.5714285714
