,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,Pushkinsky,Primorsky,Tsentralny,Kalininsky,Krasnogvardeysky,Admiralteysky,Vyborgsky,Frunzensky,Nevsky,Petrogradsky,Vasileostrovsky,Krasnoselsky,Kirovsky,Moskovsky,population,mean_distr_pps
40,215518.0,11.6,4.0,30.305502,59.929623,2.44,43.0,100100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,155981,248729.14379084966
41,200000.0,11.7,1.0,30.376316,59.924943,5.48,69.0,60628.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200654,241670.61921397378
42,266784.6,11.8,2.0,30.358107,59.806174,7.66,15.0,18000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,263732,216441.6716981132
44,227041.6,12.0,2.0,30.375031,59.98958,6.06,80.0,12000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,536794,262758.3340659341
45,241667.0,12.0,4.0,30.350795,59.921056,2.72,50.0,95609.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200654,241670.61921397378
46,269541.8,12.0,1.0,30.305124,59.949596,2.56,42.0,20000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,115757,263780.52452830196
47,266394.0,12.2,18.0,30.199994,59.860161,14.55,27.0,43216.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,431546,251833.7180952381
48,300903.4,12.5,1.0,30.371653,59.812193,8.25,33.0,50000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,263732,216441.6716981132
49,260000.0,12.84,5.0,30.387724,60.026051,8.34,50.0,43011.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,536794,262758.3340659341
50,249949.8,13.0,1.0,30.302825,59.921651,2.81,67.0,35000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,155981,248729.14379084966
51,307693.0,13.0,1.0,30.32893,59.915143,1.06,38.0,29300.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,155981,248729.14379084966
52,346154.0,13.0,3.0,30.339143,59.924325,1.44,65.0,60628.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200654,241670.61921397378
53,396154.0,13.0,5.0,30.359077,59.928843,3.55,34.0,313300.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200654,241670.61921397378
54,234616.0,13.0,9.0,30.376477,59.856176,6.94,83.0,35614.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,413983,254696.63902439023
55,249444.8,13.3,2.0,30.30834,59.915585,2.33,71.0,20000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,155981,248729.14379084966
56,245074.2,13.3,6.0,30.245566,59.963066,9.18,40.0,93100.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,115757,263780.52452830196
57,308089.0,13.6,5.0,30.411206,59.871997,9.97,31.0,312500.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,413983,254696.63902439023
58,261134.2,14.0,1.0,30.207648,60.034474,14.03,23.0,70000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,699243,269920.7057777778
59,277031.6,14.0,1.0,30.270243,59.838475,7.9,24.0,60000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,335774,235598.56981132075
60,300000.0,14.0,1.0,30.286619,59.926706,4.54,76.0,62400.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,155981,248729.14379084966
61,261134.2,14.0,2.0,30.475319,59.966241,16.56,23.0,19600.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,366971,235136.75221238937
62,186677.0,14.2,3.0,30.285451,59.898449,5.0,44.0,47220.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,335774,235598.56981132075
63,249896.8,14.84,7.0,30.469489,59.952006,15.84,23.0,48081.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,366971,235136.75221238937
64,249949.8,15.0,1.0,30.291066,59.957575,4.17,69.0,45000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,115757,263780.52452830196
65,253334.0,15.0,1.0,30.350274,59.916618,2.74,56.0,29439.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200654,241670.61921397378
66,256618.0,15.0,1.0,30.405978,59.719555,14.78,21.0,55000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,263732,216441.6716981132
67,276864.8,15.0,1.0,30.464414,59.864643,15.79,32.0,25000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,547896,233645.41980198017
68,170000.0,15.0,1.0,30.482389,59.885973,17.49,30.0,27470.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,547896,233645.41980198017
69,186000.0,15.0,6.0,30.311278,59.911475,2.16,57.0,33639.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,155981,248729.14379084966
70,237180.0,15.6,13.0,30.251845,60.015404,9.21,120.0,29828.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,699243,269920.7057777778
71,213542.2,16.0,25.0,30.368455,60.046571,7.51,50.0,26000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,541590,236507.11325301204
