,squares,max_floor,metro_1km,latitude,longitude,parkings_1km,distance_to_center,mean_distr_pps
69,31.4,25.0,4.0,59.923978,30.343922,76.0,3.56,254919.1581632653
70,31.6,9.0,2.0,59.924835,30.381095,63.0,7.66,254919.1581632653
71,31.8,3.0,1.0,59.982748,30.336763,65.0,3.6,225573.17423312887
72,31.8,5.0,1.0,60.037063,30.33149,83.0,5.55,225573.17423312887
73,32.0,1.0,0.0,59.719555,30.405978,21.0,15.73,189180.75698924728
74,32.0,18.0,1.0,59.912414,30.302124,58.0,1.66,277500.88611111115
75,32.0,20.0,1.0,60.003232,30.209391,109.0,11.84,279766.9102439024
76,32.0,7.2,2.0,59.986902,30.295755,58.0,3.09,279766.9102439024
77,32.0,5.0,1.0,59.960435,30.304621,43.0,1.47,288191.65576923074
78,32.2,6.0,1.0,59.958417,30.340617,39.0,3.33,225573.17423312887
79,32.4,4.0,1.0,59.960007,30.26479,35.0,5.41,288191.65576923074
80,32.4,6.0,0.0,59.933645,30.373836,60.0,6.83,254919.1581632653
81,32.7,5.0,3.0,59.917209,30.345854,74.0,3.85,254919.1581632653
82,32.8,18.0,0.0,60.017292,30.331535,75.0,4.63,225573.17423312887
83,33.0,1.0,0.0,59.897063,30.459545,40.0,16.51,218420.79166666663
84,33.0,3.0,0.0,59.853211,30.224815,56.0,10.45,239969.54054054053
85,33.0,5.0,1.0,59.966493,30.297237,43.0,2.24,288191.65576923074
86,33.0,5.0,0.0,59.951285,30.414476,32.0,11.38,222474.55818181817
87,33.6,25.0,0.0,59.806821,30.369282,31.0,9.32,189180.75698924728
88,33.9,9.0,0.0,59.956836,30.449978,15.0,15.34,222474.55818181817
89,34.0,9.0,0.0,60.010124,30.247381,109.0,8.01,279766.9102439024
90,34.6,18.0,1.0,59.890681,30.421196,34.0,12.36,218420.79166666663
91,34.7,3.0,1.0,59.946946,30.337787,21.0,2.87,254919.1581632653
92,35.0,5.0,1.0,60.005549,30.263173,108.0,6.38,279766.9102439024
93,35.0,6.0,1.0,60.011356,30.402672,40.0,10.83,261699.9675
94,35.0,15.0,1.0,59.939974,30.279298,48.0,3.69,261970.0192
