,squares,max_floor,metro_1km,latitude,longitude,parkings_1km,distance_to_center,mean_distr_pps
970,111.0,5.0,1.0,59.932184,30.369471,54.0,6.35,254919.1581632653
964,110.5,6.0,3.0,59.911033,30.353355,47.0,4.74,245996.38888888888
1437,190.2,4.0,0.0,59.844126,30.212364,56.0,11.87,239969.54054054053
241,50.46,19.0,0.0,59.942245,30.184849,15.0,14.19,261970.0192
1183,140.0,2.0,1.0,59.930764,30.307011,38.0,0.67,277500.88611111115
1442,192.4,4.0,1.0,60.004307,30.263568,112.0,6.32,279766.9102439024
697,86.1,14.0,1.0,59.885142,30.368563,17.0,6.81,245996.38888888888
711,88.3,15.0,0.0,59.895772,30.465483,33.0,17.18,218420.79166666663
873,101.72,17.0,2.0,59.999147,30.303211,65.0,3.27,279766.9102439024
602,79.0,25.0,0.0,59.933577,30.25401,47.0,6.5,261970.0192
657,82.2,13.0,1.0,59.847268,30.41594,41.0,12.51,245996.38888888888
250,51.7,4.0,0.0,59.949555,30.302555,38.0,1.27,288191.65576923074
1147,133.7,25.0,2.0,60.000857,30.304289,65.0,3.32,279766.9102439024
910,106.1,9.0,5.0,59.931851,30.356921,22.0,4.95,254919.1581632653
346,60.0,23.0,2.0,59.932915,30.366407,44.0,6.01,254919.1581632653
1140,132.3,13.0,2.0,59.999458,30.302142,71.0,3.32,279766.9102439024
1149,134.0,2.0,1.0,59.896946,30.306094,50.0,2.09,277500.88611111115
1241,150.0,23.0,0.0,60.030245,30.2026,18.0,12.89,279766.9102439024
354,60.77,14.0,1.0,59.936206,30.417396,47.0,11.67,222474.55818181817
1440,192.0,9.0,0.0,59.943773,30.255528,57.0,6.34,261970.0192
917,107.4,8.0,1.0,59.849162,30.329001,55.0,4.82,284126.8703125
264,53.1,5.0,2.0,59.952331,30.2973,46.0,1.85,288191.65576923074
1219,147.0,6.0,1.0,59.960877,30.302869,43.0,1.61,288191.65576923074
557,76.0,16.0,0.0,59.984733,30.319416,107.0,2.55,279766.9102439024
1214,145.8,9.0,0.0,59.840438,30.157064,87.0,17.73,282094.2408163265
394,63.86,8.0,0.0,60.041251,30.241901,63.0,9.22,279766.9102439024
190,46.6,25.0,0.0,59.802929,30.375507,26.0,9.98,189180.75698924728
791,95.44,9.0,0.0,59.897063,30.459545,40.0,16.51,218420.79166666663
1088,125.4,18.0,0.0,59.900128,30.443869,22.0,14.76,218420.79166666663
1375,179.0,5.0,0.0,60.036488,30.343132,59.0,6.18,225573.17423312887
1014,115.0,9.0,5.0,59.931851,30.356921,22.0,4.95,254919.1581632653
488,71.7,5.0,2.0,59.925128,30.37654,67.0,7.16,254919.1581632653
1461,199.4,5.0,2.0,59.855304,30.319848,55.0,4.18,284126.8703125
322,58.0,7.0,0.0,59.896097,30.332244,40.0,3.02,284126.8703125
1358,170.0,5.0,1.0,59.952074,30.232891,63.0,8.87,261970.0192
1293,156.6,16.0,0.0,60.006125,30.409338,33.0,11.43,261699.9675
584,77.92,11.0,0.0,60.018349,30.378714,41.0,8.56,261699.9675
1266,152.0,15.0,1.0,59.831173,30.372291,26.0,8.69,284126.8703125
1097,126.8,12.0,1.0,59.842748,30.248692,34.0,8.34,239969.54054054053
747,90.5,20.0,2.0,59.999458,30.302142,71.0,3.32,279766.9102439024
587,78.0,13.0,0.0,59.991804,30.327043,84.0,3.24,279766.9102439024
363,61.59,19.0,0.0,59.942245,30.184849,15.0,14.19,261970.0192
987,112.0,8.0,1.0,60.006282,30.262329,109.0,6.48,279766.9102439024
770,93.3,14.0,0.0,59.807106,30.362015,23.0,8.75,189180.75698924728
452,69.7,11.0,0.0,59.937639,30.249204,50.0,7.03,261970.0192
249,51.4,14.0,1.0,59.852285,30.274698,38.0,5.84,239969.54054054053
1234,150.0,2.0,0.0,59.958178,30.302169,38.0,1.56,288191.65576923074
1079,124.0,5.0,0.0,59.809202,30.361844,24.0,8.65,189180.75698924728
576,77.0,25.0,0.0,59.9507,30.411682,27.0,11.07,222474.55818181817
1161,136.1,5.0,5.0,59.931833,30.328175,24.0,1.77,254919.1581632653
90,34.6,18.0,1.0,59.890681,30.421196,34.0,12.36,218420.79166666663
398,64.2,9.0,1.0,59.949956,30.233529,63.0,8.79,261970.0192
1406,183.9,5.0,0.0,60.026051,30.387724,50.0,9.65,261699.9675
836,99.0,9.0,0.0,59.925096,30.370782,58.0,6.52,254919.1581632653
1398,182.0,9.0,0.0,59.82921,30.173844,38.0,16.07,282094.2408163265
402,64.8,5.0,1.0,59.929687,30.472355,39.0,17.79,218420.79166666663
1452,196.7,5.0,1.0,59.930408,30.237598,36.0,8.32,261970.0192
1263,152.0,8.0,0.0,60.069598,30.317961,47.0,6.72,225573.17423312887
179,44.8,1.0,0.0,59.864873,30.424142,17.0,13.04,245996.38888888888
68,31.4,5.0,1.0,59.885616,30.442773,17.0,14.77,218420.79166666663
1520,226.3,10.0,0.0,60.031823,30.140167,38.0,19.54,279766.9102439024
631,81.0,20.0,1.0,59.904247,30.308223,55.0,1.68,277500.88611111115
79,32.4,4.0,1.0,59.960007,30.26479,35.0,5.41,288191.65576923074
272,54.1,13.0,0.0,60.038542,30.40137,61.0,11.33,261699.9675
1025,116.0,13.0,0.0,59.95334,30.413317,26.0,11.26,222474.55818181817
1258,151.4,4.0,0.0,59.922088,30.307675,57.0,0.89,277500.88611111115
1254,151.0,24.0,8.0,59.926034,30.326046,28.0,1.61,254919.1581632653
352,60.4,5.0,1.0,59.885616,30.442773,17.0,14.77,218420.79166666663
637,81.1,12.0,1.0,59.936206,30.229064,55.0,9.27,261970.0192
623,80.2,5.0,0.0,59.987753,30.334391,71.0,3.58,225573.17423312887
1561,274.4,1.0,0.0,60.033976,30.237427,96.0,9.47,279766.9102439024
1517,224.9,6.0,2.0,59.86148,30.322812,46.0,3.97,284126.8703125
536,74.7,12.0,0.0,60.033908,30.204962,19.0,12.7,279766.9102439024
854,100.0,6.0,0.0,59.831865,30.363209,38.0,7.88,284126.8703125
554,76.0,2.0,0.0,59.752689,30.32937,14.0,9.54,189180.75698924728
931,108.1,1.0,0.0,59.987226,30.310128,84.0,2.54,279766.9102439024
82,32.8,18.0,0.0,60.017292,30.331535,75.0,4.63,225573.17423312887
438,67.68,19.0,0.0,59.942245,30.184849,15.0,14.19,261970.0192
1438,191.0,4.0,3.0,59.935511,30.329046,22.0,1.85,254919.1581632653
376,62.8,10.0,0.0,60.043848,30.364799,53.0,8.11,225573.17423312887
1514,219.3,14.0,0.0,59.807106,30.362015,23.0,8.75,189180.75698924728
389,63.3,22.0,2.0,59.928492,30.309041,38.0,0.55,277500.88611111115
1001,113.4,4.0,0.0,59.831865,30.363209,38.0,7.88,284126.8703125
223,49.8,2.0,0.0,60.050179,30.370153,41.0,8.79,225573.17423312887
708,87.8,5.0,0.0,59.830572,30.167826,38.0,16.69,282094.2408163265
914,106.7,13.0,1.0,59.988469,30.336574,66.0,3.78,225573.17423312887
1550,250.15,5.0,1.0,60.037063,30.33149,83.0,5.55,225573.17423312887
141,40.5,2.0,1.0,59.858349,30.387428,54.0,9.34,245996.38888888888
765,92.88,11.0,0.0,60.018349,30.378714,41.0,8.56,261699.9675
381,63.0,5.0,0.0,59.806821,30.369282,31.0,9.32,189180.75698924728
317,57.7,5.0,8.0,59.917213,30.32495,38.0,1.71,277500.88611111115
928,108.0,13.0,0.0,60.03153,30.201054,16.0,13.07,279766.9102439024
1553,260.0,1.0,0.0,59.948839,30.475463,30.0,18.14,222474.55818181817
353,60.5,12.0,2.0,59.999458,30.302142,71.0,3.32,279766.9102439024
390,63.5,1.0,1.0,59.934285,30.434006,39.0,13.52,222474.55818181817
1374,178.6,5.0,2.0,59.95584,30.289467,74.0,2.72,288191.65576923074
476,70.8,13.0,0.0,59.804961,30.358529,13.0,8.58,189180.75698924728
817,97.1,5.0,0.0,60.032919,30.405727,65.0,11.63,261699.9675
547,75.1,26.0,0.0,59.985057,30.326262,86.0,2.9,279766.9102439024
600,79.0,8.0,0.0,59.963534,30.37981,31.0,7.63,261699.9675
446,68.8,2.0,0.0,60.069598,30.317961,47.0,6.72,225573.17423312887
880,102.71,9.0,0.0,59.93502,30.264862,31.0,5.29,261970.0192
42,27.0,27.0,2.0,59.852565,30.26382,27.0,6.72,239969.54054054053
100,36.0,2.0,1.0,59.939027,30.276163,37.0,4.03,261970.0192
1239,150.0,7.0,2.0,59.855642,30.321941,50.0,4.23,284126.8703125
943,109.5,18.0,1.0,60.006575,30.262355,109.0,6.48,279766.9102439024
1526,227.8,26.0,0.0,60.044469,30.363012,52.0,7.98,225573.17423312887
337,60.0,1.0,0.0,59.937873,30.216829,60.0,10.63,261970.0192
858,100.0,9.0,0.0,60.06927,30.312392,58.0,6.64,225573.17423312887
1280,154.5,12.0,0.0,60.029508,30.205959,28.0,12.54,279766.9102439024
338,60.0,3.0,0.0,59.984373,30.288119,43.0,3.57,279766.9102439024
892,104.0,8.0,1.0,59.960309,30.297219,44.0,2.06,288191.65576923074
504,72.5,25.0,0.0,60.008378,30.479038,32.0,18.98,222474.55818181817
187,45.5,1.0,1.0,59.905357,30.342404,77.0,3.7,245996.38888888888
1454,197.0,2.0,1.0,59.923838,30.412356,36.0,11.13,222474.55818181817
1421,187.5,5.0,3.0,59.931824,30.362949,40.0,5.62,254919.1581632653
1294,157.0,4.0,3.0,59.917209,30.345854,74.0,3.85,254919.1581632653
1206,144.6,25.0,2.0,60.000857,30.304289,65.0,3.32,279766.9102439024
1528,230.0,5.0,0.0,59.952078,30.25039,59.0,6.94,261970.0192
139,40.0,25.0,3.0,59.910762,30.347228,74.0,4.1,245996.38888888888
1410,185.7,11.0,0.0,59.982154,30.387329,56.0,8.68,261699.9675
436,67.46,5.0,0.0,60.026051,30.387724,50.0,9.65,261699.9675
466,70.0,6.8,0.0,60.000726,30.221482,82.0,10.52,279766.9102439024
214,49.0,14.0,2.0,59.959332,30.290113,66.0,2.72,288191.65576923074
1494,208.8,3.0,0.0,59.983846,30.272758,47.0,4.96,279766.9102439024
923,108.0,3.0,0.0,60.006201,30.210675,104.0,11.73,279766.9102439024
951,110.0,5.0,0.0,59.896097,30.332244,40.0,3.02,284126.8703125
478,70.8,14.0,1.0,59.847268,30.41594,41.0,12.51,245996.38888888888
989,112.0,26.0,0.0,60.034915,30.236304,83.0,9.6,279766.9102439024
1111,128.6,6.0,1.0,59.906639,30.30552,58.0,1.68,277500.88611111115
1278,153.4,19.0,0.0,59.916279,30.309086,69.0,1.08,277500.88611111115
636,81.1,9.0,4.0,59.94412,30.359742,40.0,5.28,254919.1581632653
665,83.0,5.0,1.0,59.880356,30.437455,25.0,14.25,218420.79166666663
1381,180.0,1.0,1.0,60.032578,30.418546,61.0,12.93,261699.9675
256,52.1,6.0,4.0,59.9358,30.350857,20.0,4.27,254919.1581632653
1221,147.0,16.0,1.0,59.851241,30.330457,46.0,4.79,284126.8703125
1299,157.5,21.0,2.0,59.966457,30.313811,83.0,1.51,288191.65576923074
406,65.0,5.0,0.0,59.926607,30.304873,48.0,0.97,277500.88611111115
1396,181.75,8.0,2.0,59.984467,30.257532,91.0,6.51,279766.9102439024
1252,151.0,1.0,4.0,59.918151,30.358493,36.0,5.21,254919.1581632653
1249,150.6,3.0,6.0,59.92832,30.316165,32.0,0.59,277500.88611111115
929,108.0,13.0,0.0,60.030578,30.207711,26.0,12.37,279766.9102439024
1489,204.0,5.0,2.0,59.913884,30.329594,35.0,2.23,277500.88611111115
1312,160.0,14.0,0.0,59.939329,30.390105,25.0,8.64,254919.1581632653
510,73.0,1.0,0.0,60.047083,30.389593,57.0,10.43,261699.9675
442,68.3,11.0,7.0,59.929096,30.321698,24.0,1.1,254919.1581632653
1032,117.0,5.0,1.0,59.930751,30.437635,43.0,13.93,222474.55818181817
604,79.35,5.0,0.0,59.955471,30.37133,30.0,6.63,261699.9675
686,85.2,25.0,0.0,60.008378,30.479038,32.0,18.98,222474.55818181817
287,55.0,6.0,0.0,60.069598,30.317961,47.0,6.72,225573.17423312887
528,73.9,3.0,1.0,59.904053,30.347659,55.0,4.27,245996.38888888888
1268,152.01,13.0,1.0,59.847268,30.41594,41.0,12.51,245996.38888888888
315,57.61,7.0,0.0,59.943372,30.268635,33.0,4.88,261970.0192
628,80.7,16.0,1.0,59.830739,30.350148,61.0,6.91,284126.8703125
332,59.0,1.0,0.0,59.938685,30.474825,36.0,18.06,222474.55818181817
310,57.0,14.0,0.0,60.042586,30.361413,52.0,7.78,225573.17423312887
503,72.5,25.0,0.0,59.863007,30.220979,34.0,10.7,282094.2408163265
424,66.3,5.0,1.0,59.873202,30.474753,26.0,18.41,218420.79166666663
357,61.0,5.0,3.0,59.859985,30.317521,73.0,3.9,284126.8703125
1185,140.0,5.0,3.0,59.946302,30.353795,29.0,4.63,254919.1581632653
1425,187.92,5.0,0.0,60.026051,30.387724,50.0,9.65,261699.9675
806,96.14,25.0,0.0,60.06927,30.312392,58.0,6.64,225573.17423312887
1556,265.0,10.0,0.0,59.93043,30.258484,35.0,6.0,261970.0192
1215,146.0,5.0,2.0,59.867145,30.259454,25.0,6.75,239969.54054054053
399,64.3,9.0,0.0,59.861593,30.186466,45.0,14.38,282094.2408163265
1357,170.0,13.0,4.0,59.903724,30.320009,50.0,1.86,284126.8703125
1395,181.6,16.0,0.0,59.963539,30.273171,37.0,4.55,288191.65576923074
796,95.8,7.0,1.0,59.910343,30.304226,65.0,1.59,277500.88611111115
1347,168.0,3.0,3.0,59.893768,30.31682,77.0,2.21,284126.8703125
954,110.0,5.0,0.0,59.716433,30.428894,13.0,17.79,189180.75698924728
1435,190.0,9.0,0.0,59.812392,30.367162,33.0,8.94,189180.75698924728
311,57.0,25.0,0.0,60.069598,30.317961,47.0,6.72,225573.17423312887
305,56.3,25.0,0.0,59.861973,30.220988,35.0,10.71,282094.2408163265
1295,157.0,5.0,1.0,60.004307,30.263568,112.0,6.32,279766.9102439024
1157,135.0,9.0,0.0,59.95907,30.334499,36.0,2.71,288191.65576923074
1165,136.46,17.0,2.0,59.999147,30.303211,65.0,3.27,279766.9102439024
1560,273.1,5.0,0.0,59.940389,30.252312,57.0,6.69,261970.0192
199,47.4,9.0,0.0,59.982154,30.23581,42.0,8.77,279766.9102439024
1024,116.0,5.0,1.0,59.956674,30.300956,35.0,1.62,288191.65576923074
1163,136.1,10.0,0.0,59.949474,30.264044,38.0,5.41,261970.0192
1204,144.0,7.0,0.0,59.873162,30.34827,38.0,5.17,284126.8703125
1276,153.0,5.2,3.0,59.917209,30.345854,74.0,3.85,254919.1581632653
1145,133.0,26.0,1.0,59.839782,30.396375,74.0,10.7,245996.38888888888
707,87.7,5.0,0.0,59.936589,30.373612,42.0,6.8,254919.1581632653
733,90.0,4.0,1.0,59.848782,30.391354,44.0,9.97,245996.38888888888
177,44.4,2.0,0.0,59.719555,30.405978,21.0,15.73,189180.75698924728
656,82.1,5.0,5.0,59.924167,30.351684,41.0,4.41,254919.1581632653
871,101.58,5.0,0.0,60.026051,30.387724,50.0,9.65,261699.9675
1408,185.0,6.0,2.0,59.851562,30.315913,66.0,4.29,284126.8703125
1462,199.59,9.0,1.0,59.985804,30.307568,61.0,2.51,279766.9102439024
1155,135.0,3.0,0.0,59.753242,30.327097,20.0,9.45,189180.75698924728
533,74.2,2.0,1.0,59.91134,30.300597,53.0,1.81,277500.88611111115
743,90.3,18.0,2.0,59.997644,30.303382,61.0,3.19,279766.9102439024
641,81.5,4.0,1.0,59.908222,30.34253,79.0,3.65,245996.38888888888
495,72.0,25.0,0.0,59.861503,30.220988,36.0,10.72,282094.2408163265
248,51.3,11.0,0.0,59.880582,30.338083,19.0,4.05,284126.8703125
465,70.0,26.0,0.0,59.858381,30.407065,45.0,11.36,245996.38888888888
