,squares,rent_per_month,max_floor,latitude,longitude
156,78.3,101790.0,4.0,30.434536,59.935304
157,38.0,57000.0,4.0,30.439701,59.935209
159,56.0,67200.0,4.0,30.477466,59.947027
160,60.0,72000.0,4.0,30.382514,59.996803
162,117.2,170000.0,9.0,30.30755,59.963287
163,153.0,90000.0,,30.345854,59.917209
164,55.0,80000.0,7.0,30.230627,59.938257
165,82.0,149896.0,3.0,30.405978,59.719555
167,47.3,26015.0,2.0,30.405978,59.719555
168,80.8,44440.0,2.0,30.321545,59.925574
169,119.1,65505.0,2.0,30.267251,60.052344
171,178.4,124880.0,8.0,30.477466,59.947027
172,132.7,329992.0,5.0,30.489243,59.936733
179,59.0,135700.0,1.0,30.320018,59.911141
180,40.0,120000.0,1.0,30.241901,60.041251
181,59.0,137310.0,1.0,30.474825,59.938685
182,66.7,152100.0,1.0,30.321456,59.928041
185,32.0,64880.0,1.0,30.405978,59.719555
186,44.1,24255.0,2.0,30.405978,59.719555
187,44.1,24255.0,2.0,30.405978,59.719555
188,74.2,40810.0,2.0,30.300597,59.91134
189,74.5,40975.0,2.0,30.373091,59.927739
190,81.7,150000.0,8.0,30.344641,60.038537
192,146.1,310000.0,9.0,30.263173,60.005549
193,78.4,160000.0,25.0,30.329046,59.935511
195,20.0,50000.0,6.0,30.405978,59.719555
197,44.0,24000.0,2.0,30.405978,59.719555
198,62.0,60000.0,5.0,30.405978,59.719555
199,43.3,23815.0,2.0,30.405978,59.719555
200,44.4,24420.0,2.0,30.405978,59.719555
201,73.2,40260.0,2.0,30.385281,59.944143
202,74.9,41195.0,2.0,30.2026,60.030245
204,82.0,200000.0,11.0,30.210819,60.033158
205,76.3,41965.0,2.0,30.207648,60.034474
206,60.1,108000.0,13.0,30.326307,60.009606
208,56.0,70000.0,10.0,30.326307,60.009606
209,130.0,195000.0,2.0,30.326307,60.009606
211,66.0,210000.0,1.0,30.114672,59.834917
214,115.3,149890.0,4.0,30.398801,59.844981
215,64.4,83720.0,4.0,30.098341,59.839918
217,146.7,102690.0,26.0,30.347327,59.938432
218,77.0,190000.0,1.0,29.766935,59.914416
220,106.7,290000.0,4.0,30.368455,60.046571
221,86.0,55900.0,1.0,30.459545,59.897063
222,33.0,120000.0,1.0,30.459545,59.897063
224,50.0,110000.0,1.0,30.405978,59.719555
225,71.0,160000.0,1.0,30.405978,59.719555
226,80.0,160000.0,25.0,30.32778,59.862415
227,46.4,25520.0,2.0,30.27998,59.958246
228,76.3,41965.0,2.0,30.313739,59.959093
