,price_per_square,full_price,rent_per_month,squares,max_floor,latitude,longitude,metro_250m,metro_500m,metro_1km,parkings_1km,rent_per_square_m,distance_to_center,population,mean_distr_pps,pop_per_park
33,282003.8,7858000.0,66000.0,25.0,9.0,30.38246,59.92497,1.0,2.0,2.0,62.0,2640.0,7.81,200654,254919.1581632653,42765.157852456825
34,316706.6,10296080.0,66040.0,25.4,1.0,30.41126,59.928217,1.0,1.0,1.0,42.0,2600.0,11.0,366971,222474.55818181817,28969.94564198688
35,376147.4,12240000.0,50000.0,26.0,1.0,30.306094,59.896946,0.0,0.0,1.0,50.0,1923.076923076923,2.09,155981,277500.88611111115,34488.03052617486
36,284309.0,7688000.0,60000.0,26.0,2.0,30.346644,59.928194,2.0,2.0,4.0,49.0,2307.692307692308,3.83,200654,254919.1581632653,33798.269915651355
37,303619.4,8658000.0,55000.0,26.0,10.0,30.343905,59.965966,0.0,1.0,2.0,44.0,2115.3846153846152,3.82,541590,225573.17423312887,30349.466863033875
38,270000.0,7041600.0,81501.8,26.08,5.0,30.308322,59.754121,0.0,0.0,0.0,12.0,3125.069018404908,9.1,335221,284126.8703125,8277.127326281965
39,262535.8,8160000.0,69500.0,26.1,9.0,30.373693,59.812197,0.0,0.0,0.0,32.0,2662.8352490421453,9.48,263732,189180.75698924728,22072.339536751908
40,314968.4,10420000.0,59400.0,27.0,1.0,30.317539,59.840659,0.0,0.0,1.0,53.0,2200.0,4.86,335221,284126.8703125,36557.312357745344
41,334748.8,9860000.0,95000.0,27.0,9.0,30.362311,59.924984,0.0,1.0,3.0,41.0,3518.5185185185187,5.58,200654,254919.1581632653,28280.18503146338
42,332029.0,9761112.0,60000.0,27.0,27.0,30.26382,59.852565,0.0,0.0,2.0,27.0,2222.222222222222,6.72,335774,239969.54054054053,18623.536484134424
43,282003.8,7858000.0,67620.0,27.6,3.0,30.376918,59.926359,0.0,0.0,2.0,61.0,2450.0,7.19,200654,254919.1581632653,42075.39724193332
44,351785.8,11040000.0,49980.0,28.0,5.0,30.312419,59.864064,0.0,0.0,0.0,86.0,1785.0,3.63,335221,284126.8703125,59319.41250502075
45,428572.0,12000000.0,92261.8,28.0,9.0,30.374124,59.869562,0.0,0.0,2.0,82.0,3295.0642857142857,7.73,413983,245996.38888888888,56560.37006292676
46,228516.4,8738200.0,81200.0,28.0,15.0,30.470702,59.894897,0.0,0.0,0.0,31.0,2900.0,17.76,547896,218420.79166666666,21382.578926228412
47,313679.0,9518000.0,100000.0,28.2,6.0,30.326055,59.933041,1.0,1.0,6.0,20.0,3546.099290780142,1.53,200654,254919.1581632653,13795.212210469943
48,351000.0,10164960.0,91101.8,28.96,5.0,30.308322,59.754121,0.0,0.0,0.0,12.0,3145.780386740332,9.1,335221,284126.8703125,8277.127326281965
49,357861.4,11619800.0,72750.0,29.0,2.0,30.289512,59.908502,0.0,0.0,0.0,47.0,2508.620689655173,2.89,155981,277500.88611111115,32418.748694604365
50,99656.0,2890000.0,92261.8,29.0,5.0,30.388748,59.945855,0.0,0.0,0.0,24.0,3181.441379310345,8.5,200654,254919.1581632653,16554.25465256393
51,249702.0,7750000.0,85000.0,29.0,25.0,30.389737,59.938703,0.0,0.0,1.0,26.0,2931.0344827586205,8.6,200654,254919.1581632653,17933.775873610924
52,246206.0,9499312.0,70800.0,29.5,2.0,30.207648,60.034474,0.0,0.0,0.0,23.0,2400.0,12.44,699243,279766.9102439024,15864.494042040435
53,283334.0,8500000.0,99000.0,30.0,1.0,30.246536,59.930264,0.0,0.0,0.0,44.0,3300.0,7.33,206680,261970.0192,30349.466863033875
54,151695.6,5004640.0,75000.0,30.0,3.0,30.368294,60.040177,0.0,0.0,0.0,55.0,2500.0,8.27,541590,225573.17423312887,37936.83357879234
