,price_per_square,full_price,rent_per_month,squares,max_floor,latitude,longitude,metro_250m,metro_500m,metro_1km,parkings_1km,rent_per_square_m,distance_to_center,Pushkinsky,Kolpinsky,Primorsky,Tsentralny,Kalininsky,Krasnogvardeysky,Admiralteysky,Vyborgsky,Frunzensky,Nevsky,Petrogradsky,Vasileostrovsky,Krasnoselsky,Kirovsky,Moskovsky,Kronshtadtsky,Kurortny,Petrodvortsovy,population,mean_distr_pps
23,293942.8,8058000.0,34650.0,23.1,3.0,30.318312,59.95694,1.0,1.0,2.0,68.0,1500.0,1.22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,115757,288191.65576923074
24,281912.4,7967312.0,75000.0,23.6,6.0,30.252896,59.955939,0.0,0.0,0.0,52.0,3177.966101694915,6.68,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,206680,261970.0192
25,252200.4,7067312.0,31070.0,23.9,3.0,30.235397,60.03567,0.0,0.0,0.0,81.0,1300.0,9.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699243,279766.9102439024
26,285869.2,11613999.2,90000.0,24.0,3.0,30.177447,59.838019,0.0,0.0,0.0,62.0,3750.0,15.59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,431546,282094.2408163265
27,201900.0,7890000.0,67200.0,24.0,25.0,30.381194,59.802576,0.0,0.0,0.0,15.0,2800.0,10.47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263732,189180.75698924728
28,323111.6,9099800.0,65000.0,24.4,21.0,30.275094,59.994868,0.0,0.0,0.0,56.0,2663.9344262295085,5.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699243,279766.9102439024
29,281912.4,7967312.0,34440.0,24.6,3.0,30.256894,59.990012,1.0,1.0,3.0,115.0,1400.0,6.67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699243,279766.9102439024
30,296868.6,8838000.0,45000.0,25.0,1.0,30.317314,59.909788,1.0,3.0,7.0,54.0,1800.0,1.45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,155981,277500.88611111115
31,270386.6,8405311.8,89000.0,25.0,5.0,30.204962,60.033908,0.0,0.0,0.0,19.0,3560.0,12.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699243,279766.9102439024
32,205206.6,7348200.0,32500.0,25.0,6.0,30.453346,60.03567,0.0,0.0,0.0,56.0,1300.0,16.64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,366971,222474.55818181817
33,282003.8,7858000.0,66000.0,25.0,9.0,30.38246,59.92497,1.0,2.0,2.0,62.0,2640.0,7.81,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200654,254919.1581632653
