,url,seller_url,title,squares,full_price,price_per_square,floor,free,city,district,okrug,street,house_number,description,sub_near,highway_near
560,https://spb.cian.ru/rent/commercial/299502520/,https://spb.cian.ru/company/110881388,"Сдается Свободное назначение, 162 м²",162 м²,202 500 ₽/мес.,15 000 ₽ в год,2 из 6,Свободно,Санкт-Петербург,р-н Невский,Обуховский,ул. Шелгунова,12,"В центре Невского района, между улицы Бабушкина и пр. Обуховской Обороны, у перекрестка сдается коммерческое помещение.
Варианты использования:
-Магазин
-Пункт выдачи
-Ателье, мастерская
-Офис
На 2 этаже с отдельным входом
Сан. узел на этаже, большое количество окон, свежий косметический ремонт, много парковочных мест.
На 1м этаже здесь расположен магазин Пятерочка, один из первых, открывшихся в Петербурге. По аналитике проходимость этой торговой точки в 1.8 раза выше, чем соседней (Шелгунова 4)
Под аренду предлагаются помещения прямоугольных форм, частями или полностью.
на плане в соответствии с номерами:
1. 23,4м2
2. 30м2
3. 48,3м2
4. 16,2м2
Коридор 41м2
Сан узел 3,7м2","[['Пролетарская', '11 мин.'], ['Ломоносовская', '11 мин.'], ['Обухово', '11 мин.']]",[]
561,https://spb.cian.ru/rent/commercial/299501077/,,"Сдается Свободное назначение, 78,98 м²","78,98 м²",120 000 ₽/мес.,18 233 ₽ в год,1 из 3,Свободно,Санкт-Петербург,р-н Выборгский,Светлановское,просп. Энгельса,2,Помещение в ЖК Усадьба на Ланком. Два отдельных входа. Два санузла.,"[['Лесная', '5 мин.'], ['Пионерская', '5 мин.'], ['Черная речка', '5 мин.']]",[]
562,https://spb.cian.ru/rent/commercial/299496615/,https://spb.cian.ru/company/73316472,"Сдается Торговая площадь, 16 м²",16 м²,26 000 ₽/мес.,19 500 ₽ в год,1 из 25,Свободно,Санкт-Петербург,р-н Приморский,Озеро Долгое,Байконурская ул.,26,"Описание
БЕЗ КОМИССИИ
Сдаю часть торгового помещения 16 м.кв.  на Байконурской ул. д. 21 без комиссии!
Возможны варианты назначения: магазин, салон красоты, парикмахерская, пункт выдачи, сфера услуг, офис продаж, wape и т.д.
Полностью готовое к работе - арендуй, заезжай и работай:
 Удобная открытая планировка, помещение светлое с окном
 Соседи - пункт выдачи ЯНДЕКС и комплектующие для орг. техники.
 Оснащено системой видеонаблюдения, оборудована система вентиляции
 Высота потолков - 3,20 м.
 Механическая роллета.
 Санузел для сотрудников.

Хорошая транспортная доступность, плотный сформированный жилой массив, напротив помещения расположен продуктовый магазин ""Пяточка'.
Один звонок и у Вас удобное пространство для работы!
БЕЗ КОМИССИИ!

При заключении договора оплата за первый месяц + залог (1 месяц). Залог возвращается при завершении договора аренды.

Звоните с 9:00 до 18:00 (МСК). С удовольствием ответим на все ваши вопросы.","[['Комендантский проспект', '21 мин.'], ['Пионерская', '21 мин.']]",[]
563,https://spb.cian.ru/rent/commercial/299482282/,https://www.cian.ru/company/15790857/,"Сдается Свободное назначение, 64 м²",64 м²,100 000 ₽/мес.,18 750 ₽ в год,1 из 12,Свободно,Санкт-Петербург,р-н Фрунзенский,Волковское,Лиговский просп.,271,"Помещение свободного назначения, вход с Боровой улицы, 10 кВт, одна мокрая точка, вентиляция, витринные окна, место под вывеску. Последнее помещение на этой линии. Рядом работает супермаркет Магнит.","[['Обводный канал', '12 мин.'], ['Волковская', '12 мин.'], ['Звенигородская', '12 мин.']]",[]
564,https://spb.cian.ru/rent/commercial/299481840/,https://www.cian.ru/company/90055278/,"Сдается Свободное назначение, 81 м²",81 м²,81 000 ₽/мес.,12 000 ₽ в год,1 из 25,Свободно,Санкт-Петербург,р-н Выборгский,мкр. Парголово,Парнас,ул. Архитектора Белова,"Сдается в аренду светлое коммерческое помещение свободного назначения в современном ЖК ""Миллениум"" по адресу: ул. Архитектора Белова, д.5, корп.1.

Помещение расположено в пешей доступности от станции метро Парнас (18 минут).

Объект с общей площадью 81 м² имеет отдельный фасадный вход и ОТЛИЧНО подойдет для размещения вашего бизнеса: танцевальная студия, детский комплекс, офис, спортивный зал, кафе, пекарня и все это НАПРОТИВ ШКОЛЫ новой постройки! 

Основные характеристики и преимущества помещения:
- Отдельный фасадный вход;
- 1 этаж;
- Высота потолков 3,1 м;
- Выделенный санузел;
- Высокая электрическая мощность;
- Большие витринные окна;
- Наличие вентиляционной системы и кондиционера;
- Новый ремонт в помещении;
- Правильная планировка;
- Система видеонаблюдения.

Предоставляются арендные каникулы!

Звоните! С удовольствием ответим на все интересующие вас вопросы, а так же с радостью организуем просмотр. С уважением, Екатерина Брошкина CITY RENT","[['Парнас', '16 мин.'], ['Проспект Просвещения', '16 мин.'], ['Озерки', '16 мин.']]",
565,https://spb.cian.ru/rent/commercial/299479319/,,"Сдается Торговая площадь, 45,5 м²","45,5 м²",100 000 ₽/мес.,26 374 ₽ в год,1 из 1,Свободно,Санкт-Петербург,р-н Красногвардейский,Малая Охта,Весенняя ул.,20В,"Сдается в аренду новый торговый павильон. 
Ближайшие ст. метро Ладожская, Новочеркасская
Назначение: любое коммерческое использование
Земельный участок и павильон в собственности.
Помещение свободно.
Арендные каникулы обсуждаются индивидуально.","[['Новочеркасская', '10 мин.'], ['Ладожская', '10 мин.'], ['Площадь Александра Невского', '10 мин.']]",[]
566,https://spb.cian.ru/rent/commercial/299469481/,https://spb.cian.ru/company/32390253,"Сдается Свободное назначение, 194 м²",194 м²,130 000 ₽/мес.,8 042 ₽ в год,-1 из 8,Свободно,Санкт-Петербург,р-н Адмиралтейский,Семёновский,Загородный просп.,39,"Предлагается в аренду отличное помещение свободного назначения в новом элитном доме ЖК ""Статский советник"" по адресу Загородный пр. 39. Два отдельных входа : один с Гороховой улицы и второй со двора. Есть возможность разделить помещение на два : 120м2 (без ремонта) и 74м2 (оборудовано под пищевой склад, с морозильной и холодильной камерой). Арендные каникулы возможны. Парковочное место во дворе. Ответим на все интересующие Вас вопросы, звоните!","[['Пушкинская', '10 мин.']]",[]
567,https://spb.cian.ru/rent/commercial/299465905/,https://spb.cian.ru/company/12477870,"Сдается Торговая площадь, 10,5 м²","10,5 м²",50 000 ₽/мес.,57 143 ₽ в год,1 из 23,Свободно,Санкт-Петербург,р-н Пушкинский,мкр. Шушары,Школьная ул.,17,"1689975 Субаренда помещения расположенного в г. Санкт-Петербург, пос. Шушары, Пушкинский район на ул. Школьная д. 17 к 1. 
   Шушары активно развивающийся застраиваемый густонаселенный район. Численность население за последние 12 лет выросла практически в два раза, и продолжает расти, что повышает потребительскую способность. 
  Помещение угловое, отлично просматривается со всех сторон, вход общий с магазином разливного пива Хмель Солод. Есть место под рекламу. 
Площадь: 10,5 
кВт: по запросу 
Каникулы: две недели. 
Арендная ставка: 50 000 руб. в месяц.
Под любой вид деятельности, кроме Табак -Вейпы. овощи-Фрукты, пиво.","[['Купчино', '8 мин.']]","[['Московское, М-10 шоссе', '10 км от КАД'], ['Пулковское шоссе', '10 км от КАД']]"
568,https://spb.cian.ru/rent/commercial/299462624/,,"Сдается Свободное назначение, 75 м²",75 м²,135 000 ₽/мес.,21 600 ₽ в год,1 из 4,Свободно,Санкт-Петербург,р-н Василеостровский,№ 7,просп. Большой Васильевского острова,63/17,"Сдаётся прекрасное помещение 75 метров на Большом проспекте.
6 окон, вход с Большого проспекта.
Электричество 40 кВт, все коммуникации.","[['Горный институт', 'откроется в 2024'], ['Василеостровская', 'откроется в 2024'], ['Спортивная', 'откроется в 2024']]",[]
569,https://spb.cian.ru/rent/commercial/299461285/,https://www.cian.ru/company/381085/,"Сдается Торговая площадь, 161,5 м²","161,5 м²",209 950 ₽/мес.,15 600 ₽ в год,1 из 23,Свободно,Санкт-Петербург,р-н Красносельский,Южно-Приморский,просп. Героев,18,"Первый этаж. Витрина. Пандус. 
 Два входа (с улицы и со двора). 
 50 кВт.(возможно увеличение). 
Помещение может быть использовано 
для размещения объектов торговли, общепита, детского образовательного учреждения, салона красоты, пункта выдачи заказов. 
 Объект 1316-18006.",[],[]
570,https://spb.cian.ru/rent/commercial/299458000/,https://www.cian.ru/company/90055278/,"Сдается Свободное назначение, 67 м²",67 м²,70 000 ₽/мес.,12 538 ₽ в год,1 из 25,Свободно,Санкт-Петербург,р-н Выборгский,мкр. Парголово,Парнас,дор. Ольгинская,"Сдается в аренду светлое коммерческое помещение свободного назначения в современном ЖК ""Прагма Сити"" по адресу: Ольгинская дорога, д.3/20.

Помещение расположено на первом этаже большого заселённого жилого дома в пешей доступности от станции метро Парнас (20 минут).

Объект с площадью 67 м² имеет отдельный вход с торца дома и два больших окна, выходящих во двор и на проезжую часть. Напротив дома расположен Детский садик.

Помещение ОТЛИЧНО подойдет для размещения детского центра, а так же любого другого функционального использования: офис, салон красоты, пункт выдачи, склад, торговая площадка, мастерская и т.д.

Основные характеристики и преимущества помещения:
- Первый этаж;
- Отдельный вход;
- Санузел;
- Высота потолков 3,1 м;
- Высокая электрическая мощность;
- Выделенный вентиляционный канал.

Предоставляются длительные арендные каникулы!

Звоните! С удовольствием ответим на все интересующие вас вопросы, а так же с радостью организуем просмотр. С уважением, Екатерина Брошкина CITY RENT","[['Парнас', '19 мин.'], ['Проспект Просвещения', '19 мин.'], ['Озерки', '19 мин.']]",
571,https://spb.cian.ru/rent/commercial/299457526/,https://spb.cian.ru/company/12477871,"Сдается Торговая площадь, 140 м²",140 м²,350 000 ₽/мес.,30 000 ₽ в год,1 из 4,Свободно,Санкт-Петербург,р-н Фрунзенский,Балканский,ул. Ярослава Гашека,5,"ID: 830902
Сдам торговое помещение у метро Купчино.
ул.Ярослава Гашека д.5 (перекресток ул.Я.Гашека и ул. М.Балканская)
Отличная обзорность со стороны всего перекрестка!
Суперпроходимость ,большой автотрафик.
Сложившаяся торговая зона.
Помещение находится в составе торгового комплекса , что обеспечивает постоянный трафик покупателей.
Соседи - крупные сетевые компании : РосБанк, Север-Метрополь, продукты Ермолино, Семишагофф и тд.
Прямо у помещения 2 пешеходный перехода и остановка общ. Транспорта.
напротив(через дорогу) по этой же стороне расположен ОКей.
- 140 кв.м.
- 1 этаж.
- отдельный вход с улицы + вход со двора
- высота потолков=- 4,00 м.
- 15 кВт.
- место под фасадную вывеску
- парковка перед зданием.
- витрины нет.
В настоящее время в помещении находится офис банка (Рост Финанс)
Возможно любое использование: магазин, банк, кафе, салон, аптека, компьютерный клуб, букмекерская контора и тд
Цена 350 000 + ку
Арендные каникулы обсуждаются.
Без комиссии!","[['Купчино', '7 мин.'], ['Звездная', '7 мин.'], ['Дунайская', '7 мин.']]",[]
