,latitude,longitude
0,30.082621,59.724677
1,30.316138,59.911854
2,30.301127,59.912368
3,30.449978,59.956836
4,30.325543,59.926372
5,30.268635,59.943372
6,30.268635,59.943372
7,30.268635,59.943372
8,30.268635,59.943372
9,30.404316,59.938175
10,30.404316,59.938175
11,30.404316,59.938175
12,30.404316,59.938175
13,30.404316,59.938175
14,30.404316,59.938175
15,30.404316,59.938175
16,30.404316,59.938175
17,30.230537,60.035962
18,30.377394,60.017499
19,30.377394,60.017499
20,30.368563,59.885142
21,30.368563,59.885142
22,30.469974,59.911101
23,30.360434,60.042779
24,30.360434,60.042779
25,30.199195,60.038573
26,30.350265,59.83494
27,30.37009,59.932811
28,30.356625,59.839642
29,30.342404,59.905357
30,30.349627,59.932202
31,30.337185,60.028357
32,30.157064,59.840438
33,30.447813,59.95593
34,30.472355,59.929687
35,30.365671,60.049226
36,30.269021,60.057774
37,30.386727,59.947041
38,30.254819,60.08988
39,30.401927,59.876319
40,30.302663,59.968633
41,30.372291,59.831173
42,30.287868,59.986484
43,30.363075,60.052483
44,30.348297,59.945544
45,30.361844,59.809202
46,30.149707,59.849989
47,30.375516,59.936282
48,30.293653,59.906152
49,30.25039,59.952078
50,30.21558,59.984278
51,30.29226,59.95384
52,30.379343,59.857418
53,30.325211,59.91784
54,30.327043,59.991804
55,30.329451,59.985462
56,30.377618,59.802418
57,30.112903,59.835166
58,30.361844,59.809202
59,30.368141,59.935367
60,30.350274,59.916618
61,30.340985,60.075016
62,30.289224,59.922914
63,30.474008,59.862352
64,30.294192,59.920303
65,30.223512,60.02793
66,30.25551,59.937269
67,30.52752,59.826067
68,30.382658,59.803671
69,30.373836,59.933645
70,30.327079,59.961854
71,30.414359,59.950479
72,30.107827,59.834189
73,30.359679,59.918526
74,30.345863,59.925146
75,30.343132,60.036488
76,30.311143,60.014832
77,30.15012,59.861038
78,30.413515,59.945855
79,30.357999,59.943012
80,30.31329,59.866468
81,30.37566,59.925453
82,30.327582,60.033499
83,30.379343,59.857418
84,30.322812,59.86148
85,30.302699,59.922792
86,30.375507,59.802929
87,30.511773,59.866274
88,30.330232,59.854567
89,30.346096,59.918652
90,30.488551,59.951506
91,30.31002,59.851467
92,30.387329,59.982154
93,30.255079,59.947306
94,30.329819,59.915156
95,30.304873,59.926607
96,30.288353,59.942985
97,30.319309,59.931265
98,30.25551,59.937269
99,30.252896,59.955939
100,30.329594,59.913884
101,30.378678,59.855331
102,30.306553,59.970736
103,30.396699,59.85365
104,30.304792,59.954628
105,30.433565,59.935205
106,30.364781,60.052272
107,30.364781,60.052272
108,30.34253,59.908222
109,30.321285,60.081722
110,30.288299,59.904541
111,30.307065,59.919725
112,30.463461,59.895551
113,30.320467,59.917218
114,30.361898,59.944111
115,30.358493,59.918151
116,30.312814,59.940082
117,30.374124,59.869562
118,30.346016,59.92023
119,30.237463,60.036299
120,30.439216,59.932486
121,30.277061,60.059683
122,30.626928,59.753645
123,30.430933,59.925335
124,30.430933,59.925335
125,30.430933,59.925335
126,30.430933,59.925335
127,30.430933,59.925335
128,30.302124,59.912414
129,30.334391,59.987753
130,30.336574,59.988469
131,30.326998,59.956444
132,30.38167,59.933947
133,30.288658,59.912589
134,30.364799,60.043848
135,30.158834,59.998405
136,30.338083,59.880582
137,30.31108,59.870849
138,30.260065,59.870858
139,30.363012,60.044469
140,30.302555,59.949555
141,30.297974,59.9308
142,30.33149,60.037063
143,30.377268,59.933068
144,30.338254,59.927806
145,30.333466,60.039436
146,30.41153,59.951132
147,30.338083,59.880582
148,30.338083,59.880582
149,30.338083,59.880582
150,30.364045,59.811609
151,30.375507,59.802929
152,30.375507,59.802929
153,30.375507,59.802929
154,30.140167,60.031823
155,30.361844,59.809202
156,30.316326,59.909779
157,30.314817,59.904189
158,30.314817,59.904189
159,30.317961,60.069598
160,30.282828,59.923247
161,30.369012,59.929853
162,30.297156,59.956899
163,30.319848,59.855304
164,30.293841,59.93131
165,30.360766,59.920086
166,30.342692,59.91692
167,30.351684,59.924167
168,30.359077,59.928843
169,30.307765,59.923225
170,30.51878,59.831282
171,30.350795,59.921056
172,30.356346,59.940875
173,30.388748,59.945855
174,30.334957,60.035535
175,30.325049,59.959201
176,30.362958,59.938531
177,30.362015,59.807106
178,30.362015,59.807106
179,30.362015,59.807106
180,30.367467,60.051167
181,30.323279,59.913447
182,30.284526,59.920082
183,30.239044,59.932324
184,30.344336,60.072094
185,30.296473,59.918647
186,30.405727,60.032919
187,30.319785,60.077463
188,30.290697,59.911078
189,30.322552,59.802173
190,29.772477,59.997437
191,30.384607,59.926846
192,30.362374,59.937121
193,30.306912,59.924555
194,30.333619,59.982059
195,30.245566,59.963066
196,30.444067,59.87668
197,30.260721,59.946482
198,30.355169,59.943539
199,30.283187,59.983265
200,30.233529,59.949956
201,30.384607,59.926846
202,30.21664,59.958814
203,30.222183,59.958386
204,30.446474,59.873266
205,30.314296,59.912774
206,30.361134,59.940785
207,30.267494,59.962724
208,30.41594,59.847268
209,30.383781,59.925159
210,30.220988,59.861503
211,30.449376,60.002517
212,30.225039,60.035495
213,30.336987,60.029162
214,30.258906,60.070796
215,30.258906,60.070796
216,30.370387,59.940776
217,30.334391,59.987753
218,30.451577,59.899004
219,30.305636,59.904712
220,30.305636,59.904712
221,30.305636,59.904712
222,30.25551,59.937269
223,30.317961,60.069598
224,30.322066,59.926805
225,30.322066,59.926805
226,30.312446,59.902154
227,30.312446,59.902154
228,30.312446,59.902154
229,30.437455,59.880356
230,30.344336,60.072094
231,30.302348,59.90612
232,30.361889,59.900006
233,30.33591,59.874697
234,30.331535,60.017292
235,30.509186,59.831548
236,30.373612,59.936589
237,30.41594,59.847268
238,30.317961,60.069598
239,30.392297,59.942268
240,30.27088,59.943543
241,30.313667,59.930895
242,30.297974,59.9308
243,30.351316,60.078365
244,30.378714,60.018349
245,30.378714,60.018349
246,30.378714,60.018349
247,30.378714,60.018349
248,30.286251,59.964386
249,30.338461,59.975437
250,30.339143,59.924325
251,30.314161,59.935858
252,30.21664,59.958814
253,30.286619,59.926706
254,30.331741,59.977012
255,30.443096,59.885002
256,30.474367,60.018102
257,30.317844,59.907338
258,30.306849,59.998058
259,30.350345,59.920875
260,30.288496,59.911759
261,30.35128,59.967502
262,30.35128,59.967502
263,30.35128,59.967502
264,30.35128,59.967502
265,30.35128,59.967502
266,30.35128,59.967502
267,30.35128,59.967502
268,30.310128,59.987226
269,30.310128,59.987226
270,30.310128,59.987226
271,30.310128,59.987226
272,30.245728,59.962048
273,30.245728,59.962048
274,30.245728,59.962048
275,30.245728,59.962048
276,30.245728,59.962048
277,30.245728,59.962048
278,30.245728,59.962048
279,30.245728,59.962048
280,30.245728,59.962048
281,30.245728,59.962048
282,30.245728,59.962048
283,30.312392,60.06927
284,30.372291,59.831173
285,30.318985,59.906504
286,30.238577,60.010789
287,30.257136,60.028474
288,30.27663,59.959859
289,30.456149,59.865862
290,30.511773,59.866274
291,30.511773,59.866274
292,30.431364,59.900962
293,30.30172,59.990165
294,30.348675,59.91129
295,30.276073,59.947883
296,30.369012,59.929853
297,30.345854,59.917209
298,30.350857,59.9358
