latitude;longitude
30.2569626;59.9890165
30.3252233;60.0104
30.3531767;60.0136448
30.3659933;60.0328991
30.3514125;59.8508954
30.0817247;59.7314561
30.5046288;59.9440341
30.4719848;59.8664655
30.3634172;60.0341509
30.3585364;60.0332207
30.360572;60.0327656
30.3240522;59.8429447
30.3195611;59.8418112
30.322172;59.8448529
30.3282194;60.0030462
30.3213569;59.8456105
30.4472966;59.8274983
30.3447558;59.8300291
30.2968021;59.8472828
30.3325786;60.0695738
30.4346827;59.895748
30.3560124;59.9930549
30.3132321;60.0147051
30.2437102;59.9859797
30.369209;60.0014127
30.3328089;60.0116088
30.327823;60.0108598
30.2548293;60.0086385
30.3407756;60.0486431
30.3807444;60.0348444
30.3309142;60.0273075
30.3077481;60.0176429
29.8353379;59.8790511
30.4399188;59.7033138
29.7710615;59.912541
29.8308139;59.8813229
30.3813204;59.8286039
30.326615;59.9925545
30.1908107;59.9874764
30.4087065;59.9557979
29.838473;59.8750892
30.3988427;59.7983463
30.4713783;59.866705
30.4718393;59.8663081
30.4707664;59.8656902
30.4708829;59.864233
30.4706963;59.8654153
30.3136407;59.9781731
30.4999865;59.8868854
30.429837;59.9667796
29.9392342;60.0936122
30.495076;59.8353465
30.3653246;59.9708401
30.2777866;59.9246151
29.9913979;59.8597744
30.2571778;60.0070151
30.3839302;59.8290858
30.288938;59.9503247
30.2732314;60.006914
30.2751386;60.0105952
30.4257304;59.854327
30.3798677;59.9805104
30.3548331;60.0354275
30.3281875;59.8566349
29.8596119;59.8782343
30.344523;60.0487418
30.3417682;60.049221
30.3434384;60.0489693
30.3407476;60.0496261
30.3430984;60.0490327
30.3682759;59.9765639
30.3699785;59.975541
30.4859522;59.8809258
29.8319097;59.8834216
30.4180893;59.9885313
30.3108073;59.9233841
30.2993228;59.9069853
30.4483806;59.9235782
30.0844985;59.7307633
30.2002327;59.8248578
29.9784316;59.868228
30.3773647;59.8869459
30.2856045;59.7966033
30.3708738;60.0205134
30.2702192;59.7949875
30.2755066;59.8003707
30.2727584;59.7982346
30.2768547;59.7986947
30.3334347;60.052549
30.3134071;60.0505178
30.2339575;59.9297023
30.2706186;59.7956796
30.2722061;59.7988802
30.2710633;59.796418
30.3540744;59.8310225
30.1450015;59.8481933
30.3148841;59.833618
30.322271;59.8058243
30.4746155;59.7638764
30.3385352;60.0549738
30.3138965;59.8183141
30.364103;60.0506529
30.3121541;60.0146866
30.3120316;60.012612
30.3810496;60.0277782
30.4639832;59.9274565
30.2595252;59.9846664
30.463256;59.9278742
30.2700569;59.7980493
30.181641;59.8241114
30.4293665;60.013913
30.443191;59.9224108
30.4445213;59.9239755
30.4453604;59.9242121
30.3261697;59.8288179
30.3959164;59.8994141
30.3967047;59.803171
30.3810811;59.8261139
30.383292;59.8124871
30.3670209;59.8138732
30.3021029;59.8532129
30.3041617;59.8538037
30.3033379;59.8532933
30.3030672;59.8531623
30.251242;59.8761185
30.3069133;59.8531711
30.3536023;59.8152944
30.2501443;59.8285302
30.2393123;59.987262
30.253539;59.9903119
30.4918485;59.9286313
30.485137;59.7531443
30.4806004;59.7463261
30.4715649;59.7367962
30.4607353;59.7272423
30.4774759;59.7581994
30.3951036;59.884346
30.3971041;59.8825876
30.4671936;59.8607253
30.4332054;59.8448207
30.4334781;59.8439589
30.4229485;59.8808913
30.3758948;59.8272659
30.4852059;59.8457012
30.4825022;59.843269
30.4843858;59.8463942
30.4842556;59.8415642
29.9429257;60.1345114
30.3869221;59.8533149
30.388621;59.8534299
30.3887569;59.8530454
30.3885095;59.8544343
30.4491939;59.8473506
30.4552039;59.846013
30.334642;59.9794935
30.4638293;59.731635
30.5820754;59.739227
30.6085367;59.7360176
30.586042;59.7299238
30.5895977;59.7375183
30.4525874;59.9213136
30.3403044;60.0766227
30.561119;59.7994733
30.2181194;60.0032698
30.2170015;60.0004751
30.5280377;59.8226437
30.5193963;59.8297897
30.5133679;59.8281347
30.5074372;59.830298
30.5503044;59.8267347
30.5638773;59.8083208
30.5581656;59.8152832
30.4881899;59.8894854
30.4862981;59.8880474
30.4724076;59.8859276
30.6248264;59.7364105
30.3889626;59.8372035
30.3488679;59.8134605
30.4848394;59.7546442
30.2881683;59.7978032
30.3001742;59.7953073
30.3227761;59.8033326
30.2972288;59.8107019
30.3063441;59.8072122
30.3186041;59.8106688
30.3220861;59.8088666
30.3045248;59.8112296
30.3063995;59.8077544
30.2653098;60.0024885
30.48148;59.7578643
30.5698248;59.8067434
30.6204371;59.7888539
30.5955789;59.7837218
30.5662214;59.7104764
30.3866897;59.805346
30.3940164;59.8014782
30.4200801;59.7850369
30.456706;59.7740188
30.4635151;59.770046
30.4630149;59.7657231
30.4741154;59.7625427
30.4766103;59.7629929
30.4635777;59.769613
30.3423289;60.0769302
30.3430598;60.0778529
30.342321;60.0804049
30.3417993;60.0814123
30.3415693;60.0815231
30.3408436;60.0804029
30.3430012;60.0808555
30.4579917;59.8141678
30.4636368;59.7767517
30.3379971;60.0277261
30.4153838;59.8224667
30.406488;59.8241394
30.4084254;59.8247398
30.4004983;59.824432
30.3811959;59.8339959
30.32958;59.8005411
30.3264842;59.802618
30.477592;59.7382615
29.836052;59.883382
30.3735694;59.8066799
30.3379982;59.966309
30.4067439;59.9603079
30.4691273;59.9659603
30.4690851;59.9659279
30.5065505;59.9468017
30.2468553;59.984245
30.2477888;59.9837297
30.247023;60.016717
30.3985433;59.8509505
30.3946186;59.8510506
30.4653726;59.8684307
30.367666;59.9253774
29.9135307;59.8837077
30.4074362;59.8421046
30.3949508;59.8380445
30.3965749;59.8392214
30.397236;59.8386247
30.4079176;59.8413691
30.4258255;59.8461493
30.4277475;59.8453719
30.3102109;59.8386761
30.4556579;59.8661899
30.4551605;59.8664503
30.4532544;59.8666842
30.4592567;59.8680536
30.3594435;60.0368924
30.364961;60.0354345
30.3635014;60.0329856
30.6135716;59.730782
30.4355467;59.8704087
30.4329288;59.8711623
30.2634677;59.8644178
30.4254022;59.8279417
30.4024847;59.8501394
30.4083458;59.8506977
30.4079009;59.8507825
30.4188386;59.8605567
30.4162795;59.8625147
30.4174657;59.8623306
30.6480133;59.769559
29.8617232;59.880924
29.8624769;59.8807316
29.8602207;59.8813077
29.8595525;59.8814782
30.3871161;59.8359517
30.3252242;59.9647395
30.2720688;60.019662
30.3109885;60.0176373
30.2512538;59.9210999
30.3330615;59.9588574
30.3134332;60.0571668
30.3256083;60.0547048
29.7725918;59.9056085
30.264867;60.0213826
30.26008;60.0488478
30.2184636;59.9709534
30.2175404;59.971307
30.2169723;59.97168
30.2165657;59.9725265
30.2166365;59.9722609
30.2165099;59.9728792
30.2165843;59.9733137
30.2168976;59.9739711
30.2167363;59.9737246
30.2171904;59.9742975
30.2179476;59.9747591
30.2186243;59.975021
30.2198403;59.9752077
30.2207152;59.9752443
30.2222945;59.9751366
30.2228247;59.9755877
30.1900273;59.8612484
30.3523714;59.8500442
30.3849038;60.0152899
30.3305364;60.0529763
30.3809537;60.0085142
30.3818292;60.0109216
30.391367;60.0097889
30.3889989;60.0078462
30.3294504;60.0463396
30.3332609;60.0497411
30.2513402;60.0081969
30.2448173;60.0078767
30.2701778;60.0154183
30.2706688;60.0155785
30.2696054;60.0161295
30.267426;60.0091222
30.3993832;59.9008591
30.4031748;59.8988644
30.4029173;59.8991294
30.4015395;59.9006504
30.2009614;59.8598675
30.2007407;59.8596634
30.1912939;59.862378
30.3187713;59.9770828
29.732056;59.9191365
30.3261333;60.0234811
30.2652257;59.8661728
30.2811567;60.0225662
30.2940337;60.0098245
30.4057817;59.8364184
30.4062252;59.836528
30.4301656;59.871992
30.3975311;59.8379263
30.3910905;59.8369326
30.3879258;59.8369309
30.4012488;59.8347047
30.4014678;59.8344898
30.4016893;59.8342724
30.4016717;59.8341879
30.4025731;59.835154
30.4031484;59.8341939
30.4970562;59.9449464
30.1752121;60.0611197
30.4779928;59.8521713
30.1848248;59.8589784
30.4385621;59.8803231
30.4105698;59.8349806
30.4107986;59.8354501
30.411336;59.8355028
30.3532303;60.013403
30.3513401;60.0118909
30.3502911;60.011456
30.4487902;59.9133589
30.4485844;59.9131087
30.3412624;59.9350651
30.3631045;59.9309616
30.3618746;59.9315317
30.4916784;59.9007674
30.4897494;59.9004497
30.4938975;59.8966403
30.4927285;59.897865
30.4923451;59.8961756
30.4943382;59.8963033
30.3777094;59.8456191
30.3625832;60.003663
30.3623924;60.0037818
30.3643924;59.996512
30.3660825;59.9965103
30.4722615;59.9103033
30.440991;59.9124132
30.4456095;59.9127523
30.3187287;60.0503043
30.3183799;60.050285
30.3699406;59.9715675
30.4981757;59.9196671
30.4993127;59.9195117
30.3597;60.0094061
30.3212368;60.0355442
30.3215422;60.0355787
30.4749537;59.9252175
30.3808366;59.9967978
30.379588;60.0002
30.3808373;60.0023949
30.380096;60.0009898
30.3878438;59.8424286
30.4247972;59.9794395
30.4249374;59.9794018
30.4753927;59.9457011
30.4760344;59.9454715
30.4789323;59.9457304
30.4763337;59.9471122
30.4359526;59.9328044
30.4613373;59.9444892
30.3379868;59.969446
30.2321782;59.9855276
30.3509197;59.9626122
30.3632806;59.8760158
30.2878471;59.9107881
30.3087884;59.9080937
30.4540317;59.860851
30.4553632;59.8604705
30.2828365;59.983174
30.3195506;59.8660006
30.3202497;59.8664363
30.320215;59.8670656
30.3195244;59.8650246
30.320313;59.8652655
30.3201059;59.868008
30.3206007;59.872737
30.3130305;59.8654567
30.3138125;59.86447
30.3108777;59.8650391
30.3100023;59.8650008
30.3093799;59.8683117
30.3103351;59.8705265
30.3115036;59.8695862
30.311141;59.8692768
30.3111109;59.869234
30.310996;59.8690389
30.310967;59.8685785
30.3112168;59.8681969
30.3116146;59.8679057
30.4028506;59.8341297
30.4023733;59.8340583
30.4194897;59.8595901
30.2927365;59.9308607
30.2926534;59.9312259
30.2930557;59.9308146
30.2917535;59.9314352
30.3015434;59.9335291
30.2918353;59.9323836
30.2808507;59.8662409
30.4340183;59.8729529
30.400224;59.8304375
30.3951332;59.9168481
30.3594016;59.9123165
30.4091108;59.8562013
30.4086781;59.8566087
30.403438;59.8566966
30.4035671;59.8563022
30.4238859;59.8794325
30.3477023;59.8286501
30.3267798;59.911414
30.3312638;59.9130689
30.2789578;59.8957657
30.3280549;59.9200148
30.3278077;59.9201081
30.3487093;59.9177868
30.3490138;59.9181047
30.4306848;59.8454536
30.4239784;59.8438679
30.3399269;59.9163978
30.4816733;59.8544254
30.4815076;59.8598039
29.7457743;59.9955835
29.7471759;59.9947126
30.4001396;59.8370287
30.3863865;59.8567104
30.386398;59.8570623
30.3865837;59.856837
30.0152598;60.1460133
30.0154039;60.1505588
30.4712228;59.6837208
30.4715767;59.6836435
30.1412931;60.0307759
