WKT	NAME	NAME_EN	NAME_RU	WATERWAY	OSM_TYPE	OSM_ID
"LINESTRING (30.3384051 59.9419141,30.3380439 59.9418504,30.3378651 59.9417846,30.3378034 59.9417619,30.3377328 59.9417359,30.3369508 59.941448,30.3360999 59.9412085,30.3357773 59.9411164,30.3355995 59.9410851,30.3354374 59.9410566,30.3352554 59.9410246,30.335123 59.9410013,30.3345994 59.941015,30.330376 59.9414608,30.3302102 59.9414783,30.330011 59.9414994,30.3299935 59.9415012,30.3295696 59.9416026,30.3290521 59.9417169,30.3289395 59.9417418,30.3289317 59.9417435,30.328817 59.9417711,30.3264135 59.9423485,30.3250938 59.9423424,30.3246524 59.9423069,30.3234625 59.9421134,30.3232309 59.9420633,30.3231184 59.9420393,30.323014 59.9420165,30.3217563 59.9417461,30.3207103 59.9413556,30.3203949 59.9412093,30.3199636 59.9409264,30.3197583 59.9407597,30.3196261 59.9406265,30.3195038 59.9404233,30.3194748 59.9403284,30.3194149 59.9399937,30.3193701 59.9396756,30.3193235 59.9394654,30.3192534 59.9390683,30.3196884 59.9379375,30.3197994 59.9374388,30.3197445 59.9363516,30.319667 59.9361679,30.3195854 59.9359971,30.3193292 59.935593,30.3189693 59.9352029,30.3180432 59.93433,30.3166349 59.9334888,30.3158593 59.9331601,30.3154535 59.9330369,30.3153107 59.9329953)"	Мойка	Moika(Wash)	Мойка	river	way	"11395661"
"LINESTRING (30.2917964 59.9312807,30.2881275 59.9301664,30.2863147 59.9295161,30.285801 59.9292859,30.2859516 59.9290131)"	Адмиралтейский канал	Admiralteysky canal	Адмиралтейский канал	canal	way	"11395898"
"LINESTRING (30.3197583 59.9407597,30.3196178 59.9408519,30.3195483 59.9408974,30.3194633 59.9409532,30.3186985 59.9414608,30.3173088 59.9423832)"	Зимняя канавка			canal	way	"11396029"
"LINESTRING (30.2787535 59.9272801,30.2789536 59.9270459,30.280795 59.9248914,30.280976 59.9246604,30.2811226 59.9243775,30.2812102 59.9241188,30.2812447 59.9238492,30.2812287 59.9235916,30.2811734 59.9233689,30.2811018 59.9231855,30.28105 59.9230528,30.2808769 59.9228654,30.2805546 59.9226665,30.2801432 59.9224423,30.2773547 59.9212978,30.2771337 59.9211697,30.276323 59.9206998,30.2760427 59.9206423)"	Пряжка	Pryazhka	Пряжка	river	way	"11406952"
"LINESTRING (30.2482329 59.9001406,30.2525228 59.8985765,30.2529147 59.8983297)"	Внутренний канал		Внутренний канал	canal	way	"11551258"
"LINESTRING (30.397196 59.9241878,30.3925122 59.9233554,30.3887361 59.9228409,30.3883431 59.9227785,30.3878942 59.922677,30.3875162 59.9225614,30.3871675 59.9224366,30.3866341 59.9221709,30.386372 59.9220612,30.3860091 59.921957,30.3856649 59.9218744,30.384809 59.9217165,30.3845289 59.9216802,30.3842716 59.9216859,30.3840199 59.9217264,30.381424 59.9223403,30.3811101 59.9223909,30.3808289 59.9224076,30.3805143 59.9223908,30.3802473 59.9223595,30.3799231 59.9222779,30.3795453 59.9221381,30.3794886 59.9221057,30.379436 59.9220668,30.3793291 59.921937,30.3793 59.9218787,30.3792869 59.9218114,30.3792967 59.9215796,30.3792675 59.9213855,30.3792713 59.9211913,30.3793654 59.9208569,30.3795481 59.9205279,30.379969 59.9199364,30.3812528 59.918121,30.3814352 59.9177849,30.3825693 59.9162216)"	Монастырка	Monastyrka		river	way	"11847029"
"LINESTRING (30.3528153 59.8794987,30.3527811 59.8795971,30.3527302 59.8796657,30.3525732 59.879797,30.3523251 59.8799585,30.3522058 59.8800426,30.3520972 59.8801765,30.3520623 59.8802835,30.3520918 59.8804639,30.3520904 59.8806342,30.352124 59.8807842,30.3521454 59.880871,30.3522044 59.8809484,30.3523225 59.8810265,30.3526872 59.8812042,30.3530359 59.8814087,30.3531861 59.8814505,30.3533068 59.8814653,30.3534785 59.8814558,30.3536555 59.8814235,30.3539023 59.8813509,30.3541383 59.8813374,30.3543422 59.8813495,30.3546131 59.881433,30.3548665 59.8815864,30.3549698 59.8816523,30.3550342 59.8817782,30.3550556 59.8818818,30.3550449 59.8819922,30.355006 59.8821645,30.3549872 59.8822762,30.3549744 59.8823506,30.3549698 59.8825225,30.3548558 59.8827526,30.3548303 59.8829323,30.3548665 59.8830743,30.3549518 59.8832331,30.3550533 59.8836149,30.3551266 59.8839203,30.3550583 59.8840991,30.3547095 59.8844181,30.3542585 59.8847122,30.3536159 59.8850347,30.3534383 59.8852147,30.3531727 59.8854664,30.3530896 59.885601,30.3529957 59.8857504,30.3530118 59.8858715,30.3531298 59.8860868,30.3531942 59.8862187,30.3531995 59.8863277,30.353052 59.8866924,30.353052 59.8868808,30.3529072 59.8872871,30.3527543 59.8874998,30.3527248 59.8876424,30.3526255 59.8877474,30.35236 59.8880434,30.3522152 59.8882331,30.3521159 59.8882641,30.3520194 59.8883408,30.3519791 59.888587,30.352006 59.8888467,30.352179 59.8892235,30.3522876 59.8893554,30.3523841 59.8894893,30.3525209 59.8895626,30.352875 59.88972,30.3531419 59.8898055,30.3533524 59.8899057,30.3535885 59.8900255,30.3537467 59.8902973,30.3539184 59.8905301,30.3541222 59.8908584,30.3543878 59.8911665,30.3545353 59.8913374,30.3545967 59.8918526,30.3546448 59.8920356,30.3546306 59.8932014,30.3546667 59.8933663,30.3547385 59.8935218,30.3549349 59.8937861,30.3550816 59.8939563,30.3552836 59.8941534,30.3554807 59.894342,30.3555062 59.8944561,30.3554982 59.8945207,30.3553567 59.8946271,30.3552393 59.8947995,30.3551114 59.8951291,30.3550181 59.8955479,30.3550056 59.8955847,30.3549094 59.8958694,30.3548263 59.8959622,30.3545178 59.8962138,30.3544347 59.8963672,30.3543515 59.8964593,30.3542496 59.8965373,30.3542054 59.8966813,30.3542081 59.8967412,30.3542375 59.8968004,30.3542832 59.8968542,30.3544392 59.8969584,30.3547592 59.8971575,30.3552233 59.8974321,30.3554469 59.8976043,30.3556364 59.8977613,30.3557804 59.8978667,30.3562576 59.8981006,30.3569396 59.8983976,30.3572856 59.8984968,30.357667 59.8985772,30.3580374 59.8986257,30.3582548 59.8986655,30.3584889 59.898742,30.3588963 59.8989238,30.359178 59.8990656,30.3594005 59.8992335,30.3595718 59.8993909,30.3597657 59.899602,30.3599505 59.899806,30.3600151 59.8999691,30.3600841 59.900212,30.3601475 59.9003694,30.3602424 59.900508,30.3603711 59.9006193,30.3605809 59.900727,30.3607908 59.9007887,30.361008 59.9008145,30.3612552 59.9008115,30.3614903 59.9007847,30.361801 59.9007305,30.3621858 59.9006495,30.3624511 59.9006125,30.3627102 59.9006293,30.3629493 59.9006655,30.3631462 59.900717,30.3632974 59.9007785,30.3634149 59.9008449,30.3635022 59.9009299,30.3635537 59.9010528,30.3635704 59.9011815,30.3635723 59.9013491,30.3635294 59.9014724,30.3634373 59.9016196,30.3633111 59.9017891,30.3631302 59.9020595,30.3627913 59.9024929,30.3626594 59.9026924,30.3626527 59.9028863,30.3626728 59.9030318,30.3627338 59.9031786,30.362838 59.9033357,30.3630269 59.9035642,30.363204 59.9037134,30.3634285 59.903843,30.3638972 59.9040407,30.3640019 59.9041138,30.3640782 59.9041997,30.364104 59.9043035,30.3641193 59.9045783,30.3641272 59.9048864,30.3641319 59.9050421,30.3640837 59.9052123,30.364011 59.9053597,30.3638533 59.9056199,30.3637116 59.905777,30.3632214 59.9062004,30.3627569 59.906613,30.3624651 59.907293,30.3621144 59.9079151,30.3618214 59.9083688,30.3613297 59.9088093,30.3609032 59.9092453,30.3606088 59.909837,30.3603981 59.9100536,30.3602131 59.9101835,30.3598835 59.910339,30.3595542 59.9104624,30.3593773 59.9105551,30.3591924 59.9107191,30.3591429 59.9107867,30.3592457 59.911018,30.3593043 59.911104,30.3595406 59.9112308,30.3597845 59.9113001,30.3605108 59.9115363,30.3611512 59.9119656,30.3616196 59.9123695,30.3619673 59.912715,30.3620258 59.9129466,30.3618925 59.9134442,30.361785 59.9139263)"	Волковка	Volkovka	Волковка	river	way	"20481949"
"LINESTRING (30.3783407 59.8326512,30.375379 59.838458,30.3751197 59.8388955,30.372025 59.843171)"	Волковский канал			river	way	"23226398"
"LINESTRING (30.4443554 59.8924435,30.4440336 59.8934445,30.4407221 59.8971753)"	Нева	Neva	Нева	river	way	"24219655"
"LINESTRING (30.3348876 59.9501548,30.3364234 59.9478168,30.3374071 59.9463191,30.3377998 59.9451965,30.3378738 59.9447447,30.3382674 59.9423331,30.3383134 59.9421279,30.3383408 59.942006,30.3384051 59.9419141,30.338514 59.9418206,30.3405073 59.9402982,30.3428879 59.93848,30.3430472 59.9383518,30.3431504 59.9382162,30.3432095 59.9380768,30.3434153 59.937592,30.3442439 59.9354518,30.3438496 59.9343751,30.3434354 59.9332494,30.3434317 59.9332393)"	Фонтанка	Fontanka		river	way	"24255525"
