WKT	NATURAL	OSM_TYPE	OSM_ID
"POLYGON ((30.4987718 59.9437644,30.4987234 59.9436498,30.498619 59.9436078,30.4985773 59.9435594,30.4985646 59.9435284,30.4985169 59.9435338,30.498475 59.9435564,30.4983723 59.9435783,30.4984867 59.9439522,30.4987718 59.9437644))"	scrub	relation	"1732128"
"POLYGON ((30.4976062 59.9435388,30.4975712 59.9434224,30.4974908 59.9434417,30.4974803 59.9434869,30.4975074 59.9434974,30.4974984 59.9435366,30.4975186 59.9435457,30.4976062 59.9435388))"	scrub	relation	"1734163"
"POLYGON ((30.4956038 59.9444609,30.4955845 59.9444474,30.4955228 59.9444581,30.4954707 59.9444517,30.4954361 59.9444689,30.4954344 59.9445163,30.495593 59.9445186,30.4956038 59.9444609))"	scrub	relation	"1734180"
"POLYGON ((30.3141116 60.0155081,30.3140905 60.0153924,30.3141944 60.0153034,30.3143171 60.0151286,30.3143209 60.0150059,30.3143729 60.014939,30.3144622 60.0148963,30.3145031 60.0147847,30.3144399 60.014755,30.3144399 60.0147029,30.3145068 60.0146769,30.3145775 60.014662,30.3147375 60.0143237,30.3146482 60.0142809,30.3146349 60.0141592,30.3143365 60.0148283,30.3132321 60.0147051,30.3129241 60.0154169,30.3133501 60.0154983,30.3134546 60.0154836,30.313553 60.015465,30.3136228 60.0154456,30.3138093 60.0154313,30.313865 60.0154684,30.3141116 60.0155081))"	grassland	relation	"1740370"
"POLYGON ((30.4044625 60.0025555,30.4069651 60.0017823,30.4071206 60.0017402,30.4064676 60.0016183,30.406324 60.0016909,30.4060265 60.0017241,30.4049664 60.0020768,30.4047823 60.0021074,30.4040687 60.0018414,30.404161 60.0017139,30.4034488 60.0018643,30.4039588 60.0019953,30.4039588 60.0022732,30.4041888 60.0024265,30.4044625 60.0025555))"	scrub	relation	"1773468"
"MULTIPOLYGON (((30.3623773 60.0323854,30.3624167 60.0324754,30.3625124 60.0325021,30.3628925 60.0325569,30.3629009 60.032526,30.3631853 60.0325274,30.3633091 60.0325569,30.3634653 60.032577,30.3636159 60.0328733,30.3641177 60.0329643,30.3643761 60.0330111,30.3644493 60.0330118,30.36452 60.0329963,30.3645358 60.0329424,30.3644502 60.0326741,30.3643517 60.0326752,30.3643271 60.0324304,30.3641283 60.0323861,30.3623773 60.0323854)),((30.3654465 60.0353113,30.3655011 60.035298,30.3654867 60.0351858,30.3648651 60.0339357,30.3646581 60.0342003,30.3646335 60.0342878,30.3646489 60.0343478,30.3647104 60.0344538,30.3648888 60.0346604,30.3654465 60.0353113)),((30.3637701 60.0352563,30.363868 60.0353728,30.3639606 60.0353681,30.3641617 60.0355858,30.3643039 60.0355537,30.3641215 60.0353233,30.3640343 60.0353099,30.3639686 60.0352154,30.3637701 60.0352563)),((30.3630415 60.0364515,30.3647931 60.0360839,30.3645938 60.0358596,30.3645171 60.0358771,30.3643158 60.0356511,30.3643814 60.0356365,30.3646325 60.0355785,30.3648806 60.0355282,30.364961 60.0354345,30.3644715 60.0348343,30.3644326 60.0348169,30.3643964 60.0348128,30.3642564 60.0348075,30.364379 60.0349597,30.3641616 60.0349954,30.3640174 60.0348182,30.3639441 60.0348036,30.3637527 60.0347968,30.3636736 60.0347948,30.3632798 60.0348751,30.3633095 60.0349166,30.3631548 60.0349474,30.3631256 60.0349067,30.3630105 60.0349285,30.3630684 60.0350001,30.3629842 60.0350165,30.3626065 60.0350946,30.3622507 60.0346222,30.3632176 60.0344243,30.3632063 60.0343592,30.3632648 60.0343471,30.3634002 60.0343191,30.3635213 60.034294,30.3634172 60.0341509,30.3633386 60.0340601,30.3632867 60.03396,30.363323 60.0338079,30.3634158 60.0337073,30.3635738 60.0336243,30.3638301 60.0335383,30.3640174 60.0335032,30.3642323 60.0334998,30.3645558 60.0335246,30.3646843 60.0334736,30.3646087 60.0331903,30.3645529 60.0330994,30.3641027 60.0330247,30.3635113 60.0329266,30.3635014 60.0329856,30.3635261 60.0330365,30.363128 60.0330845,30.3631034 60.0330336,30.3630713 60.0329782,30.3630247 60.0329719,30.3630212 60.0330358,30.3628807 60.0330338,30.3628623 60.0330474,30.3625256 60.032948,30.3623888 60.0326505,30.3622731 60.032382,30.361673 60.0323665,30.3606967 60.0323332,30.3606942 60.0323556,30.3609533 60.0324215,30.3611153 60.0324028,30.3615039 60.0324153,30.3614977 60.0324768,30.3618859 60.0324891,30.3618815 60.0325304,30.361902 60.0325346,30.361884 60.0327298,30.3614408 60.032715,30.3614326 60.0327336,30.3613548 60.0327249,30.3611992 60.0327202,30.361142 60.0327435,30.360965 60.0334076,30.3604045 60.0333707,30.3603651 60.0334704,30.3608385 60.0335133,30.360923 60.0334751,30.3615345 60.0335126,30.361556 60.0334731,30.3616901 60.0334832,30.3618523 60.0335662,30.3618188 60.0336379,30.3616954 60.0336359,30.3614661 60.034569,30.3613213 60.0345556,30.3613642 60.0344029,30.3613266 60.0343788,30.361282 60.03438,30.3612265 60.0345873,30.3613502 60.0347363,30.361513 60.0347083,30.3615814 60.0348021,30.3614305 60.0348331,30.3619959 60.0355142,30.3625202 60.0353902,30.3624397 60.0352737,30.3625014 60.0352683,30.3624424 60.0351826,30.3626329 60.0351531,30.3626758 60.0352134,30.3627214 60.0352134,30.3627482 60.0352469,30.3628045 60.0352657,30.3628206 60.0353045,30.3628528 60.03533,30.3629091 60.035338,30.3630137 60.0353259,30.363062 60.0353112,30.3630164 60.0352576,30.3636575 60.0351417,30.3637272 60.0352188,30.3638694 60.0351953,30.363856 60.0351612,30.3639632 60.0351377,30.3639458 60.0351136,30.363974 60.0351103,30.3639257 60.0350433,30.3635542 60.035117,30.3635234 60.035064,30.3638037 60.0349013,30.3637728 60.0348629,30.3638373 60.0348504,30.3639927 60.0348705,30.3641027 60.0350111,30.3641777 60.0350163,30.3646212 60.035565,30.3643495 60.0356247,30.3643173 60.0355952,30.3641805 60.035622,30.364206 60.0356414,30.3641269 60.0356823,30.3643991 60.0359475,30.3645238 60.0359321,30.3645775 60.0360085,30.3645024 60.0360132,30.3645185 60.0360567,30.3631277 60.03633,30.3630365 60.0362148,30.3628179 60.0362624,30.3628501 60.0363139,30.3628461 60.036328,30.3626775 60.0363704,30.3626831 60.0363839,30.3630415 60.0364515)),((30.3640345 60.0342597,30.3643066 60.0345804,30.3645037 60.0348262,30.3649944 60.0354172,30.3652976 60.0353578,30.3653311 60.0353691,30.3653956 60.0353536,30.3646027 60.0344883,30.3645412 60.0343908,30.3645074 60.0342878,30.364532 60.0341803,30.3648085 60.0338018,30.3647619 60.0337185,30.3645393 60.0336214,30.3645134 60.0336387,30.3643356 60.0336027,30.3641462 60.0335953,30.3640129 60.0336058,30.3639304 60.0336194,30.3637902 60.0336527,30.363668 60.0336995,30.3635166 60.033809,30.3634568 60.0339409,30.3634762 60.0340078,30.3635625 60.0341262,30.3636427 60.034117,30.3637488 60.0342492,30.3636505 60.0342694,30.3637259 60.0343573,30.3638367 60.0342693,30.3636986 60.0340995,30.3639605 60.0340464,30.364087 60.0342045,30.3640345 60.0342597)),((30.3640866 60.0347546,30.3644018 60.0347673,30.3639784 60.0342687,30.3638747 60.0342801,30.363764 60.0343943,30.3638696 60.034381,30.3641753 60.0347079,30.3640736 60.0347222,30.3640866 60.0347546)))"	grassland	relation	"1774972"
"POLYGON ((30.2835789 60.0388088,30.2838928 60.0388307,30.2839318 60.0388721,30.2841127 60.0389499,30.2842499 60.0390184,30.2843995 60.0390184,30.2845055 60.0389406,30.284518 60.0388347,30.284412 60.0387288,30.2842062 60.0386852,30.2839256 60.0386977,30.283596 60.0386957,30.2835789 60.0388088))"	scrub	relation	"1780203"
"POLYGON ((30.274654 60.0379468,30.2746651 60.0378302,30.2747276 60.0377925,30.2748087 60.0377346,30.2748987 60.0376616,30.2749689 60.0375681,30.2750354 60.0375012,30.2751839 60.0374241,30.2753297 60.0373679,30.2754664 60.0373328,30.2756681 60.037299,30.2759755 60.0372762,30.2760569 60.0372703,30.2761379 60.0372831,30.2761857 60.0372944,30.2762427 60.0373212,30.2762596 60.0373563,30.2763402 60.0373485,30.2764564 60.0373373,30.2765665 60.0373267,30.2766276 60.0373549,30.2767208 60.0372595,30.27673 60.0372251,30.2767526 60.0371932,30.2767871 60.0371661,30.2768309 60.0371442,30.276888 60.0371038,30.2769397 60.0370647,30.2770207 60.0370295,30.2771295 60.0369779,30.2772392 60.0369052,30.2773387 60.0368518,30.2774344 60.036819,30.2775663 60.0367586,30.2772879 60.0363521,30.2768055 60.0364024,30.2765587 60.036448,30.2763114 60.0364765,30.2761638 60.036399,30.2760687 60.0364571,30.2761289 60.0365316,30.2760461 60.0365555,30.2759383 60.036515,30.2757689 60.0366511,30.2755789 60.0368428,30.2753341 60.0370777,30.2751739 60.0372084,30.2748813 60.0373374,30.2747099 60.0374978,30.2745914 60.0376786,30.2745391 60.0378217,30.274654 60.0379468))"	beach	relation	"1780204"
"POLYGON ((30.2825625 60.0379798,30.2821916 60.0386442,30.2820416 60.0388644,30.2818858 60.0389814,30.2824795 60.0388747,30.2824838 60.0388386,30.2824796 60.0387813,30.2825082 60.0387491,30.2826128 60.038682,30.2826853 60.0386604,30.2828854 60.0386527,30.2830912 60.0386457,30.2831427 60.0386379,30.2829364 60.0385973,30.2828827 60.0385571,30.2829069 60.0385263,30.2830445 60.0384828,30.2832734 60.0384141,30.2832964 60.0383582,30.2830506 60.0380998,30.282966 60.0379566,30.282779 60.0379741,30.2825625 60.0379798))"	beach	relation	"1780205"
"POLYGON ((30.4873283 60.0222733,30.4872435 60.0224155,30.4871584 60.0225877,30.4875709 60.0228962,30.4880446 60.0231837,30.4883856 60.0232761,30.4886109 60.0232734,30.4887668 60.0232067,30.4891097 60.0230563,30.4894237 60.0228511,30.4891883 60.0229121,30.4886979 60.023064,30.4883742 60.0230297,30.4883643 60.0228827,30.4882663 60.0226866,30.4877562 60.0224954,30.4873283 60.0222733))"	scrub	relation	"1797110"
