X	Y	NAME	NAME_EN	NAME_RU	RAILWAY	HIGHWAY	REF	NETWORK	PUBLIC_TRA	OSM_TYPE	OSM_ID
30.3234075	59.8237978	торговый центр «Метро»				bus_stop			platform	node	"410525405"
30.3231897	59.8277177	супермаркет «О'Кей»				bus_stop			platform	node	"410525407"
30.3245342	59.8043293	Внуковская улица				bus_stop			platform	node	"410525415"
30.476735	59.941159	Ленская улица				bus_stop			platform	node	"423129705"
30.4774907	59.9416972	Ленская улица				bus_stop			platform	node	"423129727"
30.4776139	59.9442717	проспект Косыгина				bus_stop			platform	node	"423129747"
30.4769549	59.9448437	Индустриальный проспект				bus_stop			platform	node	"423129765"
30.4666603	59.9418321	улица Передовиков				bus_stop			platform	node	"423158240"
30.464457	59.9415973	улица Передовиков				bus_stop			platform	node	"423158241"
30.4652942	59.9421457	улица Передовиков				bus_stop			platform	node	"423158243"
30.4889446	59.9400529	Ленская улица (проспект Наставников)				bus_stop			platform	node	"423158265"
30.4899414	59.9408096	Ленская улица (проспект Наставников)				bus_stop			platform	node	"423158272"
30.4900369	59.9453777	проспект Наставников				bus_stop			platform	node	"423158289"
30.4921287	59.9450531	проспект Наставников				bus_stop			platform	node	"423158303"
30.4902993	59.9445239	проспект Косыгина				bus_stop			platform	node	"423158328"
30.4778034	59.9456915	проспект Косыгина				bus_stop			platform	node	"424007652"
30.4762235	59.9374359	Индустриальный проспект				bus_stop			platform	node	"424014430"
30.4768518	59.9369033	Хасанская улица				bus_stop			platform	node	"424014432"
30.4815516	59.9367498	"Хасанская улица, 6"				bus_stop			platform	node	"424014433"
30.3252824	59.9719282	Инструментальная улица				bus_stop			platform	node	"425426245"
30.3205536	59.9709986	Аптекарский проспект				bus_stop			platform	node	"425426455"
30.3140358	59.9707385	улица Профессора Попова		улица Профессора Попова		bus_stop			platform	node	"425427032"
30.2409571	60.112381	дорога в посёлок Песочный				bus_stop			platform	node	"426044260"
30.467137	59.9207998	Ледовый дворец				bus_stop			platform	node	"427144770"
30.4343796	59.933364	проспект Энергетиков				bus_stop			platform	node	"427353806"
30.5737836	59.8092033	Дом культуры имени Маяковского				bus_stop			platform	node	"441577262"
30.5759547	59.8085675	Дом культуры имени Маяковского				bus_stop			platform	node	"441577358"
30.5745642	59.8159044	Полевая улица				bus_stop			platform	node	"441577402"
30.5740302	59.8163001	Полевая улица				bus_stop			platform	node	"441577406"
30.522939	59.8010182	"Петро-Славянка, улица 3-й Пятилетки"				bus_stop			platform	node	"441599402"
30.4793841	59.8770926	"Дальневосточный проспект, угол проспекта Большевиков"				bus_stop			platform	node	"442965764"
30.4685826	59.8817243	Дальневосточный проспект				bus_stop			platform	node	"442970451"
30.4712158	59.881973	Дальневосточный проспект				bus_stop			platform	node	"442970620"
30.4612023	59.8795	"Народная улица, 8"				bus_stop			platform	node	"442971999"
30.4620564	59.8800821	"Народная улица, 8"				bus_stop			platform	node	"442972223"
30.369646	60.0084984	станция метро «Политехническая»			tram_stop				stop_position	node	"445713264"
30.4598573	59.8664073	Музей «Невская застава»				bus_stop			platform	node	"446198374"
30.4691134	59.8651246	станция метро «Пролетарская»	Proletarskaya metro station			bus_stop			platform	node	"446198397"
30.3664152	60.036481	проспект Луначарского			tram_stop				stop_position	node	"448040265"
30.6122016	59.7923851	26-й километр				bus_stop			platform	node	"455540616"
30.2532718	60.0785348	Промкомбинат				bus_stop			platform	node	"455843311"
30.2520906	60.0787252	Промкомбинат				bus_stop			platform	node	"455843315"
30.4531272	59.8654218	улица Бабушкина				bus_stop			platform	node	"470207528"
30.4101133	59.9832078	Бестужевская улица				bus_stop			platform	node	"471802683"
30.4128225	59.9850955	Замшина улица				bus_stop			platform	node	"471802703"
30.4113773	59.985102	Замшина улица				bus_stop			platform	node	"471802712"
30.4110477	59.9855747	Замшина улица				bus_stop			platform	node	"471802766"
30.4073571	59.9806772	"Замшина улица, 62"				bus_stop			platform	node	"471802839"
30.4056619	59.9799472	"Замшина улица, 62"				bus_stop			platform	node	"471802840"
30.2407144	60.077236	Енисейская улица				bus_stop			platform	node	"475498683"
30.2458227	60.0785123	Торфяная улица				bus_stop			platform	node	"477195095"
30.2462394	60.0784322	Торфяная улица				bus_stop			platform	node	"477195096"
30.2582707	60.0789594	железнодорожная станция «Парголово»				bus_stop			platform	node	"477195101"
30.2578588	60.0790168	железнодорожная станция «Парголово»				bus_stop			platform	node	"477195102"
30.3310951	59.8442342	"улица Орджоникидзе, угол улицы Ленсовета"				bus_stop			platform	node	"480915113"
30.3304891	59.8448158	улица Ленсовета				bus_stop			platform	node	"483408587"
30.3129426	59.9661086	станция метро «Петроградская»				bus_stop			platform	node	"485537757"
30.3110734	59.966544	станция метро «Петроградская»				bus_stop			platform	node	"485538818"
30.3433068	59.8357905	"улица Ленсовета, 87"				bus_stop			platform	node	"485652774"
30.3432716	59.8361673	"улица Ленсовета, 87"				bus_stop			platform	node	"485652776"
30.3473513	59.8339788	станция метро «Звёздная»				bus_stop			platform	node	"485652778"
30.3375743	59.8388478	"проспект Юрия Гагарина, театр «Алеко»"				bus_stop			platform	node	"485652814"
30.3390022	59.8443444	проспект Юрия Гагарина				bus_stop			platform	node	"485652853"
30.337238	59.8446134	проспект Юрия Гагарина				bus_stop			platform	node	"485652856"
30.3494991	59.8385486	Торговый центр				bus_stop			platform	node	"485657416"
30.3496105	59.8390368	Торговый центр				bus_stop			platform	node	"485657417"
30.3484327	59.8421511	"Пулковская улица, угол улицы Орджоникидзе"				bus_stop			platform	node	"485657418"
30.3486569	59.8423792	"Пулковская улица, угол улицы Орджоникидзе"				bus_stop			platform	node	"485657419"
30.3509841	59.8344033	"Звёздная улица, угол Пулковской улицы"				bus_stop			platform	node	"485657427"
30.3382321	59.844986	улица Орджоникидзе				bus_stop			platform	node	"491428971"
30.2176922	59.9511195	Новосмоленская набережная (улица Кораблестроителей)				bus_stop			platform	node	"496765393"
30.2156388	59.9490561	Новосмоленская набережная		Новосмоленская набережная		bus_stop			platform	node	"496765395"
30.2136936	59.9456334	Мичманская улица		Мичманская улица		bus_stop			platform	node	"496765396"
30.2149486	59.9464985	Мичманская улица		Мичманская улица		bus_stop			platform	node	"496765398"
30.2150673	59.9434568	Боцманская улица				bus_stop			platform	node	"496765399"
30.2146947	59.9430462	Боцманская улица				bus_stop			platform	node	"496765400"
30.2181253	59.9402469	гостиница «Прибалтийская»				bus_stop			platform	node	"496765401"
30.2195884	59.939738	гостиница «Прибалтийская»				bus_stop			platform	node	"496765402"
30.229956	59.9425414	улица Нахимова				bus_stop			platform	node	"496765403"
30.2335485	59.9385217	Малый проспект В.О.		Малый проспект В.О.		bus_stop			platform	node	"496765404"
30.2634882	59.9335192	Косая линия		Косая линия		bus_stop			platform	node	"496765407"
30.257075	59.9314168	26-27-я линии В.О.				bus_stop			platform	node	"496765414"
30.2335386	59.9370133	Малый проспект В.О.		Малый проспект В.О.		bus_stop			platform	node	"496765418"
30.2312182	59.9422635	улица Нахимова				bus_stop			platform	node	"496765419"
30.3001827	59.9398455	Университет				bus_stop			platform	node	"497470115"
30.293226	59.9394831	Кадетская и 1-я линии В.О.		Кадетская и 1-я линии В.О.		bus_stop			platform	node	"497470116"
30.2917208	59.940793	Большой проспект В.О.		Большой проспект В.О.		bus_stop			platform	node	"497470117"
30.2402534	59.9321551	Средний проспект В.О.		Средний проспект В.О.		bus_stop			platform	node	"497470124"
30.2353988	59.9343568	Шкиперский проток		Шкиперский проток		bus_stop			platform	node	"497470125"
30.2554195	59.9256128	Детская улица				bus_stop			platform	node	"497470126"
30.2530105	59.9230733	Косая линия		Косая линия		bus_stop			platform	node	"497470127"
30.3516251	59.8337714	станция метро «Звёздная»				bus_stop			platform	node	"497485594"
30.3603195	59.8324594	"Дунайский проспект, угол проспекта Космонавтов"				bus_stop			platform	node	"497485601"
30.3565543	59.842403	"улица Орджоникидзе, угол проспекта Космонавтов"				bus_stop			platform	node	"497488819"
30.3586093	59.8387102	"проспект Космонавтов, 74"				bus_stop			platform	node	"497488824"
30.3602435	59.8350245	"проспект Космонавтов, угол Звёздной улицы"				bus_stop			platform	node	"497488836"
30.2404022	59.9259038	площадь Морской славы				bus_stop			platform	node	"498419767"
30.2452399	59.9236805	Фабрика имени В. Слуцкой				bus_stop			platform	node	"498419768"
30.2353324	59.933022	Наличная улица (Шкиперский проток)		Наличная улица (Шкиперский проток)		bus_stop			platform	node	"498419770"
30.2645479	59.9321463	22-23-я линии В.О.				bus_stop			platform	node	"501551559"
30.2260358	59.9413778	"улица Нахимова, 18"				bus_stop			platform	node	"501551562"
30.2706723	60.0174994	улица Маршала Новикова				bus_stop			platform	node	"504910965"
30.2728746	60.0178286	"Парашютная улица, угол улицы Маршала Новикова"				bus_stop			platform	node	"504910982"
30.2721038	60.0065962	проспект Сизова				bus_stop			platform	node	"504916708"
30.2661733	60.0080944	"проспект Испытателей, угол улицы Маршала Новикова"				bus_stop			platform	node	"504916709"
30.2658785	60.0081734	улица Маршала Новикова				bus_stop			platform	node	"504916710"
30.2701777	60.0157592	Ольховая улица				bus_stop			platform	node	"504918307"
30.3637696	59.9049583	Старообрядческий мост				bus_stop			platform	node	"504918492"
30.3628196	59.9049189	Старообрядческий мост				bus_stop			platform	node	"504918493"
30.371246	59.8994192	"улица Самойловой, угол Мгинской улицы"				bus_stop			platform	node	"504918648"
30.3821843	60.0249322	улица Академика Байкова (Светлановский проспект)				bus_stop			platform	node	"505115790"
30.4613465	59.9542578	улица Передовиков				bus_stop			platform	node	"505116445"
30.268901	60.0133383	улица Маршала Новикова				bus_stop			platform	node	"506527335"
30.2647488	60.0132066	улица Уточкина (проспект Королёва)				bus_stop			platform	node	"506527337"
30.2632367	60.0125893	проспект Королёва (улица Уточкина)				bus_stop			platform	node	"506527338"
30.2680258	60.012395	проспект Королёва				bus_stop			platform	node	"506527339"
30.1931471	59.8504794	Брестский бульвар				bus_stop			platform	node	"517137969"
30.184109	59.8506584	проспект Кузнецова				bus_stop			platform	node	"517141371"
30.1859253	59.8504235	проспект Кузнецова				bus_stop			platform	node	"517141760"
30.1945886	59.8502603	Брестский бульвар				bus_stop			platform	node	"517141984"
30.4649944	59.907417	улица Антонова-Овсеенко				bus_stop			platform	node	"521976765"
30.4136239	59.8655786	Софийская улица				bus_stop			platform	node	"522635676"
30.4145218	59.8666749	проспект Славы				bus_stop			platform	node	"522635768"
30.4158658	59.8649185	проспект Славы				bus_stop			platform	node	"522635773"
30.4169778	59.8661702	Софийская улица				bus_stop			platform	node	"522635942"
30.3567483	59.9542533	Финляндский вокзал				bus_stop			platform	node	"524103273"
