X	Y	NAME	NAME_EN	NAME_RU	RAILWAY	NETWORK	OPERATOR	REF	OSM_TYPE	OSM_ID
30.4103347	59.8406244	Дунайская - 1			subway_entrance				node	"6851511631"
30.4325323	59.8201577				subway_entrance				node	"6851538145"
30.4328088	59.8198847				subway_entrance				node	"6851538146"
30.4321913	59.8198972				subway_entrance				node	"6851538164"
30.3343892	60.0671365				subway_entrance				node	"7015402089"
30.3549738	59.9207661				subway_entrance				node	"7473385123"
30.3463389	59.9282598				subway_entrance				node	"7473625772"
30.4994488	59.830947				subway_entrance				node	"9276379764"
30.5007693	59.8304583				subway_entrance				node	"9276379768"
30.5010035	59.8303716				subway_entrance				node	"9276379771"
30.2833282	59.9480129	Спортивная - 2			subway_entrance				node	"9906539695"
30.2912293	59.9518359	Спортивная - 1			subway_entrance				node	"9906539696"
