X	Y	HIGHWAY	CROSSING	CROSSING_R	OSM_TYPE	OSM_ID
30.3050019	59.9596092	crossing	uncontrolled		node	"256136450"
30.3093515	59.9623001	crossing	traffic_signals		node	"256915996"
30.180034	59.8613178	crossing	traffic_signals		node	"258676223"
29.9775724	60.0402908	crossing	uncontrolled		node	"261650178"
30.3487577	59.9499848	crossing	uncontrolled		node	"262615349"
30.3493355	59.9500717	crossing	uncontrolled		node	"262615350"
30.2947549	59.9662978	crossing	traffic_signals		node	"267408556"
30.2618438	60.0075061	crossing	traffic_signals		node	"271136121"
30.3812476	59.9956303	crossing	unmarked		node	"272007666"
29.7297772	60.2136677	crossing	unmarked		node	"272537163"
30.3732806	59.9895223	crossing	unmarked		node	"273217493"
30.4528409	59.9053554	crossing			node	"275058144"
30.5691965	59.8115269	crossing	uncontrolled		node	"275059877"
30.3202982	60.0294964	crossing	uncontrolled		node	"279658908"
30.5351525	59.9752484	crossing	uncontrolled		node	"280963886"
30.3950407	60.0002533	crossing	traffic_signals		node	"280965970"
30.4251484	60.0002953	crossing	uncontrolled		node	"280966551"
30.4008622	59.9173177	crossing	traffic_signals		node	"282282901"
29.9140546	59.880211	crossing	uncontrolled		node	"288315041"
30.3679137	60.0162604	crossing	traffic_signals		node	"297200200"
30.3772814	60.0057264	crossing	uncontrolled		node	"297407422"
30.3732311	60.0063993	crossing	uncontrolled		node	"297407423"
30.3800216	60.0054458	crossing	uncontrolled		node	"297407818"
30.2541929	59.9906405	crossing	uncontrolled		node	"298318573"
30.256308	59.9841587	crossing	traffic_signals		node	"298319430"
30.2582379	59.9747374	crossing	uncontrolled		node	"302491869"
30.2657588	59.9738424	crossing	uncontrolled		node	"302492676"
30.258757	59.9714419	crossing	uncontrolled		node	"302492941"
30.4059516	59.6650034	crossing			node	"305271197"
30.3715777	59.7034905	crossing	traffic_signals		node	"305271747"
30.3243356	59.9237183	crossing	uncontrolled		node	"308641587"
30.3247486	59.9322819	crossing	unmarked		node	"309316304"
30.3251303	59.9320643	crossing	unmarked		node	"309316305"
30.3209186	59.9311404	crossing	uncontrolled		node	"309316463"
30.046368	59.717028	crossing	traffic_signals		node	"309354308"
30.2976158	60.0240383	crossing	traffic_signals		node	"309822429"
30.3244925	59.9736109	crossing	uncontrolled		node	"311420580"
30.2485029	59.8521928	crossing	unmarked		node	"313473345"
30.3115068	59.9566106	crossing	traffic_signals		node	"333722962"
30.1929141	59.9932075	crossing	uncontrolled		node	"336372686"
30.1923312	59.9935205	crossing	uncontrolled		node	"336372734"
30.3268765	59.9372925	crossing	uncontrolled		node	"337207960"
30.4295546	59.9872806	crossing	uncontrolled		node	"353954837"
30.4269527	59.9874129	crossing	uncontrolled		node	"353954841"
30.3113617	59.9986727	crossing	traffic_signals		node	"354986858"
30.3495876	59.9536426	crossing	uncontrolled		node	"365392723"
29.9573266	60.1421573	crossing	unmarked		node	"366661552"
30.2562834	59.9852399	crossing	traffic_signals		node	"366663933"
30.2561853	59.9866125	crossing	uncontrolled		node	"366664032"
30.4273013	59.9933943	crossing	uncontrolled		node	"366665579"
30.4337354	59.9910052	crossing	uncontrolled		node	"372839889"
30.2850236	59.9193821	crossing	uncontrolled		node	"378701697"
30.3080701	59.954913	crossing	traffic_signals		node	"380759277"
30.3020463	59.8894646	crossing	traffic_signals		node	"388577575"
30.3192778	59.8841997	crossing	traffic_signals		node	"388998069"
30.3816101	60.0514283	crossing	uncontrolled		node	"389977505"
30.4138098	59.9454363	crossing	uncontrolled		node	"395013102"
30.4091207	59.9630057	crossing	traffic_signals		node	"395013143"
30.3561398	59.9234876	crossing	traffic_signals		node	"403118827"
30.304528	59.9440277	crossing	unmarked		node	"408065329"
30.3482286	59.970115	crossing	traffic_signals		node	"408537166"
30.3464245	59.9177746	crossing	unmarked		node	"411714267"
30.3977283	59.7170512	crossing	uncontrolled		node	"412049550"
30.1923602	59.9859376	crossing	uncontrolled		node	"412052427"
30.3881747	60.0039256	crossing	uncontrolled		node	"412393891"
30.3515788	60.0077632	crossing	uncontrolled		node	"412700387"
30.4279468	59.722016	crossing	unmarked		node	"412780098"
30.5155914	59.9829137	crossing	unmarked		node	"413937887"
30.4115109	59.9683562	crossing	traffic_signals		node	"414190329"
30.3121466	60.0342308	crossing	uncontrolled		node	"415269695"
30.2335418	60.0077872	crossing	traffic_signals		node	"417250781"
30.3254411	60.0253108	crossing	uncontrolled		node	"424171824"
30.2969157	60.0336755	crossing	uncontrolled		node	"424852393"
30.3137304	59.9689956	crossing	uncontrolled		node	"425775335"
29.9721678	60.0951916	crossing			node	"425787607"
30.4673256	59.9206522	crossing	traffic_signals		node	"427144768"
30.4400188	59.9322207	crossing	uncontrolled		node	"427353856"
30.3159591	60.0437357	crossing	traffic_signals		node	"427529625"
30.315849	60.0439308	crossing	traffic_signals		node	"427529646"
30.4743628	59.9300601	crossing	uncontrolled		node	"427683690"
30.4729067	59.9301824	crossing	uncontrolled		node	"427683752"
30.4780313	59.9413621	crossing	uncontrolled		node	"427693261"
30.2701378	59.9683512	crossing	uncontrolled		node	"427901072"
30.4672039	59.9205281	crossing	traffic_signals		node	"428889874"
