X	Y	BUILDING	ADDR_CITY	A_STRT	A_SBRB	A_HSNMBR	A_PLACE	A_PSTCD	B_LEVELS	NAME	NAME_EN	NAME_RU	OSM_TYPE	OSM_ID
30.2939525	60.0491886	house	Санкт-Петербург	Новоорловская улица		"46"		"194356"					node	"1600172490"
30.2937692	60.0495283	house	Санкт-Петербург	Новоорловская улица		"48"		"194356"					node	"1600172562"
30.3036026	60.0481906	house	Санкт-Петербург	Софийская улица	Шувалово	"5"		"194356"					node	"1600172809"
30.2926718	60.051039	house	Санкт-Петербург	Новоорловская улица		"58"		"194356"					node	"1600173157"
30.3122117	60.047893	service	Санкт-Петербург	Выборгское шоссе		70 к2							node	"1600173463"
30.2992862	60.0444886	yes	Санкт-Петербург	Большая Озёрная улица		92 литЖ		"194356"					node	"1600173809"
30.2672128	59.944606	yes		Малый проспект В.О.		"34"				Школа № 29			node	"1611811747"
30.3742828	59.9381508	kiosk								Роспечать			node	"1637522832"
30.3582227	59.9258846	kiosk								Mouse Tail			node	"1645504274"
30.3530982	60.0055763	kiosk											node	"1674398349"
30.3532076	60.0056128	kiosk											node	"1674398354"
30.3562076	60.0083717	kiosk											node	"1685727639"
30.3579014	60.0089405	kiosk											node	"1685727678"
30.3846288	59.9989041	kiosk											node	"1748893944"
30.4765567	59.9144619	public								"Правление ТСЖ ""Оккервиль Невский"""			node	"1751087617"
30.3493833	60.0159056	service							"1"				node	"1769711481"
30.2671947	60.1106825	service							"1"				node	"1779832832"
30.299546	59.9074452	kiosk								Первая полоса			node	"1821246351"
30.3599632	59.9463213	kiosk											node	"1827427184"
30.3600755	59.9463205	kiosk								Фрукты			node	"1827427202"
30.4102358	59.9459362	office								Бизнес-центр «Нева»			node	"1920127290"
30.2711594	60.0778123	yes		Выборгское шоссе		373 к1							node	"1968561706"
30.1453261	60.0069036	collapsed	Санкт-Петербург	Ключевой проспект		"42"							node	"2002753255"
30.3658683	59.9984021	kiosk								Ватрушка			node	"2058601852"
30.3219742	60.0168251	kiosk											node	"2073079371"
30.3553353	59.9389932	kiosk								CraftCoffee			node	"2206393196"
30.307131	59.971251	kiosk								Теремок	Teremok	Теремок	node	"2215256648"
30.1642554	59.9892095	collapsed	Санкт-Петербург	Полевая дорога		"15"							node	"2231252984"
30.1596821	59.9885884	yes	Санкт-Петербург	Морская улица		"14"							node	"2232134028"
30.1659015	59.987449	yes	Санкт-Петербург	Береговая улица	Лахта	"22"							node	"2232134029"
30.1639638	59.9881866	yes	Санкт-Петербург	Пляжевый переулок		"4"							node	"2232134030"
30.1510097	59.9924444	collapsed	Санкт-Петербург	Лахтинский проспект		"77"							node	"2255058112"
30.1504938	59.9926177	collapsed	Санкт-Петербург	Лахтинский проспект		"79"							node	"2255058129"
30.3589524	59.9463785	kiosk											node	"2283375529"
30.3421224	60.0396623	service							"1"				node	"2383846472"
30.3290737	60.0423507	service							"1"				node	"2383993339"
30.3290221	60.0424178	service							"1"				node	"2383993340"
30.1582295	59.9939949	collapsed	Санкт-Петербург	Колхозная улица	Лахта	30Б							node	"2562038703"
30.0140158	60.1489783	apartments		Александровское шоссе		"17"							node	"2646964989"
30.3316802	59.8544925	garage							"1"				node	"2705250375"
30.4227416	59.896241	yes								Бабушкины пироги			node	"2850927216"
30.4228121	59.8964263	yes											node	"2851012344"
30.4235311	59.8959982	kiosk								lavAzza			node	"2852245196"
29.8050284	59.9084134	yes		Щукин переулок		"2"							node	"2920461489"
30.3285163	59.9203958	kiosk								Теремок	Teremok	Теремок	node	"2930653176"
30.3312799	59.9214496	kiosk								Бабушкины пироги			node	"2930653177"
30.3676373	59.9321824	kiosk							"1"				node	"2992148899"
30.3881321	59.9440881	kiosk								Etlon coffee			node	"3014361634"
30.3884714	59.94392	kiosk											node	"3014370633"
30.4185384	60.0315563	kiosk							"1"				node	"3111509266"
30.0890838	59.8549789	church								Храм св.вмч. Зинаиды (нижний храм)			node	"3135116549"
30.0887981	59.8549233	church								Сергиевский храм			node	"3135116550"
30.4647397	59.9622104	commercial								Бизнес-центр «Re-Forma»			node	"3203310534"
30.4665448	59.9621412	commercial								Бизнес-центр «Скандинавия»			node	"3203310897"
30.419927	60.0357849	kiosk							"1"	Тили-тесто			node	"3205179195"
30.3470497	59.9703069	kiosk								Продукты		Продукты	node	"3206129117"
30.1768765	60.1192492	kiosk								Пироги			node	"3252227179"
30.3341813	60.0579989	commercial								Бизнес центр			node	"3266582793"
30.4186566	60.0350377	kiosk							"1"				node	"3268910292"
30.4404497	59.8640284	service											node	"3392936670"
30.4183971	59.8893113	service											node	"3392939120"
30.4347802	59.8912609	service											node	"3392939121"
30.4351405	59.8914314	service											node	"3392939122"
30.4333398	59.8930292	service											node	"3392939127"
30.1335823	59.9963067	collapsed	Санкт-Петербург	Рядовая улица		"2"							node	"3412601579"
30.3597385	59.9463229	kiosk							"1"	Coffee Route			node	"3593498216"
30.3230436	60.0359757	yes							"1"	Теремок	Teremok	Теремок	node	"3623972255"
30.3737168	60.0354455	kiosk								Ключ здоровья			node	"3653664440"
30.3750939	60.0358578	service											node	"3653664667"
30.344665	60.0562091	roof							"1"				node	"3657950726"
30.3445517	60.0562326	roof							"1"				node	"3657950741"
29.9437839	60.0928721	yes								Ex-Military Hospital			node	"3675850441"
30.2526033	60.0110941	service							"1"				node	"3677387944"
30.4096552	59.9704255	garage											node	"3695893366"
30.410292	59.9706273	garage											node	"3695896227"
30.3920001	60.0408149	yes							"1"				node	"3696120880"
30.2506463	60.1070062	church	Санкт-Петербург	Приозерское шоссе	Осиновая Роща	12У							node	"3717514382"
30.2959846	60.0283427	yes							"1"				node	"3717599121"
30.3329736	59.9886589	kiosk											node	"3732087524"
30.3052068	59.9671006	kiosk							"1"				node	"3741791899"
30.3736248	60.0355379	kiosk							"1"				node	"3805619728"
30.3589444	59.9465499	kiosk							"1"	CoffeeVarka			node	"3929750312"
30.2982175	60.0036364	kiosk							"1"				node	"3932714393"
30.2982525	60.003549	kiosk							"1"				node	"3932714394"
30.3464068	59.9712306	pavilion							"1"	Хорошая связь			node	"3957332130"
30.4794382	59.8858008	pavilion								Продукты			node	"3989948934"
30.274987	59.9458327	kiosk								Монастырская выпечка			node	"4119723019"
