WKT	FEE	NAME	NAME_EN	NAME_RU	PARKING	ACCESS	CAPACITY	OSM_TYPE	OSM_ID
"POLYGON ((30.3910905 59.8369326,30.3896175 59.8365616,30.3894733 59.8366989,30.3909483 59.8370806,30.3910905 59.8369326))"	no				surface	yes		relation	"10180223"
"POLYGON ((30.3879258 59.8369309,30.3864412 59.8365506,30.3863173 59.8366883,30.3877884 59.8370653,30.3879258 59.8369309))"	yes				surface	private		relation	"10181215"
"POLYGON ((30.4012488 59.8347047,30.4012704 59.8346835,30.4012639 59.8346818,30.4011906 59.8346628,30.4011691 59.834684,30.4011487 59.8347041,30.4011287 59.8347238,30.4011085 59.8347438,30.4010883 59.8347637,30.4010678 59.834784,30.4010478 59.8348037,30.4010276 59.8348236,30.4010075 59.8348435,30.4009858 59.8348649,30.4010647 59.8348854,30.4010851 59.8348654,30.4011057 59.8348452,30.4011261 59.8348251,30.4011465 59.8348051,30.4011668 59.8347852,30.4011874 59.834765,30.4012076 59.8347452,30.4012282 59.8347249,30.4012488 59.8347047))"							"10"	relation	"10186464"
"POLYGON ((30.4014678 59.8344898,30.4014887 59.8344693,30.4014817 59.8344674,30.4014083 59.8344479,30.4013868 59.8344691,30.4013669 59.8344888,30.4013465 59.8345088,30.4013263 59.8345288,30.401306 59.8345489,30.4012856 59.834569,30.4012653 59.8345891,30.4012453 59.8346088,30.4012241 59.8346297,30.4012037 59.8346499,30.4012773 59.8346694,30.4012832 59.834671,30.4013031 59.8346514,30.4013251 59.8346299,30.4013458 59.8346096,30.4013665 59.8345892,30.4013865 59.8345696,30.4014066 59.8345499,30.4014267 59.8345301,30.4014473 59.8345099,30.4014678 59.8344898))"							"10"	relation	"10186465"
"POLYGON ((30.4016893 59.8342724,30.4017144 59.8342469,30.401634 59.8342251,30.401608 59.8342508,30.4015873 59.8342712,30.4015664 59.8342919,30.4015461 59.8343118,30.4015255 59.8343322,30.4015046 59.8343529,30.401484 59.8343731,30.4014635 59.8343934,30.4014431 59.8344136,30.4014211 59.8344352,30.401495 59.8344547,30.4015017 59.8344565,30.4015237 59.8344349,30.4015443 59.8344147,30.4015648 59.8343945,30.4015856 59.8343742,30.4016069 59.8343532,30.4016272 59.8343334,30.401648 59.8343129,30.4016684 59.8342929,30.4016893 59.8342724))"							"10"	relation	"10186466"
"POLYGON ((30.4016717 59.8341879,30.4016506 59.8342087,30.4017326 59.8342288,30.4017535 59.8342094,30.401774 59.8341892,30.4017944 59.8341693,30.4018151 59.8341489,30.4018346 59.8341298,30.4018552 59.8341096,30.4018773 59.8340879,30.4018621 59.8340841,30.4017941 59.8340671,30.4017732 59.8340878,30.4017526 59.834108,30.4017325 59.8341279,30.4017123 59.8341479,30.401692 59.8341679,30.4016717 59.8341879))"							"7"	relation	"10186467"
"POLYGON ((30.4025731 59.835154,30.4025892 59.8351579,30.4026571 59.8351746,30.4026804 59.8351511,30.4027017 59.8351298,30.402723 59.8351084,30.4027441 59.8350872,30.4027652 59.835066,30.4027862 59.8350449,30.4028078 59.8350233,30.4028287 59.8350024,30.4028495 59.8349814,30.4028712 59.8349596,30.4028921 59.8349387,30.4029132 59.8349175,30.4029344 59.8348962,30.4029552 59.8348754,30.4029762 59.8348543,30.4029976 59.8348328,30.4030185 59.8348118,30.4030396 59.8347907,30.4030607 59.8347694,30.4030821 59.834748,30.4031031 59.8347269,30.4031241 59.8347058,30.4031453 59.8346846,30.403166 59.8346637,30.4031876 59.834642,30.4032083 59.8346213,30.4032291 59.8346004,30.4032505 59.834579,30.403272 59.8345574,30.4032929 59.8345364,30.4033134 59.8345158,30.4033347 59.8344944,30.4033553 59.8344738,30.4033769 59.8344521,30.4033995 59.8344294,30.4033407 59.8344144,30.4033164 59.8344081,30.4032196 59.8343828,30.4030648 59.8345345,30.4030558 59.8345433,30.403043 59.834545,30.4029692 59.8345265,30.4029487 59.8345472,30.4029287 59.8345674,30.402909 59.8345873,30.402889 59.8346075,30.4028687 59.834628,30.4028493 59.8346476,30.402829 59.8346681,30.4028096 59.8346877,30.4027896 59.8347079,30.4027695 59.8347281,30.4027495 59.8347484,30.4027298 59.8347683,30.40271 59.8347883,30.4026903 59.8348082,30.4026706 59.8348281,30.4026497 59.8348491,30.4026305 59.8348685,30.4026106 59.8348887,30.4025906 59.8349088,30.4025708 59.8349288,30.4025513 59.8349486,30.4025303 59.8349698,30.4025108 59.8349895,30.4024912 59.8350092,30.4024714 59.8350293,30.4024511 59.8350497,30.402432 59.8350691,30.4024116 59.8350896,30.4023919 59.8351095,30.4024698 59.8351286,30.402477 59.8351304,30.4025731 59.835154))"								relation	"10207275"
"POLYGON ((30.4031484 59.8341939,30.4031873 59.8342038,30.4032267 59.834214,30.4032662 59.8342242,30.4033055 59.8342344,30.4033462 59.8342449,30.4033819 59.8342104,30.4033965 59.8342062,30.4034182 59.8342071,30.4034638 59.8341621,30.4035051 59.8341208,30.4035531 59.8340737,30.4035954 59.8340281,30.4035758 59.8340264,30.4035541 59.8340207,30.4035149 59.8340103,30.4034755 59.8339999,30.4034366 59.8339896,30.4033965 59.833979,30.4033574 59.8339686,30.4033181 59.8339582,30.4032786 59.8339478,30.4032388 59.8339372,30.4031988 59.8339267,30.4031603 59.8339165,30.4031209 59.833906,30.4030809 59.8338955,30.403042 59.8338852,30.4030025 59.8338747,30.4029627 59.8338642,30.4029233 59.8338537,30.4028844 59.8338435,30.4028445 59.8338329,30.4028042 59.8338223,30.4027649 59.8338118,30.4027275 59.8338019,30.4027255 59.8338014,30.4026874 59.8337913,30.4025928 59.8337679,30.402408 59.8339509,30.4023647 59.8339938,30.4024052 59.8340041,30.402444 59.834014,30.4024835 59.8340241,30.4025228 59.8340342,30.4025611 59.8340439,30.4026006 59.834054,30.4026405 59.8340642,30.4026798 59.8340742,30.4027188 59.8340842,30.4027587 59.8340944,30.4027976 59.8341043,30.402837 59.8341144,30.4028747 59.8340783,30.4028851 59.8340763,30.4028989 59.8340766,30.4029069 59.8340822,30.4029083 59.8340882,30.4028728 59.8341235,30.4029124 59.8341336,30.4029515 59.8341436,30.4029922 59.834154,30.4030301 59.8341637,30.4030697 59.8341738,30.4031085 59.8341837,30.4031484 59.8341939))"								relation	"10219517"
"POLYGON ((30.4970562 59.9449464,30.497497 59.9449551,30.4975084 59.9448115,30.4980229 59.9448218,30.4980115 59.9449653,30.4984533 59.9449741,30.4984575 59.9449203,30.4983758 59.9449186,30.4983942 59.9446853,30.4984659 59.9446868,30.4984787 59.9445253,30.4982027 59.9445198,30.4981938 59.9446319,30.4976798 59.9446217,30.4976802 59.9446173,30.497571 59.9446151,30.4975682 59.944651,30.4973655 59.944647,30.4973684 59.9446111,30.4970924 59.9446056,30.4970792 59.9447713,30.4970757 59.9448164,30.4971473 59.9448179,30.4971413 59.9448941,30.4970604 59.9448925,30.4970574 59.9449309,30.4970562 59.9449464),(30.4972257 59.9446711,30.4972363 59.9446714,30.497236 59.9446758,30.4972253 59.9446756,30.4972257 59.9446711),(30.49722 59.9447429,30.4972306 59.9447431,30.4972303 59.9447476,30.4972196 59.9447474,30.49722 59.9447429),(30.4972143 59.9448147,30.4972249 59.9448149,30.4972246 59.9448194,30.497214 59.9448192,30.4972143 59.9448147),(30.4972086 59.9448865,30.4972193 59.9448867,30.4972189 59.9448912,30.4972083 59.944891,30.4972086 59.9448865),(30.4973643 59.9448896,30.4973749 59.9448898,30.4973746 59.9448943,30.4973639 59.9448941,30.4973643 59.9448896),(30.4973699 59.9448178,30.4973806 59.944818,30.4973802 59.9448225,30.4973696 59.9448223,30.4973699 59.9448178),(30.4973756 59.944746,30.4973863 59.9447462,30.4973859 59.9447507,30.4973753 59.9447505,30.4973756 59.944746),(30.4973813 59.9446742,30.4973919 59.9446744,30.4973916 59.9446789,30.497381 59.9446787,30.4973813 59.9446742),(30.4975313 59.9447491,30.4975425 59.9447493,30.4975421 59.9447538,30.4975309 59.9447536,30.4975313 59.9447491),(30.497537 59.9446773,30.4975481 59.9446775,30.4975478 59.944682,30.4975366 59.9446818,30.497537 59.9446773),(30.4976932 59.9446804,30.4977038 59.9446806,30.4977034 59.9446851,30.4976928 59.9446849,30.4976932 59.9446804),(30.4976875 59.9447522,30.4976981 59.9447524,30.4976978 59.9447569,30.4976871 59.9447567,30.4976875 59.9447522),(30.4978431 59.9447553,30.4978538 59.9447555,30.4978534 59.94476,30.4978428 59.9447598,30.4978431 59.9447553),(30.4978488 59.9446835,30.4978594 59.9446837,30.4978591 59.9446882,30.4978484 59.944688,30.4978488 59.9446835),(30.4979993 59.9447584,30.49801 59.9447586,30.4980096 59.9447631,30.497999 59.9447629,30.4979993 59.9447584),(30.498005 59.9446866,30.4980156 59.9446868,30.4980153 59.9446913,30.4980046 59.9446911,30.498005 59.9446866),(30.4981606 59.9446897,30.4981713 59.9446899,30.4981709 59.9446944,30.4981603 59.9446942,30.4981606 59.9446897),(30.498155 59.9447615,30.4981656 59.9447617,30.4981652 59.9447662,30.4981546 59.944766,30.498155 59.9447615),(30.4981493 59.9448333,30.4981599 59.9448335,30.4981596 59.944838,30.4981489 59.9448377,30.4981493 59.9448333),(30.4983276 59.9445492,30.4983388 59.9445494,30.4983385 59.9445539,30.4983273 59.9445537,30.4983276 59.9445492),(30.498322 59.944621,30.4983332 59.9446212,30.4983328 59.9446257,30.4983216 59.9446255,30.498322 59.944621),(30.4983163 59.9446928,30.4983275 59.944693,30.4983271 59.9446975,30.4983159 59.9446973,30.4983163 59.9446928),(30.4983106 59.9447646,30.4983218 59.9447648,30.4983214 59.9447693,30.4983102 59.9447691,30.4983106 59.9447646),(30.4983049 59.9448363,30.4983161 59.9448366,30.4983158 59.9448411,30.4983046 59.9448408,30.4983049 59.9448363),(30.4982992 59.9449081,30.4983104 59.9449084,30.4983101 59.9449128,30.4982989 59.9449126,30.4982992 59.9449081),(30.4981436 59.944905,30.4981542 59.9449053,30.4981539 59.9449097,30.4981432 59.9449095,30.4981436 59.944905))"	yes					customers		relation	"10288434"
"POLYGON ((30.1752121 60.0611197,30.17143 60.0601569,30.1684879 60.0630301,30.1722649 60.063975,30.1723819 60.0638709,30.1725245 60.0638988,30.1727179 60.0636905,30.1727739 60.0636575,30.1728706 60.0636575,30.1729724 60.063688,30.1729724 60.0637464,30.1727281 60.0640233,30.1766476 60.0650191,30.1790655 60.0626846,30.1795694 60.0622273,30.1783783 60.0618971,30.1752121 60.0611197),(30.173153 60.0635889,30.1730617 60.0636345,30.1729311 60.063615,30.1728659 60.0635922,30.1728528 60.0635596,30.1731596 60.063273,30.1733097 60.0632828,30.1733945 60.0633154,30.1733488 60.0634,30.173153 60.0635889),(30.1736947 60.0631069,30.1735381 60.063247,30.1734337 60.0632632,30.1732901 60.0632274,30.1732836 60.0631492,30.1736752 60.0627714,30.1737665 60.0627747,30.1739101 60.0628073,30.1739362 60.0628431,30.1736947 60.0631069),(30.1741124 60.0626705,30.1740608 60.0627224,30.1739997 60.0627351,30.1738062 60.0626919,30.1737859 60.0626691,30.1739997 60.0624557,30.1740608 60.062415,30.1742952 60.0624359,30.1743148 60.0624685,30.1741124 60.0626705),(30.174468 60.0623388,30.1743865 60.0623541,30.1742949 60.0623439,30.1742135 60.062321,30.1741829 60.0622728,30.1744629 60.0620111,30.1745087 60.062001,30.174636 60.0620162,30.1747174 60.0620518,30.174692 60.0621102,30.174468 60.0623388),(30.1748497 60.0619578,30.1747785 60.0619806,30.174697 60.0619756,30.1746207 60.0619502,30.17458 60.061907,30.1748141 60.0616478,30.1749108 60.0616148,30.1750737 60.0616478,30.1751144 60.0616758,30.175089 60.0617215,30.1748497 60.0619578),(30.1752417 60.0615716,30.1751908 60.0615869,30.1751399 60.0615818,30.1749872 60.0615462,30.1749516 60.0615234,30.1749465 60.061498,30.1751653 60.0612896,30.1752417 60.0612312,30.1752875 60.0612211,30.1754911 60.0612693,30.1755013 60.0612947,30.1754759 60.0613379,30.1752417 60.0615716))"					surface	private		relation	"10355166"
"POLYGON ((30.4779928 59.8521713,30.4780032 59.8521306,30.4780086 59.8521281,30.4780178 59.8521274,30.4780255 59.8521302,30.4780269 59.8521329,30.4780181 59.8521725,30.4787749 59.852224,30.4788005 59.8521297,30.4786086 59.8521167,30.4785975 59.8521146,30.4785928 59.8521098,30.4786001 59.852071,30.4780582 59.8520334,30.4780477 59.8520726,30.4780399 59.852075,30.4780295 59.8520756,30.47802 59.8520741,30.4780155 59.8520711,30.4780262 59.8520304,30.4780523 59.8519058,30.4781096 59.8517482,30.4789054 59.8517961,30.4790396 59.8513624,30.477894 59.8512853,30.4778773 59.8513481,30.4778606 59.8514106,30.477532 59.8513885,30.4775464 59.8513345,30.4775242 59.851333,30.4775835 59.8511108,30.4771012 59.8510783,30.477053 59.8512587,30.4770468 59.8512821,30.4768087 59.8512661,30.4766695 59.8512568,30.4766563 59.8514514,30.4767756 59.8514824,30.4767304 59.85177,30.476781 59.8517755,30.4770033 59.8517981,30.4769173 59.8520118,30.47692 59.8520688,30.477182 59.8521209,30.4778726 59.8521617,30.4779928 59.8521713),(30.4769603 59.8513627,30.4769752 59.8513567,30.4769946 59.8513557,30.4770137 59.8513592,30.4770242 59.8513669,30.4769996 59.8514589,30.4769848 59.8514648,30.4769653 59.8514658,30.4769462 59.8514623,30.4769357 59.8514546,30.4769603 59.8513627),(30.4779397 59.8517301,30.4779507 59.85169,30.4779937 59.8516921,30.4779236 59.8520095,30.4779109 59.8520625,30.4779075 59.852065,30.4779016 59.8520667,30.4778943 59.8520665,30.4778854 59.8520636,30.4778939 59.8520209,30.4770509 59.8519644,30.4770539 59.8519527,30.4775989 59.8519871,30.4776666 59.8517244,30.4769573 59.8516766,30.4769319 59.8516746,30.4769235 59.8516722,30.4769251 59.8516672,30.4769312 59.8516636,30.4769493 59.851664,30.4779397 59.8517301))"	yes				surface	private		relation	"10361465"
"POLYGON ((30.1848248 59.8589784,30.1850563 59.8592452,30.1853803 59.8591741,30.1852157 59.858985,30.1852023 59.8589697,30.185147 59.8589062,30.1850955 59.8589177,30.1848248 59.8589784))"	no				surface	yes		relation	"10382785"
"POLYGON ((30.4385621 59.8803231,30.4385699 59.8803145,30.438581 59.8803069,30.4385956 59.880299,30.4386149 59.8802918,30.4386538 59.880289,30.4386544 59.8802693,30.4387102 59.8802684,30.4387003 59.8802427,30.438756 59.880245,30.4387452 59.880217,30.4387992 59.8802195,30.4387858 59.8801918,30.4388401 59.880194,30.4388271 59.8801664,30.4388801 59.8801681,30.4388703 59.8801418,30.438923 59.8801432,30.4389118 59.880115,30.4389673 59.8801178,30.4389607 59.8800917,30.4389443 59.8800845,30.4388629 59.8800489,30.4384697 59.8802839,30.4385621 59.8803231))"	no				surface	yes		relation	"10550928"
"POLYGON ((30.4105698 59.8349806,30.410536 59.8350152,30.4104841 59.8350683,30.4111124 59.8352233,30.4112592 59.835073,30.4106309 59.834918,30.4105698 59.8349806))"								relation	"10663517"
"POLYGON ((30.4107986 59.8354501,30.4107074 59.8354262,30.4106916 59.8354415,30.4106633 59.8354688,30.4107544 59.8354927,30.4107932 59.8355028,30.4108336 59.8355134,30.4108658 59.8355218,30.4109097 59.8355333,30.4109464 59.8355429,30.4109875 59.8355537,30.4110266 59.8355639,30.4110713 59.8355756,30.4111084 59.8355853,30.4111412 59.8355537,30.4111526 59.8355427,30.4111155 59.835533,30.4110707 59.8355213,30.4110317 59.8355111,30.4109905 59.8355003,30.4109539 59.8354907,30.41091 59.8354792,30.4108778 59.8354708,30.4108374 59.8354602,30.4107986 59.8354501))"								relation	"10663542"
"POLYGON ((30.411336 59.8355028,30.411366 59.8354733,30.4103929 59.8352234,30.4103534 59.8352623,30.4103452 59.8352703,30.4113182 59.8355203,30.411336 59.8355028))"								relation	"10663543"
"POLYGON ((30.3532303 60.013403,30.353173 60.0133865,30.3531096 60.013436,30.3531625 60.0134529,30.3532303 60.013403))"	no				surface	yes	"3"	relation	"10686444"
"POLYGON ((30.3513401 60.0118909,30.3510366 60.0117649,30.3509479 60.0118205,30.3512523 60.0119446,30.3513401 60.0118909))"	no				surface	yes	"8"	relation	"10688785"
"POLYGON ((30.3502911 60.011456,30.3503603 60.0114107,30.3496466 60.011136,30.3495213 60.0110881,30.3494834 60.0111099,30.3494634 60.0111208,30.3493875 60.011162,30.3502293 60.0114904,30.3502911 60.011456))"						private		relation	"10688787"
"POLYGON ((30.4487902 59.9133589,30.4487229 59.9133444,30.4487594 59.9132994,30.4486791 59.9132808,30.4486908 59.9132697,30.4487188 59.9132671,30.4487973 59.9132855,30.4488311 59.9133167,30.4488994 59.9132263,30.4488631 59.9132313,30.4488233 59.9132238,30.4488013 59.913211,30.4487865 59.9131902,30.4485631 59.9131382,30.4478086 59.9139272,30.4480936 59.9139949,30.4481336 59.9139552,30.4480579 59.9139355,30.4480755 59.9139227,30.4480934 59.9139215,30.4481596 59.9139346,30.4482131 59.9138841,30.4481452 59.9138651,30.4481335 59.9138528,30.4481526 59.9138366,30.4482267 59.9138587,30.4482492 59.9138433,30.4483204 59.91386,30.4487902 59.9133589))"	no				surface	yes		relation	"10705073"
"POLYGON ((30.4485844 59.9131087,30.4488176 59.9131649,30.4488502 59.9131521,30.4489235 59.9131696,30.4489337 59.913194,30.4490544 59.913223,30.4492937 59.9129667,30.4493206 59.9129554,30.4493628 59.912952,30.4494383 59.9129552,30.4495108 59.9129456,30.4495713 59.9129163,30.4496887 59.9127892,30.4496705 59.9127354,30.449629 59.9127005,30.4495633 59.9126704,30.4502156 59.9119856,30.4497386 59.9118746,30.4485844 59.9131087))"	no				surface	yes		relation	"10705076"
"POLYGON ((30.3412624 59.9350651,30.3412358 59.935062,30.3411124 59.9352764,30.3411802 59.9352969,30.3413061 59.9350894,30.3412624 59.9350651))"	no				surface	yes	"9"	relation	"10708699"
"POLYGON ((30.3631045 59.9309616,30.3630248 59.9309432,30.362213 59.9312302,30.362097 59.9312812,30.362021 59.9313445,30.3620013 59.9313978,30.3620212 59.9314153,30.3620812 59.9314511,30.363174 59.9310475,30.3631481 59.931003,30.3631045 59.9309616))"	yes				surface	yes	"56"	relation	"10712583"
"POLYGON ((30.3618746 59.9315317,30.3620599 59.9314588,30.362007 59.931425,30.3618216 59.9314978,30.3618746 59.9315317))"	no				surface	yes		relation	"10712585"
"POLYGON ((30.4916784 59.9007674,30.4923251 59.9000528,30.4920401 59.8999879,30.4916987 59.9003447,30.4914686 59.9005873,30.4914101 59.9006487,30.4915149 59.9006734,30.4914738 59.9007185,30.4916784 59.9007674))"	no				surface		"50"	relation	"10729663"
"POLYGON ((30.4897494 59.9004497,30.490193 59.9005524,30.4902252 59.9005157,30.4899968 59.9004615,30.4899544 59.9004506,30.4897873 59.9004105,30.4897494 59.9004497))"	no				surface	yes	"8"	relation	"10729669"
"POLYGON ((30.4938975 59.8966403,30.4939174 59.8967472,30.494544 59.8967073,30.4946281 59.896702,30.4947256 59.8966946,30.4947077 59.8966144,30.4946909 59.8965479,30.493952 59.8965822,30.4939564 59.8966217,30.4939401 59.8966351,30.4938975 59.8966403))"								relation	"10734464"
"POLYGON ((30.4927285 59.897865,30.4928219 59.897886,30.4931523 59.8975417,30.4930627 59.8975209,30.4927285 59.897865))"	no				surface	yes	"16"	relation	"10734471"
"POLYGON ((30.4923451 59.8961756,30.49216 59.8961931,30.4921418 59.8962309,30.4921956 59.8964152,30.4923871 59.8964053,30.4923451 59.8961756))"	no				surface	yes	"9"	relation	"10734473"
"POLYGON ((30.4943382 59.8963033,30.4950062 59.8962639,30.4949 59.8958113,30.4928166 59.8959343,30.4928431 59.896028,30.4929228 59.8963869,30.493361 59.896361,30.4943382 59.8963033))"	no							relation	"10734475"
"POLYGON ((30.3777094 59.8456191,30.3775893 59.8457416,30.3779149 59.8458225,30.3781123 59.8458716,30.3784322 59.8459508,30.3785383 59.8458298,30.3777094 59.8456191))"								relation	"10767695"
"POLYGON ((30.3625832 60.003663,30.3624855 60.0037441,30.3625904 60.0037844,30.3626899 60.0038178,30.3626805 60.0036429,30.3626288 60.0036252,30.3625832 60.003663))"						destination		relation	"10828756"
"POLYGON ((30.3623924 60.0037818,30.3621702 60.0039585,30.3620459 60.0040542,30.3622304 60.0041128,30.3623484 60.0040201,30.3624701 60.0040587,30.3626985 60.0038791,30.3625346 60.003827,30.3623924 60.0037818))"						destination		relation	"10828757"
"POLYGON ((30.3643924 59.996512,30.3644255 59.9966107,30.3643587 59.9966183,30.3646524 59.9971643,30.3647992 59.9971382,30.3649827 59.9973966,30.3651549 59.9973641,30.3649319 59.9969222,30.3655502 59.9968277,30.3653779 59.9965594,30.3655668 59.9964065,30.3653564 59.9964197,30.3644034 59.9964797,30.3643977 59.9964964,30.3643924 59.996512))"	no				surface	yes		relation	"10829032"
"POLYGON ((30.3660825 59.9965103,30.3659668 59.9965233,30.3661588 59.9968451,30.3660656 59.9969164,30.3651255 59.9970647,30.3652356 59.9973004,30.3653395 59.9972818,30.3654097 59.9972693,30.3657838 59.9972024,30.365899 59.9971818,30.3661842 59.9969682,30.3665032 59.9970308,30.3665879 59.9969588,30.3670678 59.9965727,30.3670565 59.9965233,30.3667206 59.9964386,30.3664153 59.9964729,30.3660825 59.9965103))"								relation	"10829097"
"POLYGON ((30.4722615 59.9103033,30.4723134 59.9103149,30.4724794 59.9101418,30.4724082 59.9101231,30.4722332 59.9102958,30.4722615 59.9103033))"	no				surface	yes	"8"	relation	"10843313"
"POLYGON ((30.440991 59.9124132,30.4411384 59.9124807,30.4424331 59.9127887,30.4424927 59.9127561,30.4425204 59.9127547,30.4425531 59.9127606,30.4426506 59.9127893,30.4427332 59.9128032,30.4427576 59.9128092,30.4427633 59.9128232,30.44272 59.9128565,30.4449964 59.9134431,30.4451186 59.913301,30.4424983 59.9117965,30.4418915 59.9120624,30.4417959 59.9120916,30.4417026 59.9120841,30.4411443 59.9117668,30.4404977 59.9120406,30.4406985 59.912147,30.4406861 59.9121654,30.4406733 59.9121844,30.440664 59.9122136,30.4406745 59.9122479,30.4406996 59.9122799,30.4407624 59.9123087,30.4409456 59.9123925,30.4409661 59.9124019,30.440991 59.9124132))"	no				surface	yes		relation	"10853053"
"POLYGON ((30.4456095 59.9127523,30.4457871 59.912789,30.4461064 59.9124552,30.4461055 59.9123644,30.4460524 59.9122833,30.4449118 59.9115468,30.4436034 59.9108267,30.4421879 59.9114405,30.4435727 59.9122754,30.4440479 59.9120733,30.4441239 59.9121162,30.4442021 59.9121549,30.4436924 59.9123615,30.4451649 59.9131956,30.4456095 59.9127523))"	no				surface	yes		relation	"10853066"
"POLYGON ((30.3187287 60.0503043,30.3186308 60.050293,30.3185048 60.0504972,30.3185691 60.0505079,30.3185966 60.0505104,30.3187287 60.0503043))"	no				surface	yes	"9"	relation	"10860533"
"POLYGON ((30.3183799 60.050285,30.3183858 60.0502767,30.3183618 60.0502729,30.3177546 60.0501762,30.3177214 60.0501709,30.317622 60.0501551,30.3175136 60.0503301,30.3175033 60.0503467,30.3174981 60.050355,30.3182565 60.0504592,30.3183799 60.050285))"	no				surface	yes		relation	"10860534"
"POLYGON ((30.3699406 59.9715675,30.3706335 59.9721237,30.3708266 59.9722441,30.3708416 59.9721918,30.3700786 59.971584,30.3699406 59.9715675))"								relation	"10867157"
"POLYGON ((30.4981757 59.9196671,30.497967 59.9198836,30.4979556 59.9198955,30.4979481 59.9199034,30.4981345 59.9199485,30.4980932 59.9199913,30.4982663 59.9200332,30.498376 59.9199195,30.4983174 59.9199053,30.4984737 59.9197432,30.4986173 59.919778,30.4986514 59.9197426,30.498477 59.9197004,30.4982068 59.919635,30.4981757 59.9196671))"	no					private		relation	"10899276"
"POLYGON ((30.4993127 59.9195117,30.4994979 59.9193129,30.4994317 59.9192975,30.4992444 59.9194943,30.4993127 59.9195117))"	no				surface	yes	"9"	relation	"10899280"
"POLYGON ((30.3597 60.0094061,30.3600354 60.0092059,30.3599642 60.0091795,30.3596247 60.0093756,30.3597 60.0094061))"	no				surface			relation	"10902820"
"POLYGON ((30.3212368 60.0355442,30.3213188 60.0355304,30.3214009 60.0355166,30.3213984 60.0355136,30.3214048 60.0355095,30.321478 60.0354939,30.3213675 60.0353635,30.321235 60.035393,30.3211753 60.0355165,30.3209819 60.0354859,30.3209832 60.0355519,30.3210601 60.0355692,30.3212234 60.0355415,30.3212352 60.0355408,30.3212368 60.0355442))"	no				surface	yes	"10"	relation	"10904033"
"POLYGON ((30.3215422 60.0355787,30.3214444 60.0355961,30.321369 60.0356119,30.3213914 60.0356415,30.3213845 60.0356501,30.321364 60.0356528,30.3213483 60.0356495,30.3213168 60.0356157,30.3205631 60.0357644,30.3205538 60.0357758,30.3205859 60.0358204,30.3205812 60.0358297,30.3205681 60.0358315,30.3206624 60.0359332,30.3216651 60.0357457,30.3215422 60.0355787))"	no				surface	yes	"40"	relation	"10904038"
"POLYGON ((30.4749537 59.9252175,30.474947 59.9251941,30.4750384 59.9251654,30.4748813 59.9247876,30.4745985 59.9248076,30.4734551 59.9254956,30.4750077 59.9253825,30.4749537 59.9252175))"					surface			relation	"10930987"
"POLYGON ((30.3808366 59.9967978,30.3807742 59.9968136,30.3808421 59.9968864,30.3808885 59.9969361,30.3809952 59.9970507,30.3810392 59.9970979,30.3811447 59.9972111,30.3811853 59.9972547,30.381293 59.9973702,30.3813343 59.9974145,30.3814362 59.9975238,30.3814726 59.9975629,30.381706 59.9978133,30.382015 59.9977367,30.3818509 59.9975774,30.381752 59.9974814,30.381475 59.9971993,30.3810264 59.9967528,30.3810087 59.9967567,30.3808366 59.9967978))"	no				surface	yes	"200"	relation	"10938897"
"POLYGON ((30.379588 60.0002,30.3795398 60.0001705,30.3794655 60.0001896,30.3793987 60.0002068,30.3792919 60.0002319,30.3792214 60.0002692,30.3792114 60.0002883,30.3791974 60.0003149,30.3792214 60.0003519,30.3793088 60.0004251,30.3795527 60.0004244,30.3796316 60.000484,30.3798076 60.0004384,30.379835 60.0004135,30.3799543 60.000383,30.3799425 60.0003634,30.3798038 60.0002332,30.3797285 60.0001626,30.3796583 60.0001813,30.379588 60.0002))"						private		relation	"10943958"
"POLYGON ((30.3808373 60.0023949,30.3815664 60.0022669,30.3812762 60.0019772,30.38005 60.002257,30.3802314 60.0024984,30.3806377 60.00243,30.3806987 60.0024193,30.3807484 60.0024105,30.3808373 60.0023949))"	no				surface	yes	"90"	relation	"10943959"
"POLYGON ((30.380096 60.0009898,30.3799213 60.0010186,30.3799522 60.0010632,30.3789094 60.0012415,30.3788682 60.0011952,30.3780582 60.0013278,30.3775795 60.0014061,30.3776793 60.0015602,30.3776128 60.0015911,30.3776952 60.0017052,30.3781715 60.0016257,30.3803492 60.001262,30.3803236 60.0012364,30.3802071 60.0011198,30.380096 60.0009898))"	no							relation	"10943962"
"POLYGON ((30.3878438 59.8424286,30.3873466 59.8429446,30.387365 59.8429818,30.3875592 59.8430248,30.3880946 59.8424565,30.3878727 59.8423986,30.3878438 59.8424286))"	yes				surface	private		relation	"10945764"
"POLYGON ((30.4247972 59.9794395,30.4250726 59.9796895,30.4251074 59.9796799,30.4248321 59.9794299,30.4247972 59.9794395))"	no				surface		"6"	relation	"10947620"
"POLYGON ((30.4249374 59.9794018,30.4252148 59.979654,30.42525 59.9796443,30.4249725 59.9793921,30.4249374 59.9794018))"	no				surface		"6"	relation	"10947621"
"POLYGON ((30.4753927 59.9457011,30.4754316 59.945573,30.4754369 59.9454852,30.4744661 59.9452316,30.4740698 59.9451281,30.4739796 59.9452182,30.4738774 59.9453201,30.4753927 59.9457011))"					surface			relation	"10952100"
