WKT	FEE	NAME	NAME_EN	NAME_RU	PARKING	ACCESS	CAPACITY	OSM_TYPE	OSM_ID
"POLYGON ((30.360572 60.0327656,30.3604045 60.0333707,30.360965 60.0334076,30.361142 60.0327435,30.3609556 60.0327309,30.3608762 60.0327584,30.3607458 60.0327493,30.360666 60.0327489,30.3606145 60.0327454,30.3606084 60.0327681,30.360572 60.0327656))"					surface	private		relation	"1774975"
"POLYGON ((30.3240522 59.8429447,30.3240321 59.8434164,30.3240402 59.8434455,30.324062 59.8434728,30.3240899 59.8434952,30.3241351 59.8435178,30.3242381 59.84357,30.324286 59.8436119,30.3244372 59.8436224,30.3245127 59.8436119,30.3245911 59.8420108,30.3245165 59.8420009,30.3243517 59.842044,30.3240891 59.8421885,30.3240729 59.8426633,30.3240522 59.8429447))"	no				surface	customers		relation	"1777724"
"POLYGON ((30.3195611 59.8418112,30.3194475 59.8418103,30.3194461 59.8418815,30.3194363 59.8418889,30.3194289 59.8418921,30.3194191 59.8418939,30.3193546 59.8418944,30.3191027 59.8420949,30.3190933 59.8422575,30.3191784 59.8422587,30.3191659 59.8424765,30.3190808 59.8424753,30.3190787 59.842512,30.3190282 59.8433878,30.3191676 59.8435132,30.3192608 59.8436026,30.3192947 59.8436032,30.3193239 59.8436049,30.3193428 59.843609,30.3194621 59.843604,30.3194688 59.8435934,30.3197249 59.843457,30.3197443 59.8434466,30.3197504 59.8434397,30.3197904 59.8429049,30.3198075 59.8426244,30.3198346 59.8421132,30.3198348 59.8421039,30.3198351 59.8420947,30.3198396 59.8420199,30.3198389 59.8420051,30.3198343 59.8419883,30.3198241 59.8419775,30.3198141 59.8419678,30.3197929 59.8419539,30.3196025 59.8418493,30.3195851 59.8418387,30.3195707 59.8418262,30.3195611 59.8418112),(30.3193444 59.8420544,30.3193558 59.8420423,30.319368 59.8420363,30.3193876 59.8420332,30.3194063 59.8420331,30.3194238 59.8420379,30.31943 59.8420431,30.3194387 59.8420574,30.31936 59.8434412,30.3193492 59.8434523,30.3193363 59.8434594,30.3193159 59.8434619,30.3192928 59.8434615,30.3192732 59.8434549,30.3192628 59.8434432,30.3193171 59.842514,30.3193388 59.8421494,30.3193444 59.8420544))"	no				surface	customers		relation	"1777813"
"POLYGON ((30.322172 59.8448529,30.3221252 59.8456647,30.3220661 59.8466862,30.3219915 59.8479752,30.322067 59.8479942,30.3220757 59.8478441,30.3220773 59.8478161,30.322079 59.8477876,30.3220923 59.8475577,30.3220939 59.8475303,30.3220954 59.8475031,30.3221086 59.8472753,30.32211 59.847251,30.3221117 59.847222,30.3221251 59.8469898,30.3221267 59.8469624,30.3221284 59.8469339,30.3221325 59.8468625,30.3221371 59.8467833,30.3221416 59.8467057,30.3221448 59.8466505,30.3221578 59.8464248,30.3221594 59.8463966,30.3221611 59.8463684,30.3221766 59.84614,30.3221783 59.8461103,30.3221799 59.846082,30.3221929 59.8458557,30.3221949 59.8458207,30.3221973 59.8457793,30.3222013 59.8456901,30.32222 59.8453458,30.3222469 59.8448751,30.322213 59.8448731,30.322172 59.8448529))"	no				surface	yes		relation	"1777935"
"POLYGON ((30.3282194 60.0030462,30.3282256 60.0030304,30.3282389 60.003014,30.3282912 60.0030053,30.3284716 60.0030318,30.3286748 60.0030743,30.3286989 60.0030817,30.3287083 60.0030958,30.3286982 60.0031134,30.328742 60.0031196,30.3287848 60.0031256,30.328822 60.0030445,30.3287096 60.003008,30.3285382 60.0029626,30.3283476 60.0029284,30.3282075 60.0029116,30.3281411 60.0030352,30.328181 60.0030408,30.3282194 60.0030462))"	no				surface	yes		relation	"1779965"
"POLYGON ((30.3213569 59.8456105,30.3213476 59.845783,30.321346 59.8458123,30.3213443 59.8458421,30.3213315 59.8460677,30.3213298 59.8460957,30.3213281 59.8461251,30.3213154 59.8463549,30.321314 59.8463791,30.3213121 59.8464122,30.3212992 59.8466393,30.3212961 59.8466955,30.3212909 59.8467677,30.3212872 59.8468506,30.3212824 59.8469238,30.3212811 59.8469531,30.3212795 59.8469788,30.3212653 59.8472071,30.3212635 59.8472366,30.3212619 59.847262,30.3212475 59.8474931,30.3212459 59.8475189,30.3212441 59.847548,30.3212298 59.8477787,30.3212281 59.8478065,30.3212264 59.8478339,30.3212191 59.8479514,30.3212915 59.8479772,30.3213692 59.8466755,30.3213785 59.8465206,30.3214394 59.845096,30.3213781 59.8450955,30.3213728 59.8453382,30.3213569 59.8456105))"	yes				surface	yes		relation	"1781540"
"POLYGON ((30.4472966 59.8274983,30.4462165 59.8272852,30.445944 59.827634,30.4470242 59.8278471,30.4472966 59.8274983))"								relation	"1796798"
"POLYGON ((30.3447558 59.8300291,30.3450376 59.8300361,30.3450721 59.8300362,30.3451496 59.8299916,30.3452062 59.8300183,30.3454225 59.8298979,30.3453545 59.8298667,30.345373 59.8297788,30.3452815 59.8297238,30.3452686 59.8296768,30.3447606 59.8299611,30.3447558 59.8300291))"					surface	yes		relation	"1810956"
"POLYGON ((30.2968021 59.8472828,30.2975017 59.8469031,30.2978674 59.8467102,30.2975715 59.8466234,30.2982191 59.846276,30.2976647 59.8460035,30.295933 59.8469356,30.2959123 59.8469551,30.2959272 59.8469778,30.2963709 59.8471906,30.2965409 59.8472512,30.2965793 59.8472463,30.2968021 59.8472828))"								relation	"1874815"
"POLYGON ((30.3325786 60.0695738,30.3330259 60.0696644,30.3329926 60.0697049,30.3332531 60.0697583,30.3332864 60.0697177,30.333616 60.0697852,30.3336842 60.0697068,30.3337383 60.0697096,30.3338237 60.0697229,30.3339063 60.0697419,30.3339716 60.0697649,30.3339035 60.0698441,30.3342922 60.0699237,30.3342578 60.0699655,30.3345217 60.0700196,30.3345562 60.0699777,30.3349388 60.070056,30.3349847 60.0700031,30.3350389 60.0700059,30.3351243 60.0700192,30.3352069 60.0700382,30.3352722 60.0700613,30.3352261 60.0701149,30.3356163 60.0701948,30.3355394 60.0702882,30.3358016 60.0703419,30.3358785 60.0702484,30.3362674 60.0703281,30.3363115 60.0702773,30.3363657 60.0702802,30.3364511 60.0702934,30.3365337 60.0703124,30.336599 60.0703355,30.3366212 60.0703096,30.3366246 60.0703056,30.3352593 60.070018,30.3350153 60.0699666,30.3350438 60.0699311,30.3340301 60.0697165,30.3340131 60.0697379,30.3337511 60.0696841,30.3331276 60.069556,30.3331019 60.069583,30.332655 60.0694893,30.3326791 60.0694617,30.3323862 60.0694029,30.3323596 60.0694362,30.3324137 60.069439,30.3324991 60.0694523,30.3325817 60.0694713,30.3326471 60.0694943,30.3325786 60.0695738))"					underground	private		relation	"1947323"
