X	Y	NAME	NAME_EN	INT_NAME	NAME_RU	OFFICIAL_S	PLACE	A_CNTR	A_RGN	A_DSTRCT	A_PSTCD	POPULATION	OSM_TYPE	OSM_ID	oktmo
29.6037754	60.2022451	"Детский туберкулёзный санаторий ""Жемчужина"" Филиал №1"					locality						node	"1401205058"	
29.6199545	60.1974149	"Детский санаторий ""Восход"""					locality						node	"1401215228"	
29.6341806	60.1996806	"Детский оздоровительный лагерь ""Политехник"""					locality						node	"1401390708"	
29.6375615	60.1942634	"Детский санаторий ""Звёздочка"""					locality						node	"1404356194"	
29.6268428	60.1967217	"Детский санаторий ""Чайка"""					locality						node	"1404356978"	
29.6514873	60.1935379	"Детский санаторий ""Пионер"""					locality						node	"1735139656"	
29.6552693	60.1948122	Зеленогорский военный санаторий					locality						node	"1735139657"	
29.6578881	60.1946955	"Пансионат института ""Атомэнеропроект"""					locality						node	"1735139658"	
29.9372042	60.180083	болото Кривое					locality						node	"1757781351"	
29.9276701	60.1733843	урочище Болото Кривое					locality						node	"1757783850"	
29.9338363	60.1678587	урочище Горелое					locality						node	"1757783851"	
29.9569822	60.1697	урочище Новое					locality						node	"1757783853"	
29.9383358	60.1756043	урочище Поречье					locality						node	"1757783854"	
30.37583	59.807457	Шушары	Shushary		Шушары	ru:посёлок	town		Санкт-Петербург			"95155"	node	"1827519802"	
29.6148354	60.1999418	Ушково			Ушково	ru:посёлок	village		Санкт-Петербург			"640"	node	"1840642834"	
30.4562902	59.6865801	Большие круги	Large circles				locality						node	"4282868666"	
30.4538466	59.6842611	Трельяжный участок					locality						node	"4487421689"	
29.9336806	60.0890887	Летний кинотеатр					locality						node	"6634398683"	
30.4701439	59.7068886	Бельведер					locality						node	"7927809415"	
30.4583321	59.7120094	Липицы					locality						node	"8021367969"	
30.4482785	59.683845	Дворцовое садоводство					locality						node	"8494558517"	
30.4457304	59.6829745	Мариентальская долина					locality						node	"8513030214"	
30.3499027	59.6785758	ур. Кискисары					locality						node	"10246291125"	
